key,0,1,2,3,4,5
#,Location,Achievement,ReqFatesToRank2,ReqFatesToRank3,,DisplayOrder
int32,TerritoryType,Achievement,byte,byte,sbyte,byte
0,"n4f1","Free Market Friend: Lakeland",6,60,0,1
1,"n4f2","Free Market Friend: Kholusia",6,60,3,4
2,"n4f3","Free Market Friend: Amh Araeng",6,60,1,2
3,"n4f4","Free Market Friend: Il Mheg",6,60,2,3
4,"n4f5","Free Market Friend: The Rak'tika Greatwood",6,60,4,5
5,"n4f6","Free Market Friend: The Tempest",6,60,5,6
6,"k5f1","Free Market Friend: Labyrinthos",6,60,6,11
7,"m5f1","Free Market Friend: Thavnair",6,60,7,12
8,"m5f2","Free Market Friend: Garlemald",6,60,8,13
9,"u5f1","Free Market Friend: Mare Lamentorum",6,60,9,14
10,"n5f1","Free Market Friend: Elpis",6,60,10,15
11,"u5f2","Free Market Friend: Ultima Thule",6,60,11,16
