key,0,1,2,3,4,5,6
#,MainHand,OffHand,Head,Body,Gloves,Legs,Feet
int32,Item,Item,Item,Item,Item,Item,Item
0,"","","","","","",""
1,"Steel Longsword","Decorated Buckler","","Mythril Cuirass","Heavy Steel Gauntlets","Heavy Steel Flanchard",""
2,"Cobalt Winglet","Kite Shield","","Cobalt Cuirass","Cobalt Gauntlets","Padded Woolen Trousers","Cobalt Sabatons"
3,"Mailbreaker","Darksteel Scutum","","Protector's Cuirass","Protector's Gauntlets","Protector's Trousers","Protector's Sollerets"
4,"Garuda's Gaze","The Wall of Crags","","Armor of Light","Gauntlets of Light","Breeches of Light","Sabatons of Light"
5,"Direwolf Longsword","Direwolf Kite Scutum","","Direwolf Cuirass of Fending","Direwolf Gauntlets of Fending","Direwolf Cuisses of Fending","Direwolf Sabatons of Fending"
6,"Steel Bhuj","","","Cavalry Cuirass","Cavalry Gauntlets","Cavalry Trousers","Cavalry Sabatons"
7,"Spiked Cobalt Labrys","","","Sentinel's Cuirass","Sentinel's Gauntlets","Sentinel's Trousers","Sentinel's Sabatons"
8,"Giantsgall War Axe","","","Warwolf Cuirass of Fending","Warwolf Gauntlets of Fending","Warwolf Trousers of Fending","Warwolf Sollerets of Fending"
9,"The Axe of Crags","","","Cuirass of the Divine War","Vambraces of the Divine War","Breeches of the Divine War","Sabatons of the Divine War"
10,"Direwolf Battleaxe","","","Augmented Heavy Wolfram Cuirass","Heavy Wolfram Gauntlets","Heavy Wolfram Cuisses","Heavy Wolfram Sabatons"
11,"Maddening Daggers","","","Infantry Shirt","Infantry Gloves","Infantry Skirt","Infantry Thighboots"
12,"Cobalt Baselards","","","Buccaneer's Shirt","Fingerless Raptorskin Gloves","Raptorskin Brais","Cobalt-plated Jackboots"
13,"Misericordes","","","Darklight Corselet of Striking","Darklight Bracers of Striking","Darklight Subligar","Darklight Caligae of Striking"
14,"Cleavers of Crags","","","Fuma Koromo","Fuma Tekko","Fuma Hakama","Fuma Kyahan"
15,"Direwolf Cleavers","","","Augmented Saurian Shirt of Striking","Saurian Gloves of Striking","Cashmere Skirt of Striking","Saurian Boots of Striking"
16,"Oak Longbow","","","Woolen Shirt","Venerer's Bracers","Ripped Hose","Toadskin Leg Guards"
17,"Crab Bow","","","Raptorskin Jacket","Raptorskin Armguards","Raptorskin Brais","Raptorskin Leg Guards"
18,"Giantsgall Longbow","","","Shikaree's Doublet","Shikaree's Gloves","Shikaree's Gaskin","Shikaree's Boots"
19,"The Bow of Crags","","","Ballad Corselet","Ballad Gauntlets","Ballad Sarouel","Ballad Boots"
20,"Direwolf Longbow","","","Augmented Saurian Tabard of Aiming","Saurian Gloves of Aiming","Cashmere Skirt of Aiming","Saurian Boots of Aiming"
