key,0
#,Route
int32,IKDRoute
0,"Bloodbrine Sea"
1,"Rothlyt Sound"
2,"Northern Strait of Merlthor"
3,"Rhotano Sea"
4,"Bloodbrine Sea"
5,"Rothlyt Sound"
6,"Northern Strait of Merlthor"
7,"Rhotano Sea"
8,"Bloodbrine Sea"
9,"Rothlyt Sound"
10,"Northern Strait of Merlthor"
11,"Rhotano Sea"
12,"Rothlyt Sound"
13,"Northern Strait of Merlthor"
14,"Rhotano Sea"
15,"Bloodbrine Sea"
16,"Rothlyt Sound"
17,"Northern Strait of Merlthor"
18,"Rhotano Sea"
19,"Bloodbrine Sea"
20,"Rothlyt Sound"
21,"Northern Strait of Merlthor"
22,"Rhotano Sea"
23,"Bloodbrine Sea"
24,"Northern Strait of Merlthor"
25,"Rhotano Sea"
26,"Bloodbrine Sea"
27,"Rothlyt Sound"
28,"Northern Strait of Merlthor"
29,"Rhotano Sea"
30,"Bloodbrine Sea"
31,"Rothlyt Sound"
32,"Northern Strait of Merlthor"
33,"Rhotano Sea"
34,"Bloodbrine Sea"
35,"Rothlyt Sound"
36,"Rhotano Sea"
37,"Bloodbrine Sea"
38,"Rothlyt Sound"
39,"Northern Strait of Merlthor"
40,"Rhotano Sea"
41,"Bloodbrine Sea"
42,"Rothlyt Sound"
43,"Northern Strait of Merlthor"
44,"Rhotano Sea"
45,"Bloodbrine Sea"
46,"Rothlyt Sound"
47,"Northern Strait of Merlthor"
48,"Bloodbrine Sea"
49,"Rothlyt Sound"
50,"Northern Strait of Merlthor"
51,"Rhotano Sea"
52,"Bloodbrine Sea"
53,"Rothlyt Sound"
54,"Northern Strait of Merlthor"
55,"Rhotano Sea"
56,"Bloodbrine Sea"
57,"Rothlyt Sound"
58,"Northern Strait of Merlthor"
59,"Rhotano Sea"
60,"Rothlyt Sound"
61,"Northern Strait of Merlthor"
62,"Rhotano Sea"
63,"Bloodbrine Sea"
64,"Rothlyt Sound"
65,"Northern Strait of Merlthor"
66,"Rhotano Sea"
67,"Bloodbrine Sea"
68,"Rothlyt Sound"
69,"Northern Strait of Merlthor"
70,"Rhotano Sea"
71,"Bloodbrine Sea"
72,"Northern Strait of Merlthor"
73,"Rhotano Sea"
74,"Bloodbrine Sea"
75,"Rothlyt Sound"
76,"Northern Strait of Merlthor"
77,"Rhotano Sea"
78,"Bloodbrine Sea"
79,"Rothlyt Sound"
80,"Northern Strait of Merlthor"
81,"Rhotano Sea"
82,"Bloodbrine Sea"
83,"Rothlyt Sound"
84,"Rhotano Sea"
85,"Bloodbrine Sea"
86,"Rothlyt Sound"
87,"Northern Strait of Merlthor"
88,"Rhotano Sea"
89,"Bloodbrine Sea"
90,"Rothlyt Sound"
91,"Northern Strait of Merlthor"
92,"Rhotano Sea"
93,"Bloodbrine Sea"
94,"Rothlyt Sound"
95,"Northern Strait of Merlthor"
96,"Bloodbrine Sea"
97,"Rothlyt Sound"
98,"Northern Strait of Merlthor"
99,"Rhotano Sea"
100,"Bloodbrine Sea"
101,"Rothlyt Sound"
102,"Northern Strait of Merlthor"
103,"Rhotano Sea"
104,"Bloodbrine Sea"
105,"Rothlyt Sound"
106,"Northern Strait of Merlthor"
107,"Rhotano Sea"
108,"Rothlyt Sound"
109,"Northern Strait of Merlthor"
110,"Rhotano Sea"
111,"Bloodbrine Sea"
112,"Rothlyt Sound"
113,"Northern Strait of Merlthor"
114,"Rhotano Sea"
115,"Bloodbrine Sea"
116,"Rothlyt Sound"
117,"Northern Strait of Merlthor"
118,"Rhotano Sea"
119,"Bloodbrine Sea"
120,"Northern Strait of Merlthor"
121,"Rhotano Sea"
122,"Bloodbrine Sea"
123,"Rothlyt Sound"
124,"Northern Strait of Merlthor"
125,"Rhotano Sea"
126,"Bloodbrine Sea"
127,"Rothlyt Sound"
128,"Northern Strait of Merlthor"
129,"Rhotano Sea"
130,"Bloodbrine Sea"
131,"Rothlyt Sound"
132,"Rhotano Sea"
133,"Bloodbrine Sea"
134,"Rothlyt Sound"
135,"Northern Strait of Merlthor"
136,"Rhotano Sea"
137,"Bloodbrine Sea"
138,"Rothlyt Sound"
139,"Northern Strait of Merlthor"
140,"Rhotano Sea"
141,"Bloodbrine Sea"
142,"Rothlyt Sound"
143,"Northern Strait of Merlthor"
