key,0,1,2
#,SpotMain,SpotSub,PlaceName
int32,FishingSpot,FishingSpot,PlaceName
0,"Undiscovered Fishing Hole","Undiscovered Fishing Hole",""
1,"Outer Galadion Bay","Galadion Spectral Current","Galadion Bay"
2,"The Southern Strait of Merlthor","Southern Merlthor Spectral Current","The Southern Strait of Merlthor"
3,"The Northern Strait of Merlthor","Northern Merlthor Spectral Current","The Northern Strait of Merlthor"
4,"Open Rhotano Sea","Rhotano Spectral Current","Rhotano Sea"
5,"Cieldalaes Margin","Cieldalaes Spectral Current","The Cieldalaes"
6,"Open Bloodbrine Sea","Bloodbrine Spectral Current","The Bloodbrine Sea"
7,"Outer Rothlyt Sound","Rothlyt Spectral Current","The Rothlyt Sound"
