key,0,1,2
#,Name,ClassJobCategory,InclusionShopSeries
int32,str,ClassJobCategory,InclusionShopSeries
0,"","",""
1,"Tank","","Primal Gear (IL 100-115)"
2,"Melee DPS (DRG/RPR)","LNC DRG RPR","Primal Gear (IL 100-115)"
3,"Melee DPS (MNK/SAM)","","Primal Gear (IL 100-115)"
4,"Physical Ranged DPS","","Primal Gear (IL 100-115)"
5,"Melee DPS (NIN)","","Primal Gear (IL 100-115)"
6,"Healer","","Primal Gear (IL 100-115)"
7,"Magical Ranged DPS","","Primal Gear (IL 100-115)"
8,"Combat Supplies","","Special Arms Materials"
9,"Crafter","Disciple of the Hand","Crafter Gear (IL 55)"
10,"Crafting Supplies","","Master Recipes"
11,"Gatherer","Disciple of the Land","Gatherer Gear (IL 55)"
12,"Gathering Supplies","","Materia"
13,"Tank","","Primal Gear (IL 175-265)"
14,"Melee DPS (DRG/RPR)","LNC DRG RPR","Primal Gear (IL 175-265)"
15,"Melee DPS (MNK/SAM)","","Primal Gear (IL 175-265)"
16,"Physical Ranged DPS","","Primal Gear (IL 175-265)"
17,"Melee DPS (NIN)","","Primal Gear (IL 175-265)"
18,"Healer","","Primal Gear (IL 175-265)"
19,"Magical Ranged DPS","","Primal Gear (IL 175-265)"
20,"Combat Supplies","","Special Arms Materials"
21,"Crafter","Disciple of the Hand","Adept Gear (IL 130)"
22,"Crafting Supplies","","Miscellany"
23,"Gatherer","Disciple of the Land","Trailblazer Gear (IL 130)"
24,"Gathering Supplies","","Bait/Miscellany"
25,"Tank","","Primal/Auspice Gear (IL 320-395)"
26,"Melee DPS (DRG/RPR)","LNC DRG RPR","Primal/Auspice Gear (IL 320-395)"
27,"Melee DPS (MNK/SAM)","","Primal/Auspice Gear (IL 320-395)"
28,"Physical Ranged DPS","","Primal/Auspice Gear (IL 320-395)"
29,"Melee DPS (NIN)","","Primal/Auspice Gear (IL 320-395)"
30,"Healer","","Primal/Auspice Gear (IL 320-395)"
31,"Magical Ranged DPS","","Primal/Auspice Gear (IL 320-395)"
32,"Combat Supplies","","Materials"
33,"Crafter","Disciple of the Hand","Tradecraft King Tools (IL 330)"
34,"Crafting Supplies","","Miscellany"
35,"Gatherer","Disciple of the Land","Fieldcraft King Tools (IL 330)"
36,"Gathering Supplies","","Bait/Miscellany"
37,"Tank","","Primal/Warden/Weapon Gear (IL 450-525)"
38,"Melee DPS (DRG/RPR)","LNC DRG RPR","Primal/Warden/Weapon Gear (IL 450-525)"
39,"Melee DPS (MNK/SAM)","","Primal/Warden/Weapon Gear (IL 450-525)"
40,"Physical Ranged DPS","","Primal/Warden/Weapon Gear (IL 450-525)"
41,"Melee DPS (NIN)","","Primal/Warden/Weapon Gear (IL 450-525)"
42,"Healer","","Primal/Warden/Weapon Gear (IL 450-525)"
43,"Magical Ranged DPS","","Primal/Warden/Weapon Gear (IL 450-525)"
44,"Combat Supplies","","Materials"
45,"Crafter","Disciple of the Hand","Tradecraft Fiend Gear (IL 440)"
46,"Crafting Supplies","","Miscellany"
47,"Gatherer","Disciple of the Land","Fieldcraft Fiend Gear (IL 440)"
48,"Gathering Supplies","","Bait/Miscellany"
49,"Crafters' Scrip (Gear)","","White Scrip Exchange (Lv. 58/IL 130)"
50,"Crafters' Scrip (Master Recipes/Materials/Misc.)","Disciple of the Hand","White Scrip Exchange (Master Recipes)"
51,"Gatherers' Scrip (Gear)","","White Scrip Exchange (Lv. 58/IL 130)"
52,"Gatherers' Scrip (Materials/Misc.)","Disciple of the Land","White Scrip Exchange (Music/Furnishings/Misc.)"
53,"Crafters' Scrip (Materia)","","White Scrip Exchange (Materia)"
54,"Gatherers' Scrip (Materia)","","White Scrip Exchange (Materia)"
55,"Crafters' Scrip (Gear)","","White Scrip Exchange (Lv. 58/IL 130)"
56,"Crafters' Scrip (Master Recipes/Materials/Misc.)","Disciple of the Hand","White Scrip Exchange (Master Recipes)"
57,"Gatherers' Scrip (Gear)","","White Scrip Exchange (Lv. 58/IL 130)"
58,"Gatherers' Scrip (Materials/Misc.)","Disciple of the Land","White Scrip Exchange (Music/Furnishings/Misc.)"
59,"Crafters' Scrip (Gear)","","White Scrip Exchange (Lv. 58/IL 130)"
60,"Crafters' Scrip (Master Recipes/Materials/Misc.)","Disciple of the Hand","White Scrip Exchange (Master Recipes)"
61,"Gatherers' Scrip (Gear)","","White Scrip Exchange (Lv. 58/IL 130)"
62,"Gatherers' Scrip (Materials/Misc.)","Disciple of the Land","White Scrip Exchange (Music/Furnishings/Misc.)"
