key,0,1,2,3,4,5
#,,,Action,,,Guide
int32,byte,byte,Action,byte,uint32,Guide
0,255,0,"",0,0,"Guide#0"
1,40,1,"Iron Will",0,0,"Guide#1"
2,40,2,"Limit Break",0,0,"Guide#2"
3,42,1,"Defiance",0,0,"Guide#3"
4,42,2,"Steady Hand",0,0,"Guide#4"
5,54,1,"Grit",0,0,"Guide#5"
6,78,1,"Flood of Darkness",0,0,"Guide#6"
7,54,2,"Manafont",0,0,"Guide#7"
8,78,1,"The Blackest Night",0,0,"Guide#8"
9,78,1,"Living Shadow",0,0,"Guide#9"
10,45,2,"反撃効果",0,0,"Guide#10"
11,45,2,"Haste",0,0,"Guide#11"
12,47,1,"Aetherflow",0,0,"Guide#12"
13,50,1,"Aetherpact",0,0,"Guide#13"
14,50,1,"Summon Seraph",0,0,"Guide#14"
15,55,1,"Draw",0,0,"Guide#15"
16,55,1,"Divination",0,0,"Guide#16"
17,61,1,"Meditation",0,0,"Guide#17"
18,61,1,"Meditation",0,0,"Guide#18"
19,58,2,"Plaincracker",0,0,"Guide#64"
20,43,2,"Ruin",0,0,"Guide#20"
21,43,2,"Slumber Breath",0,0,"Guide#21"
22,62,1,"Jin",0,0,"Guide#22"
23,51,2,"Summon",0,0,"Guide#23"
24,57,1,"Iaijutsu",0,0,"Guide#24"
25,56,2,"Ageless Words",0,0,"Guide#25"
26,44,1,"Mage's Ballad",0,0,"Guide#26"
27,44,1,"Army's Paeon",0,0,"Guide#27"
28,44,1,"the Wanderer's Minuet",0,0,"Guide#28"
29,44,2,"Reclaim",0,0,"Guide#29"
30,52,1,"Hypercharge",0,0,"Guide#30"
31,52,1,"Rook Autoturret",2,294,"Guide#31"
32,46,1,"Fire",0,0,"Guide#32"
33,46,2,"イフリート：着地",0,0,"Guide#33"
34,46,2,"Sharp Vision III",0,0,"Guide#34"
35,46,1,"Foul",0,0,"Guide#35"
36,46,2,"Mooch",0,0,"Guide#36"
37,49,1,"Aethercharge",0,0,"Guide#37"
38,49,2,"Barbaric Surge",0,0,"Guide#38"
39,49,2,"Bio II",0,0,"Guide#39"
40,49,2,"100 Needles",0,0,"Guide#40"
41,80,1,"Standard Step",0,0,"Guide#41"
42,81,2,"Inner Quiet",0,0,"Guide#42"
43,80,1,"Technical Step",0,0,"Guide#43"
44,81,2,"Inner Quiet",0,0,"Guide#44"
45,58,1,"Jolt",0,0,"Guide#45"
46,79,1,"Royal Guard",0,0,"Guide#46"
47,79,2,"Inner Quiet",0,0,"Guide#47"
48,0,0,"",0,0,"Guide#0"
49,56,1,"Shoha",0,0,"Guide#49"
50,91,2,"",0,0,"Guide#50"
51,0,0,"",0,0,"Guide#0"
52,55,1,"Minor Arcana",0,0,"Guide#52"
53,49,1,"Aethercharge",0,0,"Guide#53"
54,48,1,"Energy Drain",0,0,"Guide#54"
55,44,2,"Stagnant Spray",0,0,"Guide#55"
56,46,2,"炎獄の楔：死亡",0,0,"Guide#56"
57,79,2,"Enblizzard",0,0,"Guide#57"
58,87,2,"Ultrasonics",0,0,"Guide#58"
59,88,2,"Agitation",0,0,"Guide#59"
60,88,2,"Agitation",0,0,"Guide#60"
61,89,1,"Eukrasia",0,0,"Guide#61"
62,90,2,"Bombardier",0,0,"Guide#62"
63,90,2,"Somersault Slash",0,0,"Guide#63"
