key,0,1,2
#,Requirement[0],Requirement[1],
int32,Quest,Quest,bit&01
65961,"The Light of Hope",,False
66572,,,False
67199,,,False
69307,"The Light of Hope",,False
69604,"Leaving Idyllshire",,False
69614,"Over the Wall",,False
69686,"Under His Wing",,False
69691,"A Frosty Reception",,False
69692,"Helping Hands",,False
69694,"Hunger in the Garden",,False
69695,"Endwalker",,False
69699,"The Martyr",,False
69700,"At World's End",,False
69701,"Thou Must Live, Die, and Know",,False
69702,"Endwalker","One Man's Fish Is Another Man's Poison",False
69713,"A Trip to the Moon",,False
69714,"Unto the Heavens",,False
70009,"Inscrutable Tastes",,False
70010,"The Culture of Love","Pastures New",True
