key,0
#,ClassJob
int32,ClassJob
0,"adventurer"
65580,"goldsmith"
66219,"goldsmith"
66220,"goldsmith"
66221,"goldsmith"
66696,"goldsmith"
66850,"goldsmith"
67114,"pugilist"
67999,"gladiator"
68555,"gladiator"
68614,"adventurer"
68763,"archer"
68764,"archer"
68765,"archer"
68766,"archer"
68767,"archer"
68768,"archer"
68769,"archer"
68770,"archer"
68771,"archer"
68772,"archer"
68773,"archer"
68774,"archer"
68775,"archer"
68776,"archer"
68777,"archer"
68778,"conjurer"
68836,"marauder"
68848,"marauder"
68876,"marauder"
69157,"marauder"
69165,"lancer"
69179,"marauder"
69190,"marauder"
69208,"adventurer"
69210,"marauder"
69261,"armorer"
69262,"armorer"
69263,"armorer"
69264,"armorer"
69296,"carpenter"
69305,"marauder"
69313,"marauder"
69373,"armorer"
69374,"armorer"
69375,"armorer"
69376,"armorer"
69377,"blacksmith"
69381,"botanist"
69426,"adventurer"
69477,"adventurer"
69480,"alchemist"
69481,"alchemist"
69482,"alchemist"
69483,"alchemist"
69484,"alchemist"
69485,"alchemist"
69486,"alchemist"
69487,"alchemist"
69491,"miner"
69494,"miner"
69495,"miner"
69496,"miner"
69497,"miner"
69498,"miner"
69508,"culinarian"
69522,"lancer"
69535,"warrior"
69536,"warrior"
69537,"warrior"
69538,"warrior"
69539,"warrior"
69540,"warrior"
69541,"warrior"
69542,"warrior"
69547,"marauder"
69554,"paladin"
69558,"paladin"
69562,"adventurer"
69563,"dragoon"
69564,"dragoon"
69566,"fisher"
69576,"botanist"
69577,"botanist"
69578,"monk"
69580,"bard"
69581,"bard"
69582,"bard"
69583,"bard"
69584,"bard"
69585,"bard"
69586,"bard"
69587,"bard"
69588,"bard"
69593,"white mage"
69598,"marauder"
69617,"fisher"
69620,"dragoon"
69621,"dragoon"
69622,"dragoon"
69623,"dragoon"
69624,"dragoon"
69628,"dragoon"
69629,"dragoon"
69631,"dragoon"
69637,"botanist"
69894,"black mage"
69913,"marauder"
69931,"marauder"
69945,"marauder"
69973,"marauder"
69984,"black mage"
69985,"marauder"
70000,"marauder"
