key,0,1,2,3
#,,Action[0],Action[1],
int32,uint16,Action,Action,uint16
0,0,"","",0
1,377,"Manipulation","Collectable Synthesis",34
2,0,"Manipulation","Collectable Synthesis",34
3,383,"Manipulation","Collectable Synthesis",34
4,0,"Manipulation","Collectable Synthesis",210
5,383,"Manipulation","Collectable Synthesis",34
6,377,"Manipulation","Collectable Synthesis",210
7,383,"Manipulation","Collectable Synthesis",34
8,400,"Manipulation","Collectable Synthesis",34
9,401,"Manipulation","Collectable Synthesis",34
10,402,"Manipulation","Collectable Synthesis",34
11,403,"Manipulation","Collectable Synthesis",34
12,436,"Name of Water","Collectable Synthesis",211
13,437,"Manipulation","Collectable Synthesis",3604
14,0,"Manipulation","Collectable Synthesis",5896
15,436,"Manipulation","Collectable Synthesis",34
16,437,"Manipulation","Collectable Synthesis",34
17,0,"","",0
18,0,"Manipulation","Collectable Synthesis",34
19,437,"Manipulation","Name of the Wind",34
20,0,"Manipulation","Name of Fire",34
21,436,"","Name of Ice",34
