key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
#,Name,,Icon,ActionCategory,,Animation{Start},VFX,Animation{End},ActionTimeline{Hit},,ClassJob,BehaviourType,ClassJobLevel,IsRoleAction,Range,CanTargetSelf,CanTargetParty,CanTargetFriendly,CanTargetHostile,,,TargetArea,,,,CanTargetDead,,CastType,EffectRange,XAxisModifier,,PrimaryCost{Type},PrimaryCost{Value},SecondaryCost{Type},SecondaryCost{Value},Action{Combo},PreservesCombo,Cast<100ms>,,Recast<100ms>,CooldownGroup,AdditionalCooldownGroup,MaxCharges,AttackType,Aspect,ActionProcStatus,,Status{GainSelf},UnlockLink,ClassJobCategory,,,AffectsPosition,Omen,,IsPvP,,,,,,,,,,,,IsPlayerAction,,,
int32,str,bit&01,Image,ActionCategory,byte,ActionCastTimeline,ActionCastVFX,ActionTimeline,ActionTimeline,byte,ClassJob,byte,byte,bit&02,bit&04,sbyte,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,bit&04,bit&08,sbyte,bit&10,bit&20,byte,byte,byte,bit&40,byte,uint16,Row,Action,uint16,bit&80,uint16,byte,uint16,byte,byte,AttackType,sbyte,ActionProcStatus,uint16,Status,Row,ClassJobCategory,byte,byte,bit&01,Omen,uint16,uint16,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,bit&04,byte,bit&08,bit&10,bit&20,bit&40,byte
0,"",False,"ui/icon/000000/000405.tex","",0,"","","","",0,,0,0,False,False,0,False,False,False,False,False,False,False,False,False,0,True,True,0,0,0,False,0,0,,"",0,False,0,0,0,0,0,"",0,"",0,"",,"",0,0,False,"",0,0,False,False,True,False,False,True,False,False,True,0,False,False,False,False,0
1,"Key Item",False,"ui/icon/000000/000405.tex","Event",0,"normal/item_start","","normal/item_end","normal_hit/normal_hit",0,"",0,0,False,False,3,False,False,False,True,True,True,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,False,0,0,0,0,0,"",0,"",0,"",,"",1,0,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,True,False,False,0
2,"Interaction",False,"ui/icon/000000/000405.tex","Event",0,"normal/magic_cmn_start","","","normal_hit/normal_hit",0,"",0,0,False,False,3,False,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,False,50,0,0,0,0,"",0,"",0,"",,"",1,0,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
3,"Sprint",False,"ui/icon/000000/000104.tex","System",0,"","","ability/no_mot_sprint","normal_hit/normal_hit",0,"",0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,True,0,0,600,56,0,"",0,"",0,"",,"",1,0,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,True,False,False,0
4,"Mount",False,"ui/icon/000000/000405.tex","Item",0,"mount/start/call_start","","mount/start/call_end","normal_hit/normal_hit",0,"",0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,False,10,0,0,0,0,"",0,"",0,"",,"",1,7,False,"",0,0,False,False,False,False,True,True,False,False,True,0,False,True,False,False,0
5,"Teleport",False,"ui/icon/000000/000111.tex","System",0,"normal/magic_cmn_start","cmpp_djcas0c","normal/telepo","normal_hit/normal_hit",0,"",0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,False,50,0,0,0,0,"",0,"",0,"",,"MRD",1,0,False,"",0,0,False,False,True,False,True,True,True,False,True,0,True,True,False,False,0
6,"Return",False,"ui/icon/000000/000112.tex","System",0,"normal/magic_cmn_start","cmpp_djcas0c","normal/dejon","normal_hit/normal_hit",0,"",0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,,"",0,False,50,0,9000,57,0,"",0,"",0,"",,"All Classes",1,0,False,"",0,0,False,False,True,False,True,True,True,False,True,0,True,True,False,False,0
7,"attack",False,"ui/icon/000000/000405.tex","Auto-attack",0,"","",,"normal_hit/normal_hit",0,"",0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,,"",0,True,0,0,0,0,0,"",-1,"Fang and Claw Bared",0,"Petrification",,"",1,0,False,"",0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
