key,0,1,2,3,4,5,6,7,8,9
#,Name,,Action[0],Action[1],Action[2],Action[3],,,,
int32,str,sbyte,Action,Action,Action,Action,uint16,uint16,uint16,bit&01
0,"",0,"","","","",0,0,0,True
1,"Rage of Halone Combo",0,"","","","",0,0,0,False
2,"Royal Authority Combo",0,"","","","",0,0,0,False
3,"Butcher's Block Combo",0,"","","","",0,0,0,False
4,"Storm's Path Combo",0,"","","","",0,0,0,False
5,"Power Slash Combo",0,"","","","",0,0,0,False
6,"Souleater Combo",0,"","","","",0,0,0,False
7,"Snap Punch Combo",0,"","","","",0,0,0,False
8,"Demolish Combo",1,"","","","",0,0,0,False
9,"Wheeling Thrust Combo",0,"","","","",0,0,0,False
10,"Wheeling Thrust Combo",1,"","","","",0,0,0,False
11,"Aeolian Edge Combo",0,"","","","",0,0,0,False
12,"Shadow Fang Combo",1,"","","","",0,0,0,False
13,"Yukikaze Combo",0,"","","","",0,0,0,False
14,"Gekko Combo",1,"","","","",0,0,0,False
15,"Kasha Combo",2,"","","","",0,0,0,False
16,"Straight Shot Combo",0,"","","","",0,0,0,False
17,"Stormbite Combo",0,"","","","",0,0,0,False
18,"Heated Clean Shot Combo",0,"","","","",0,0,0,False
19,"Enchanted Redoublement Combo",0,"","","","",0,0,0,False
20,"Solid Barrel Combo",0,"","","","",0,0,0,False
21,"Wicked Talon Combo",2,"","","","",0,0,0,False
22,"Fountain Combo",0,"","","","",0,0,0,False
23,"Swashbuckler Combo",0,"Fast Blade","Rightful Sword","Swashbuckler","",0,0,0,False
24,"Greatest Eclipse Combo",1,"Sunshadow","Greatest Eclipse","","",0,0,0,False
25,"Solid Barrel Combo",0,"Keen Edge","Brutal Shell","Solid Barrel","",0,0,0,False
26,"Coerthan Torment Combo",0,"Doom Spike","Sonic Thrust","Coerthan Torment","",0,0,0,False
27,"Prominence Combo",1,"","","","",0,0,0,False
28,"Steel Cyclone Combo",1,"","","","",0,0,0,False
29,"Stalwart Soul Combo",1,"","","","",0,0,0,False
30,"Rockbreaker Combo",1,"","","","",0,0,0,False
31,"Coerthan Torment Combo",1,"","","","",0,0,0,False
32,"Hakke Mujinsatsu Combo",1,"","","","",0,0,0,False
33,"Kasha Combo",0,"","","","",0,0,0,False
34,"Oka Combo",1,"","","","",0,0,0,False
35,"Demon Slaughter Combo",1,"","","","",0,0,0,False
36,"Bladeshower Combo",1,"","","","",0,0,0,False
37,"Yagetsu Combo",0,"Kyokufu","Gofu","Yagetsu","",0,0,0,False
38,"Final Flourish Combo",0,"Aethersaber","Aethercut","Final Flourish","",0,0,0,False
39,"Verflare Combo",0,"Verfire","Veraero","Verstone","Verflare",0,0,0,False
40,"Foul Combo",0,"Fire IV","Fire IV","Fire IV","Foul",0,0,0,False
41,"Lord of Crowns Combo",0,"Destiny Drawn","Lord of Crowns","","",0,0,0,False
42,"The Scroll Combo",1,"Destiny's Sleeve","the Scroll","","",0,0,0,False
43,"Scorch Combo",1,"Corps-a-corps","Enchanted Riposte","Enchanted Zwerchhau","Enchanted Redoublement",21496,21923,24831,False
44,"Rage of Halone Combo",0,"Fast Blade","Riot Blade","Rage of Halone","",0,0,0,False
45,"Verflare Combo",0,"Verfire","Veraero","Verstone","Verthunder",27052,0,0,False
46,"Scorch Combo",1,"Corps-a-corps","Enchanted Riposte","Enchanted Zwerchhau","Enchanted Redoublement",27058,27059,24898,False
47,"Solid Barrel Combo",0,"Keen Edge","Brutal Shell","Solid Barrel","",0,0,0,False
48,"Infernal Slice Combo",0,"","","","",0,0,0,False
49," Nightmare Scythe Combo",1,"","","","",0,0,0,False
50,"Royal Authority Combo",0,"Fast Blade","Riot Blade","Royal Authority","",0,0,0,True
51,"Storm's Path Combo",0,"Heavy Swing","Maim","Storm's Path","",0,0,0,True
52,"Souleater Combo",0,"Hard Slash","Syphon Strike","Souleater","",0,0,0,True
53,"Solid Barrel Combo",0,"Keen Edge","Brutal Shell","Solid Barrel","",0,0,0,True
54,"Fountain Combo",0,"Cascade","Fountain","","",0,0,0,True
55,"Phantom Rush Combo",0,"Bootshine","True Strike","Snap Punch","Dragon Kick",29476,29477,29478,True
56,"Wheeling Thrust Combo",0,"Raiden Thrust","Fang and Claw","Wheeling Thrust","",0,0,0,True
57,"Aeolian Edge Combo",0,"Spinning Edge","Gust Slash","Aeolian Edge","",0,0,0,True
58,"Kasha Combo",0,"Yukikaze","Gekko","Kasha","",0,0,0,True
59,"Infernal Slice Combo",0,"Slice","Waxing Slice","Infernal Slice","",0,0,0,True
60,"Rage of the Gentleman Combo",0,"Gentlemanly Smash","Gentlemanly Thrust","Rage of the Gentleman","",0,0,0,True
61,"Infernal Slice Combo",0,"Slice","Waxing Slice","Infernal Slice","",0,0,0,True
62,"Nightmare Scythe Combo",0,"Spinning Scythe","Nightmare Scythe","","",0,0,0,True
63,"Tail of the Br'aax Combo",0,"Claw of the Br'aax","Fangs of the Br'aax","Tail of the Br'aax","",0,0,0,True
64,"Turali Judgment Combo",0,"Trials of Tural","Turali Fervor","Turali Judgment","",0,0,0,True
65,"Dual Fang Combo",0,"Steel Fangs","Hunter's Sting","Barbarous Bite","Piercing Fangs",39160,39163,0,True
66,"",0,"","","","",0,0,0,False
