key,0,1,2
#,Name,ClassJob,PreviousComboAction
int32,Action,ClassJob,Action
0,"",,""
1,"Supplication","paladin","Atonement"
2,"Sepulchre","paladin","Atonement"
3,"Blade of Faith","paladin","Confiteor"
4,"Blade of Truth","paladin","Confiteor"
5,"Blade of Valor","paladin","Confiteor"
6,"Blade of Honor","paladin","Imperator"
7,"Chaotic Cyclone","warrior","Decimate"
8,"Inner Chaos","warrior","Fell Cleave"
9,"Primal Wrath","warrior","Inner Release"
10,"Primal Ruination","warrior","Primal Rend"
11,"Scarlet Delirium","dark knight","Bloodspiller"
12,"Comeuppance","dark knight","Bloodspiller"
13,"Torcleaver","dark knight","Bloodspiller"
14,"Impalement","dark knight","Quietus"
15,"Savage Claw","gunbreaker","Gnashing Fang"
16,"Wicked Talon","gunbreaker","Gnashing Fang"
17,"Jugular Rip","gunbreaker","Continuation"
18,"Abdomen Tear","gunbreaker","Continuation"
19,"Eye Gouge","gunbreaker","Continuation"
20,"Hypervelocity","gunbreaker","Continuation"
21,"Fated Brand","gunbreaker","Continuation"
22,"Noble Blood","gunbreaker","Bloodfest"
23,"Lion Heart","gunbreaker","Bloodfest"
24,"Elixir Field","monk","Masterful Blitz"
25,"Flint Strike","monk","Masterful Blitz"
26,"Celestial Revolution","monk","Masterful Blitz"
27,"Tornado Kick","monk","Masterful Blitz"
28,"Rising Phoenix","monk","Masterful Blitz"
29,"Phantom Rush","monk","Masterful Blitz"
30,"Elixir Burst","monk","Masterful Blitz"
31,"Drakesbane","dragoon",""
32,"Raiden Thrust","dragoon","True Thrust"
33,"Draconian Fury","dragoon","Doom Spike"
34,"Rabbit Medium",,"Ninjutsu"
35,"Fuma Shuriken","ninja","Ninjutsu"
36,"Katon","ninja","Ninjutsu"
37,"Raiton","ninja","Ninjutsu"
38,"Hyoton","ninja","Ninjutsu"
39,"Huton","ninja","Ninjutsu"
40,"Doton","ninja","Ninjutsu"
41,"Suiton","ninja","Ninjutsu"
42,"Goka Mekkyaku","ninja","Ninjutsu"
43,"Hyosho Ranryu","ninja","Ninjutsu"
44,"",,""
45,"Hollow Nozuchi","ninja",""
46,"Zesho Meppo","ninja","Bhavacakra"
