key,0
#,Status
int32,Status
0,""
1,"Straight Shot Ready"
2,"Freecure"
3,"Overcure"
4,"Thundercloud"
5,"Firestarter"
6,"Succor"
7,"Sharper Fang and Claw"
8,"Enhanced Wheeling Thrust"
9,"Enhanced Slug Shot"
10,"Cleaner Shot"
11,"Enhanced Unleash"
12,"Enhanced Benefic II"
13,"Dive Ready"
14,"Enhanced Enpi"
15,"Verfire Ready"
16,"Verstone Ready"
17,"Impactful"
18,"Enhanced Scatter"
19,"Thundercloud"
20,"Riddle of Wind"
21,"Dualcast"
22,"Abridged"
23,"Riddle of Wind"
24,"Further Ruin"
25,"Flourishing Cascade"
26,"Flourishing Fountain"
27,"Flourishing Windmill"
28,"Flourishing Shower"
29,"Threefold Fan Dance"
30,""
31,"Requiescat"
32,"Draconian Fire"
33,"Ready to Rip"
34,"Ready to Tear"
35,"Ready to Gouge"
36,"Sword Oath"
37,"Assassinate Ready"
38,"Flourishing Fan Dance"
39,"Sword Oath"
40,"Hellish Conduit"
41,"Nascent Chaos"
42,"Ready to Rip"
43,"Ready to Tear"
44,"Ready to Gouge"
45,"Soul Reaver"
46,"竜眼蒼穹実行可"
47,"Threshold"
48,"Soul Reaver"
49,"Threshold"
50,"Flourishing Symmetry"
51,"Flourishing Flow"
52,"Ready to Blast"
53,"Blast Arrow Ready"
54,"Delirium"
55,"Eukrasia"
56,"Enhanced Harpe"
57,"Soulsow"
58,"Raiju Ready"
59,"Fleeting Raiju Ready"
60,"Opo-opo Form"
61,"Primal Rend Ready"
62,"Phantom Kamaitachi Ready"
63,"Immortal Sacrifice"
64,"Improvisation"
65,"Flourishing Finish"
66,"Fourfold Fan Dance"
67,"Flourishing Starfall"
68,"Ifrit's Favor"
69,"Garuda's Favor"
70,"Eukrasia"
71,"Enhanced Harpe"
72,"Ogi Namikiri Ready"
73,"Enhanced Flare"
74,"Enhanced Gibbet"
75,"Enhanced Gallows"
76,"Titan's Favor"
77,"Shadowbite Ready"
