key,0,1
#,Action,Rank
int32,Action,byte
0,"",0
1,"Snort",4
2,"4-tonze Weight",4
3,"Water Cannon",1
4,"Song of Torment",2
5,"High Voltage",4
6,"Bad Breath",3
7,"Flying Frenzy",3
8,"Aqua Breath",4
9,"Plaincracker",2
10,"Acorn Bomb",1
11,"Bristle",2
12,"Mind Blast",1
13,"Blood Drain",1
14,"Bomb Toss",2
15,"1000 Needles",4
16,"Drill Cannons",2
17,"the Look",2
18,"Sharpened Knife",4
19,"Loom",1
20,"Flame Thrower",4
21,"Faze",3
22,"Glower",4
23,"Missile",4
24,"White Wind",3
25,"Final Sting",2
26,"Self-destruct",1
27,"Transfusion",2
28,"Toad Oil",3
29,"Off-guard",2
30,"Sticky Tongue",4
31,"Tail Screw",4
32,"Level 5 Petrify",2
33,"Moon Flute",1
34,"Doom",4
35,"Mighty Guard",4
36,"Ice Spikes",1
37,"the Ram's Voice",2
38,"the Dragon's Voice",2
39,"Peculiar Light",2
40,"Ink Jet",3
41,"Flying Sardine",1
42,"Diamondback",4
43,"Fire Angon",3
44,"Feather Rain",5
45,"Eruption",5
46,"Mountain Buster",5
47,"Shock Strike",5
48,"Glass Dance",5
49,"Veil of the Whorl",5
50,"Alpine Draft",2
51,"Protean Wave",3
52,"Northerlies",4
53,"Electrogenesis",2
54,"Kaltstrahl",2
55,"Abyssal Transfixion",4
56,"Chirp",1
57,"Eerie Soundwave",2
58,"Pom Cure",3
59,"Gobskin",4
60,"Magic Hammer",2
61,"Avail",1
62,"Frog Legs",1
63,"Sonic Boom",4
64,"Whistle",3
65,"White Knight's Tour",2
66,"Black Knight's Tour",2
67,"Level 5 Death",4
68,"Launcher",2
69,"Perpetual Ray",4
70,"Cactguard",1
71,"Revenge Blast",2
72,"Angel Whisper",4
73,"Exuviation",2
74,"Reflux",3
75,"Devour",1
76,"Condensed Libra",3
77,"Aetheric Mimicry",4
78,"Surpanakha",5
79,"Quasar",5
80,"J Kick",5
81,"Triple Trident",1
82,"Tingle",2
83,"Tatami-gaeshi",3
84,"Cold Fog",4
85,"Stotram",2
86,"Saintly Beam",2
87,"Feculent Flood",1
88,"Angel's Snack",3
89,"Chelonian Gate",4
90,"The Rose of Destruction",2
91,"Basic Instinct",2
92,"Ultravibration",1
93,"Blaze",2
94,"Mustard Bomb",4
95,"Dragon Force",3
96,"Aetherial Spark",1
97,"Hydro Pull",4
98,"Malediction of Water",2
99,"Choco Meteor",1
100,"Matra Magic",3
101,"Peripheral Synthesis",4
102,"Both Ends",5
103,"Phantom Flurry",5
104,"Nightbloom",5
105,"Goblin Punch",1
106,"Right Round",2
107,"Schiltron",1
108,"Rehydration",1
109,"Breath of Magic",3
110,"Wild Rage",4
111,"Peat Pelt",2
112,"Deep Clean",3
113,"Ruby Dynamics",4
114,"Divination Rune",4
115,"Dimensional Shift",4
116,"Conviction Marcato",3
117,"Force Field",3
118,"Winged Reprobation",3
119,"Laser Eye",3
120,"Candy Cane",2
121,"Mortal Flame",3
122,"Sea Shanty",5
123,"Apokalypsis",5
124,"Being Mortal",5
