key,0,1,2,3
#,AquariumWater,Size,Item,
int32,AquariumWater,byte,Item,uint16
0,"nothing",0,"",0
2,"Freshwater",1,"Copperfish",40
3,"Saltwater",1,"Coral Butterfly",49
4,"Saltwater",2,"Blowfish",7
5,"Freshwater",2,"Clown Loach",54
6,"Freshwater",2,"Dark Bass",31
7,"Freshwater",2,"Tricolored Carp",13
8,"Freshwater",3,"Whilom Catfish",52
9,"Freshwater",3,"Blood Red Bonytongue",61
10,"Saltwater",3,"Coelacanth",98
11,"Saltwater",4,"Silver Shark",3
12,"Saltwater",4,"Mazlaya Marlin",28
13,"Saltwater",4,"Helmsman's Hand",7
14,"Freshwater",4,"Euphotic Pirarucu",41
15,"Freshwater",1,"Chub",19
16,"Saltwater",1,"Harbor Herring",46
17,"Freshwater",2,"Mirrorscale",19
18,"Freshwater",2,"Cupfish",41
19,"Saltwater",2,"Angelfish",42
20,"Freshwater",3,"Goblin Perch",2
21,"Freshwater",3,"Vanuhead",57
22,"Saltwater",3,"Mummer Wrasse",127
23,"Saltwater",4,"Dinichthys",10
24,"Freshwater",4,"Giant Takitaro",23
25,"Freshwater",1,"Bubble Eye",118
26,"Saltwater",1,"Harutsuge",151
27,"Freshwater",2,"Goldfish",6
28,"Freshwater",2,"Blue Widow",28
29,"Freshwater",2,"Bonytongue",73
30,"Saltwater",2,"Fullmoon Sardine",8
31,"Freshwater",2,"Raincaller",85
32,"Saltwater",3,"Bombardfish",3
33,"Saltwater",4,"Titanic Sawfish",13
34,"Saltwater",4,"Liopleurodon",67
35,"Freshwater",1,"Grip Killifish",21
36,"Saltwater",1,"Tiger Cod",63
37,"Freshwater",2,"Kissing Fish",101
38,"Freshwater",2,"Judgment Staff",131
39,"Freshwater",2,"Yellow Prismfish",153
40,"Freshwater",2,"Cherubfish",217
41,"Freshwater",2,"Dusk Herald",218
42,"Freshwater",3,"Emperor Fish",40
43,"Saltwater",3,"Hanatatsu",156
44,"Saltwater",4,"Megalodon",12
45,"Freshwater",1,"Seraphim",132
46,"Saltwater",1,"Hatchetfish",200
47,"Freshwater",2,"Paglth'an Discus",78
48,"Freshwater",2,"Silken Koi",152
49,"Freshwater",2,"Blue Prismfish",154
50,"Saltwater",2,"Black Boxfish",194
51,"Saltwater",2,"Redcoat",207
52,"Freshwater",3,"Ichthyosaur",194
53,"Saltwater",3,"Corpse-eater",174
54,"Freshwater",1,"Doman Bubble Eye",216
55,"Freshwater",1,"Guppy",227
56,"Saltwater",2,"Zekki Grouper",149
57,"Saltwater",2,"Swordfish",175
58,"Freshwater",2,"Common Bitterling",205
59,"Freshwater",2,"Redfin",209
60,"Freshwater",2,"Violet Prismfish",226
61,"Saltwater",3,"Hammerhead Shark",29
62,"Freshwater",3,"Hannibal",132
63,"Saltwater",4,"Shrieker",2
64,"Freshwater",4,"Canavan",17
65,"Freshwater",1,"Armor Fish",125
66,"Freshwater",2,"Crimson Trout",68
67,"Freshwater",2,"Marble Oscar",107
68,"Freshwater",2,"Noontide Oscar",110
69,"Freshwater",2,"Dragonhead",117
70,"Freshwater",2,"Pipira Pira",129
71,"Freshwater",2,"Nagxian Mullet",206
72,"Freshwater",3,"Grass Shark",186
73,"Saltwater",3,"Ukiki",199
74,"Freshwater",4,"Tigerfish",18
75,"Freshwater",1,"Rockfish",226
76,"Saltwater",2,"Goldenfin",1
77,"Freshwater",2,"High Perch",35
78,"Freshwater",2,"Wandering Sculpin",79
79,"Freshwater",2,"Yanxian Barramundi",144
80,"Freshwater",2,"Highland Perch",171
81,"Saltwater",2,"False Scad",203
82,"Saltwater",3,"Zebra Shark",170
83,"Freshwater",3,"Fifty-summer Cod",179
84,"Saltwater",4,"Silver Sovereign",11
85,"Freshwater",1,"Dravanian Squeaker",117
86,"Freshwater",2,"Archerfish",30
87,"Freshwater",2,"Orn Butterfly",96
88,"Freshwater",2,"Discus",143
89,"Freshwater",2,"Sailfin",221
90,"Saltwater",2,"Navigator's Brand",59
91,"Saltwater",2,"Indigo Herring",81
92,"Freshwater",3,"Cavalry Catfish",181
93,"Saltwater",3,"Motley Beakfish",192
94,"Freshwater",4,"Paikiller",60
95,"Saltwater",1,"Eulmore Butterfly",287
96,"Freshwater",1,"Toadhead",305
97,"Freshwater",2,"Red Prismfish",233
98,"Freshwater",2,"Elder Gourami",234
99,"Freshwater",2,"The Archbishop",236
100,"Freshwater",2,"Sinspitter",266
101,"Freshwater",2,"Noblefish",300
102,"Freshwater",3,"Mirage Mahi",204
103,"Freshwater",4,"Warden of the Seven Hues",71
104,"Saltwater",4,"Ondobane",78
105,"Freshwater",1,"Eternal Eye",222
106,"Freshwater",1,"Poecilia",319
107,"Saltwater",2,"Glass Tuna",180
108,"Saltwater",2,"Kholusian Wrasse",272
109,"Freshwater",2,"Wimple Carp",280
110,"Freshwater",2,"Clown Tetra",285
111,"Freshwater",3,"Ghoulfish",248
112,"Freshwater",3,"Little Bismarck",252
113,"Freshwater",4,"Vicejaw",75
114,"Saltwater",4,"Red Hammerhead",76
115,"Freshwater",1,"The Unconditional",255
116,"Freshwater",1,"Darkdweller",306
117,"Freshwater",2,"Xanthic Bass",262
118,"Freshwater",2,"Big-eye",295
119,"Freshwater",2,"Geayi",299
120,"Saltwater",2,"Spectral Discus",348
121,"Freshwater",3,"Measan Deala",249
122,"Saltwater",3,"Spectral Bass",285
123,"Freshwater",4,"Xenacanthus",72
124,"Saltwater",4,"Stonescale",88
125,"Freshwater",1,"Indigo Prismfish",244
126,"Freshwater",1,"Green Prismfish",245
127,"Freshwater",2,"River Bream",216
128,"Freshwater",2,"Mirrorfish",303
129,"Freshwater",2,"Queensgown",306
130,"Saltwater",2,"Jasperhead",326
131,"Freshwater",3,"Albino Garfish",218
132,"Freshwater",3,"Anpa's Handmaid",257
133,"Freshwater",4,"Loosetongue",42
134,"Saltwater",4,"Spectral Megalodon",85
135,"Freshwater",1,"Loose Pendant",335
136,"Freshwater",1,"Sunken Tome",378
137,"Saltwater",1,"Spectral Butterfly",396
138,"Freshwater",2,"Blue Mountain Bubble",315
139,"Freshwater",2,"Jester Fish",312
140,"Freshwater",2,"Platinum Bream",298
141,"Freshwater",2,"Yellow Pipira",278
142,"Saltwater",2,"Tripod Fish",325
143,"Freshwater",3,"Giant Taimen",288
144,"Saltwater",4,"Funnel Shark",84
145,"Freshwater",1,"Spotted Blue-eye",289
146,"Freshwater",1,"Black Tri-star",298
147,"Freshwater",1,"Moonlight Guppy",377
148,"Freshwater",2,"White Ronso",350
149,"Freshwater",2,"Idle Goby",349
150,"Freshwater",2,"Everdark Bass",311
151,"Saltwater",2,"Bonefish",267
152,"Saltwater",2,"Mythril Sovereign",338
