key,0,1,2,3,4,5,6,7,8,9,10,11
#,UnlockType1,UnlockCriteria1[0],UnlockCriteria1[1],UnlockCriteria1[2],UnlockCriteria1[3],UnlockCriteria1[4],UnlockCriteria1[5],UnlockType2,UnlockCriteria2,UnlockCriteria3,UnlockCriteria4,PrerequisiteType
int32,byte,Row,Row,Row,Row,Row,Row,uint32,Row,Row,Row,bit&01
0,0,,,,,,,0,,,,False
1,10,,,,,,,0,,,,False
2,5,"Big Grin",,"Wave",,,,0,,,,False
3,5,"Reflect",,"Bow",,,,0,,,,False
4,5,"Ponder",,"Angry",,,,0,,,,False
5,5,"Endure",,"Angry",,,,0,,,,False
6,5,"Eastern Bow",,"Angry",,,,0,,,,False
7,5,"Greeting",,"Angry",,,,0,,,,False
8,5,"Imperial Salute",,"Angry",,,,0,,,,False
9,5,"Lali-ho",,"Angry",,,,0,,,,False
10,5,"Battle Stance",,"Angry",,,,0,,,,False
11,5,"Victory",,"Angry",,,,0,,,,False
12,5,"Haurchefant",,"Angry",,,,0,,,,False
13,5,"Gratuity",,"Angry",,,,0,,,,False
14,5,"Throw",,"Angry",,,,0,,,,False
15,5,"Spectacles",,"Angry",,,,0,,,,False
16,5,"Shush",,"Angry",,,,0,,,,False
17,5,"Step Dance",,"Angry",,,,0,,,,False
18,5,"Harvest Dance",,"Angry",,,,0,,,,False
19,5,"Ball Dance",,"Angry",,,,0,,,,False
20,5,"Manderville Dance",,"Angry",,,,0,,,,False
21,5,"Most Gentlemanly",,"Angry",,,,0,,,,False
22,5,"Sundrop Dance",,"Angry",,,,0,,,,False
23,5,"Moonlift Dance",,"Angry",,,,0,,,,False
24,5,"Moogle Dance",,"Angry",,,,0,,,,False
25,5,"Hum",,"Angry",,,,0,,,,False
26,5,"Manderville Mambo",,"Angry",,,,0,,,,False
27,5,"Box",,"Angry",,,,0,,,,False
28,5,"Embrace",,"Angry",,,,0,,,,True
29,5,"Thavnairian Dance",,"Wave",,,,0,,,,False
30,5,"Gold Dance",,"Wave",,,,0,,,,False
31,5,"Bee's Knees",,"Wave",,,,0,,,,False
32,5,"Headache",,"Kneel",,,,0,,,,False
33,5,"Tremble",,"Lookout",,,,0,,,,False
34,5,"Winded",,"Lookout",,,,0,,,,False
35,5,"Insist",,"Joy",,,,0,,,,False
36,5,"Break Fast",,"Joy",,,,0,,,,False
