key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
#,,,,,Model{MainHand},Dye{MainHand},Model{OffHand},Dye{OffHand},,,Model{Head},Dye{Head},Model{Body},Dye{Body},Model{Hands},Dye{Hands},Model{Legs},Dye{Legs},Model{Feet},Dye{Feet},Model{Ears},Dye{Ears},Model{Neck},Dye{Neck},Model{Wrists},Dye{Wrists},Model{LeftRing},Dye{LeftRing},Model{RightRing},Dye{RightRing}
int32,uint32,uint32,byte,sbyte,int64,Stain,int64,Stain,int64,byte,uint32,Stain,uint32,Stain,uint32,Stain,uint32,Stain,uint32,Stain,uint32,Stain,uint32,Stain,uint32,Stain,uint32,Stain,uint32,Stain
0,0,0,0,-1,"0, 0, 0, 0","No Color","0, 0, 0, 0","No Color","0, 0, 0, 0",0,0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
1,2,7,1,0,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",131156,"No Color",131156,"No Color",131156,"No Color",131156,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
2,2,7,1,1,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",131157,"No Color",131157,"No Color",131157,"No Color",131157,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
3,2,7,2,0,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",131158,"No Color",131158,"No Color",131158,"No Color",131158,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
4,2,7,2,1,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",131159,"No Color",131159,"No Color",131159,"No Color",131159,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
5,2,7,3,0,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",131164,"No Color",131164,"No Color",131164,"No Color",131164,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
6,2,7,3,1,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",131165,"No Color",131165,"No Color",131165,"No Color",131165,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
7,2,7,4,0,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",131160,"No Color",131160,"No Color",131160,"No Color",131160,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
8,2,7,4,1,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",131161,"No Color",131161,"No Color",131161,"No Color",131161,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
9,2,7,5,0,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",131162,"No Color",131162,"No Color",131162,"No Color",131162,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
10,2,7,5,1,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",131163,"No Color",131163,"No Color",131163,"No Color",131163,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
11,2,7,6,0,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",131329,"No Color",131329,"No Color",131329,"No Color",131329,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
12,2,7,6,1,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",131330,"No Color",131330,"No Color",131330,"No Color",131330,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
13,2,7,7,0,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",66133,"No Color",66133,"No Color",66133,"No Color",66133,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
14,2,7,7,1,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",66365,"No Color",66365,"No Color",66365,"No Color",66365,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
15,2,7,8,0,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",66280,"No Color",66280,"No Color",66280,"No Color",66280,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
16,2,7,8,1,"3101, 6, 1, 0","No Color","3151, 6, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",66117,"No Color",66117,"No Color",66117,"No Color",66117,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
17,1,7,0,-1,"3101, 1, 1, 0","No Color","3151, 1, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",66376,"No Color",66376,"No Color",66376,"No Color",66376,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
18,3,7,0,-1,"3101, 9, 1, 0","No Color","3151, 9, 1, 0","No Color","0, 0, 0, 0",0,131296,"No Color",131296,"No Color",131296,"No Color",131296,"No Color",131296,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
19,4,7,0,-1,"3001, 3, 1, 0","No Color","3051, 3, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",131261,"No Color",131261,"No Color",131261,"No Color",131261,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
20,5,7,0,-1,"3101, 5, 1, 0","No Color","3151, 5, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",197009,"No Color",197009,"No Color",197008,"No Color",197007,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
21,6,7,0,-1,"3101, 9, 1, 0","No Color","3151, 9, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",131345,"No Color",131345,"No Color",131345,"No Color",131345,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
22,7,7,0,-1,"3001, 2, 1, 0","No Color","3051, 2, 1, 0","No Color","0, 0, 0, 0",0,0,"No Color",65638,"No Color",65638,"No Color",65638,"No Color",65638,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color",0,"No Color"
