key,0,1,2,3
#,Item,Order,Category,
int32,Item,uint16,CabinetCategory,byte
0,"Gallant Coronet",1,"Artifact Armor",1
1,"Gallant Surcoat",2,"Artifact Armor",1
2,"Gallant Cuisses",4,"Artifact Armor",1
3,"Gallant Gauntlets",3,"Artifact Armor",1
4,"Gallant Sollerets",5,"Artifact Armor",1
5,"Temple Circlet",1,"Artifact Armor",2
6,"Temple Cyclas",2,"Artifact Armor",2
7,"Temple Gaskins",4,"Artifact Armor",2
8,"Temple Gloves",3,"Artifact Armor",2
9,"Temple Boots",5,"Artifact Armor",2
10,"Fighter's Burgeonet",1,"Artifact Armor",3
11,"Fighter's Cuirass",2,"Artifact Armor",3
12,"Fighter's Breeches",4,"Artifact Armor",3
13,"Fighter's Gauntlets",3,"Artifact Armor",3
14,"Fighter's Jackboots",5,"Artifact Armor",3
15,"Drachen Armet",1,"Artifact Armor",4
16,"Drachen Mail",2,"Artifact Armor",4
17,"Drachen Breeches",4,"Artifact Armor",4
18,"Drachen Gauntlets",3,"Artifact Armor",4
19,"Drachen Greaves",5,"Artifact Armor",4
20,"Choral Chapeau",1,"Artifact Armor",5
21,"Choral Shirt",2,"Artifact Armor",5
22,"Choral Tights",4,"Artifact Armor",5
23,"Choral Ringbands",3,"Artifact Armor",5
24,"Choral Sandals",5,"Artifact Armor",5
25,"Healer's Circlet",1,"Artifact Armor",7
26,"Healer's Robe",2,"Artifact Armor",7
27,"Healer's Culottes",4,"Artifact Armor",7
28,"Healer's Gloves",3,"Artifact Armor",7
29,"Healer's Boots",5,"Artifact Armor",7
30,"Wizard's Petasos",1,"Artifact Armor",8
31,"Wizard's Coat",2,"Artifact Armor",8
32,"Wizard's Tonban",4,"Artifact Armor",8
33,"Wizard's Gloves",3,"Artifact Armor",8
34,"Wizard's Crakows",5,"Artifact Armor",8
35,"Dragon Kabuto",4,"Seasonal Gear 4",44
36,"Crimson Dragon Kabuto",5,"Seasonal Gear 4",44
37,"Golden Dragon Kabuto",6,"Seasonal Gear 4",44
38,"Black Dragon Kabuto",7,"Seasonal Gear 4",44
39,"Paramour's Pendant",1,"Seasonal Gear 4",55
40,"Platinum Paramour's Pendant",2,"Seasonal Gear 4",55
41,"Band of Eternal Passion",3,"Seasonal Gear 4",55
42,"Peach Blossoms",1,"Seasonal Gear 1",12
43,"Pristine Egg Cap",1,"Seasonal Gear 1",19
44,"Vibrant Egg Cap",2,"Seasonal Gear 1",19
45,"Brilliant Egg Cap",3,"Seasonal Gear 1",19
