key,0,1,2,3
#,MenuOrder,HideOrder,Icon,Category
int32,byte,byte,Image,Addon
0,0,0,,""
1,1,0,"ui/icon/061000/061828.tex","Artifact Armor"
2,2,0,"ui/icon/061000/061826.tex","Seasonal Gear 1"
3,7,0,"ui/icon/061000/061830.tex","Achievements"
4,8,0,"ui/icon/061000/061831.tex","Exclusive Extras"
5,3,0,"ui/icon/061000/061826.tex","Seasonal Gear 2"
6,4,0,"ui/icon/061000/061826.tex","Seasonal Gear 3"
7,5,0,"ui/icon/061000/061826.tex","Seasonal Gear 4"
8,6,0,"ui/icon/061000/061826.tex","Seasonal Gear 5"
9,9,1,"ui/icon/061000/061849.tex","Costumes"
10,10,1,"ui/icon/061000/061849.tex","Fashions"
11,11,1,"ui/icon/061000/061849.tex","Mascots"
