key,0,1,2,3,4,5,6
#,Category,Image,,UnlockCondition,SortKey,Name,
int32,byte,Image,int32,BannerCondition,uint16,uint16,str
0,0,,0,"BannerCondition#0",1,0,"None"
1,2,,194002,"BannerCondition#0",1,1,"Glossy"
2,2,,194003,"BannerCondition#0",1,6,"Squares"
3,2,,194004,"BannerCondition#0",1,7,"Dots"
4,2,,194005,"BannerCondition#0",1,8,"Checkerboard"
5,2,,194006,"BannerCondition#0",1,2,"Grid"
6,2,,194007,"BannerCondition#0",1,3,"Diagonal Lines"
7,2,,194008,"BannerCondition#0",1,4,"Diagonal Slice"
8,2,,194009,"BannerCondition#0",1,5,"Triangles"
9,2,,194010,"BannerCondition#0",1,10,"Vellum"
10,2,,194011,"BannerCondition#0",1,9,"Corner Accent"
11,1,,195002,"BannerCondition#0",1,1,"Shadow"
12,1,,195003,"BannerCondition#0",1,2,"Light"
13,1,,195004,"BannerCondition#0",1,3,"Dots"
14,1,,195005,"BannerCondition#0",1,4,"Notebook"
15,1,,195006,"BannerCondition#0",1,5,"Scrapbook"
16,1,,195007,"BannerCondition#0",1,6,"Arcane Sigil"
17,1,,195008,"BannerCondition#0",1,7,"Vellum"
18,1,,195009,"BannerCondition#0",1,8,"Paint"
19,1,,195010,"BannerCondition#0",1,9,"Metal Signboard"
20,1,,195011,"BannerCondition#0",1,10,"Parchment Stack"
21,3,,197002,"BannerCondition#0",1,3,"Banner"
22,3,,197003,"BannerCondition#0",1,4,"Welcome Back"
23,3,,197004,"BannerCondition#0",1,5,"Curved Metal"
24,3,,197005,"BannerCondition#0",1,6,"Tank Marker"
25,3,,197006,"BannerCondition#0",1,8,"DPS Marker"
26,3,,197007,"BannerCondition#0",1,7,"Healer Marker"
27,3,,197008,"BannerCondition#0",1,1,"Simple"
28,3,,197009,"BannerCondition#0",1,2,"Beveled"
29,3,,197010,"BannerCondition#0",1,9,"Notes"
30,3,,197011,"BannerCondition#0",1,10,"Scrapbook"
31,4,,198002,"BannerCondition#0",1,3,"Black"
32,4,,198003,"BannerCondition#0",1,2,"White"
33,4,,198004,"BannerCondition#0",1,5,"Gemstone Inlay (Thick)"
34,4,,198005,"BannerCondition#0",1,4,"Gemstone Inlay (Thin)"
35,4,,198006,"BannerCondition#0",1,6,"Limsa Lominsa"
36,4,,198007,"BannerCondition#0",1,7,"Gridania"
37,4,,198008,"BannerCondition#0",1,8,"Ul'dah"
38,4,,198009,"BannerCondition#0",1,1,"Metal"
39,4,,198010,"BannerCondition#0",298,10,"Triple Triad Ex."
40,4,,198011,"BannerCondition#0",298,9,"Triple Triad"
41,5,,199002,"BannerCondition#0",1,1,"Gil"
42,5,,199003,"BannerCondition#0",1,2,"Quill"
43,5,,199004,"BannerCondition#0",1,3,"Stickers"
44,5,,199005,"BannerCondition#0",1,4,"Maps"
45,5,,199006,"BannerCondition#0",1,5,"Ribbon"
46,5,,199007,"BannerCondition#0",1,6,"Letters"
47,5,,199008,"BannerCondition#0",1,7,"Music"
48,5,,199009,"BannerCondition#0",1,8,"Bouquet"
49,5,,199010,"BannerCondition#0",1,9,"Notes"
50,5,,199011,"BannerCondition#0",1,10,"Stamps"
51,2,,194201,"BannerCondition#0",156,950,"Gladiator"
52,2,,194202,"BannerCondition#0",157,951,"Marauder"
53,2,,194203,"BannerCondition#0",158,952,"Conjurer"
54,2,,194204,"BannerCondition#0",159,953,"Pugilist"
55,2,,194205,"BannerCondition#0",160,954,"Lancer"
56,2,,194206,"BannerCondition#0",161,955,"Rogue"
57,2,,194207,"BannerCondition#0",162,956,"Archer"
58,2,,194208,"BannerCondition#0",163,957,"Thaumaturge"
59,2,,194209,"BannerCondition#0",164,958,"Arcanist"
60,2,,194210,"BannerCondition#0",300,1000,"Paladin"
61,2,,194211,"BannerCondition#0",301,1001,"Warrior"
62,2,,194212,"BannerCondition#0",302,1002,"Dark Knight"
63,2,,194213,"BannerCondition#0",303,1003,"Gunbreaker"
64,2,,194214,"BannerCondition#0",304,1004,"White Mage"
65,2,,194215,"BannerCondition#0",305,1005,"Scholar"
66,2,,194216,"BannerCondition#0",306,1006,"Astrologian"
67,2,,194217,"BannerCondition#0",307,1007,"Sage"
68,2,,194218,"BannerCondition#0",308,1008,"Monk"
69,2,,194219,"BannerCondition#0",309,1009,"Dragoon"
70,2,,194220,"BannerCondition#0",310,1010,"Ninja"
71,2,,194221,"BannerCondition#0",311,1011,"Samurai"
72,2,,194222,"BannerCondition#0",312,1012,"Reaper"
73,2,,194223,"BannerCondition#0",313,1013,"Bard"
74,2,,194224,"BannerCondition#0",314,1014,"Machinist"
75,2,,194225,"BannerCondition#0",315,1015,"Dancer"
76,2,,194226,"BannerCondition#0",316,1016,"Black Mage"
77,2,,194227,"BannerCondition#0",317,1017,"Summoner"
78,2,,194228,"BannerCondition#0",318,1018,"Red Mage"
79,2,,194229,"BannerCondition#0",232,1019,"Blue Mage"
80,2,,194230,"BannerCondition#0",268,1100,"Carpenter"
81,2,,194231,"BannerCondition#0",269,1101,"Blacksmith"
82,2,,194232,"BannerCondition#0",270,1102,"Armorer"
83,2,,194233,"BannerCondition#0",271,1103,"Goldsmith"
84,2,,194234,"BannerCondition#0",272,1104,"Leatherworker"
85,2,,194235,"BannerCondition#0",273,1105,"Weaver"
86,2,,194236,"BannerCondition#0",274,1106,"Alchemist"
87,2,,194237,"BannerCondition#0",275,1107,"Culinarian"
88,2,,194238,"BannerCondition#0",285,1108,"Miner"
89,2,,194239,"BannerCondition#0",286,1109,"Botanist"
90,2,,194240,"BannerCondition#0",287,1110,"Fisher"
91,0,,0,"BannerCondition#0",0,0,""
92,0,,0,"BannerCondition#0",0,0,""
93,0,,0,"BannerCondition#0",0,0,""
94,0,,0,"BannerCondition#0",0,0,""
95,0,,0,"BannerCondition#0",0,0,""
96,0,,0,"BannerCondition#0",0,0,""
97,0,,0,"BannerCondition#0",0,0,""
98,0,,0,"BannerCondition#0",0,0,""
99,0,,0,"BannerCondition#0",0,0,""
100,0,,0,"BannerCondition#0",0,0,""
101,0,,0,"BannerCondition#0",0,0,""
102,0,,0,"BannerCondition#0",0,0,""
103,0,,0,"BannerCondition#0",0,0,""
104,0,,0,"BannerCondition#0",0,0,""
105,0,,0,"BannerCondition#0",0,0,""
106,0,,0,"BannerCondition#0",0,0,""
107,0,,0,"BannerCondition#0",0,0,""
108,0,,0,"BannerCondition#0",0,0,""
109,0,,0,"BannerCondition#0",0,0,""
110,0,,0,"BannerCondition#0",0,0,""
111,0,,0,"BannerCondition#0",0,0,""
112,0,,0,"BannerCondition#0",0,0,""
113,0,,0,"BannerCondition#0",0,0,""
114,0,,0,"BannerCondition#0",0,0,""
115,0,,0,"BannerCondition#0",0,0,""
116,0,,0,"BannerCondition#0",0,0,""
117,0,,0,"BannerCondition#0",0,0,""
118,0,,0,"BannerCondition#0",0,0,""
119,0,,0,"BannerCondition#0",0,0,""
120,0,,0,"BannerCondition#0",0,0,""
121,0,,0,"BannerCondition#0",0,0,""
122,0,,0,"BannerCondition#0",0,0,""
123,0,,0,"BannerCondition#0",0,0,""
124,0,,0,"BannerCondition#0",0,0,""
125,0,,0,"BannerCondition#0",0,0,""
126,0,,0,"BannerCondition#0",0,0,""
127,0,,0,"BannerCondition#0",0,0,""
128,0,,0,"BannerCondition#0",0,0,""
129,0,,0,"BannerCondition#0",0,0,""
130,0,,0,"BannerCondition#0",0,0,""
131,0,,0,"BannerCondition#0",0,0,""
132,0,,0,"BannerCondition#0",0,0,""
133,0,,0,"BannerCondition#0",0,0,""
134,0,,0,"BannerCondition#0",0,0,""
135,0,,0,"BannerCondition#0",0,0,""
136,0,,0,"BannerCondition#0",0,0,""
137,0,,0,"BannerCondition#0",0,0,""
138,0,,0,"BannerCondition#0",0,0,""
139,0,,0,"BannerCondition#0",0,0,""
140,0,,0,"BannerCondition#0",0,0,""
141,0,,0,"BannerCondition#0",0,0,""
142,0,,0,"BannerCondition#0",0,0,""
143,0,,0,"BannerCondition#0",0,0,""
144,0,,0,"BannerCondition#0",0,0,""
145,0,,0,"BannerCondition#0",0,0,""
146,0,,0,"BannerCondition#0",0,0,""
147,0,,0,"BannerCondition#0",0,0,""
148,0,,0,"BannerCondition#0",0,0,""
149,0,,0,"BannerCondition#0",0,0,""
150,0,,0,"BannerCondition#0",0,0,""
151,0,,0,"BannerCondition#0",0,0,""
152,3,,197901,"BannerCondition#0",154,4000,"Companion 1"
153,3,,197902,"BannerCondition#0",155,4001,"Companion 2"
154,4,,198901,"BannerCondition#0",154,4000,"Companion 1"
155,4,,198902,"BannerCondition#0",155,4001,"Companion 2"
156,5,,199901,"BannerCondition#0",154,4000,"Companion 1"
157,5,,199902,"BannerCondition#0",155,4001,"Companion 2"
158,1,,195901,"BannerCondition#0",154,4000,"Companion Sticker 1"
159,1,,195902,"BannerCondition#0",155,4001,"Companion Sticker 2"
160,1,,195701,"BannerCondition#0",319,2500,"Unending Coil of Bahamut"
