key,0,1,2,3,4,5,6,7,8,9
#,BasePlate,TopBorder,BottomBorder,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,Name
int32,CharaCardBase,CharaCardHeader,CharaCardHeader,CharaCardDecoration,CharaCardDecoration,CharaCardDecoration,CharaCardDecoration,CharaCardDecoration,uint16,str
0,"None","None","None","0","0","0","0","0",0,"Custom"
1,"Solid Black","Black Gradient","None","1","1","0","0","0",1,"Basic"
2,"Solid White","Purple Gradient","Purple Gradient","1","6","0","0","0",2,"Modern"
3,"Semi-transparent","Semi-transparent Blue","Semi-transparent Blue","8","0","0","0","0",3,"Stylized"
4,"Solid Purple","Purple Gradient","Purple Gradient","3","7","0","0","0",4,"Pop"
5,"Tank Gradient","None","Black Gradient","1","9","6","0","0",5,"Tank"
6,"DPS Gradient","None","Black Gradient","1","9","8","0","0",7,"DPS"
7,"Healer Gradient","None","Black Gradient","1","9","7","0","0",6,"Healer"
8,"DPS Gradient","Spear","Spear","10","8","2","6","2",8,"Limsa Lominsa"
9,"Solid Beige","Wood Planks","Wood Planks","10","8","2","7","2",9,"Gridania"
10,"Semi-transparent","Carved Ivory","Carved Ivory","10","8","2","8","2",10,"Ul'dah"
11,"Solid Ivory","Wood Grain","Wood Grain","9","10","2","1","9",11,"Frontier"
12,"Solid Ivory","Scroll","Scroll","4","10","10","1","4",12,"Adventure"
13,"Unending Coil of Bahamut","Unending Coil of Bahamut","None","2500","0","2500","2500","2500",100,"Unending Coil of Bahamut"
14,"Weapon's Refrain","Weapon's Refrain","None","2501","0","2501","2501","2501",101,"Weapon's Refrain"
15,"Epic of Alexander","Epic of Alexander","None","2502","0","2502","2502","2502",102,"Epic of Alexander"
16,"Dragonsong's Reprise","Dragonsong's Reprise","None","2503","0","2503","2503","2503",103,"Dragonsong's Reprise"
17,"Solid White","None","None","0","2400","2400","0","0",80,"Sil'dihn Subterrane (Variant)"
18,"Last Dregs","Last Dregs","Last Dregs","0","0","0","0","2304",94,"Last Dregs"
19,"Circular Geometry","None","None","0","0","0","11","0",13,"Circular Geometry"
20,"Coffee Break","None","None","0","11","0","0","11",14,"Café"
21,"Piano Forte","Music","Music","0","0","0","0","12",15,"Music"
22,"Dreamspinners","Dreamspinners","Dreamspinners","0","0","0","0","2300",90,"Dreamspinners"
23,"Stewards","Stewards","Stewards","0","0","0","0","2301",91,"Stewards"
24,"Watts's Anvil","Watts's Anvil","Watts's Anvil","0","0","0","0","2302",92,"Watts's Anvil"
25,"Hippo Riders","Hippo Riders","Hippo Riders","0","0","0","0","2303",93,"Hippo Riders"
26,"None","None","None","0","0","0","0","0",0,""
27,"None","None","None","0","0","0","0","0",0,""
28,"None","None","None","0","0","0","0","0",0,""
29,"None","None","None","0","0","0","0","0",0,""
30,"Four Lords","None","None","0","0","0","2250","0",89,"Four Lords"
31,"Island Vacation","None","None","0","0","0","2340","2340",96,"Island Vacation"
32,"Island Memories","None","None","0","0","0","2341","2341",97,"Island Memories"
33,"None","None","None","0","0","0","0","0",0,""
34,"None","None","None","0","0","0","0","0",0,""
35,"None","None","None","0","0","0","0","0",0,""
36,"None","None","None","0","0","0","0","0",0,""
37,"None","None","None","0","0","0","0","0",0,""
38,"None","None","None","0","0","0","0","0",0,""
39,"None","None","None","0","0","0","0","0",0,""
40,"None","None","None","0","0","0","0","0",0,""
41,"None","None","None","0","0","0","0","0",0,""
42,"None","None","None","0","0","0","0","0",0,""
43,"None","None","None","0","0","0","0","0",0,""
44,"None","None","None","0","0","0","0","0",0,""
45,"None","None","None","0","0","0","0","0",0,""
46,"None","None","None","0","0","0","0","0",0,""
47,"None","None","None","0","0","0","0","0",0,""
48,"None","None","None","0","0","0","0","0",0,""
49,"None","None","None","0","0","0","0","0",0,""
50,"None","None","None","0","0","0","0","0",0,""
