key,0,1,2
#,Icon,SortKey,Name
int32,Image,byte,str
0,"ui/icon/061000/061762.tex",0,"None"
1,"ui/icon/061000/061801.tex",20,"Dungeons"
2,"ui/icon/061000/061804.tex",21,"Trials"
3,"ui/icon/061000/061802.tex",22,"Raids"
4,"ui/icon/061000/061832.tex",23,"Ultimate Raids"
5,"ui/icon/061000/061824.tex",30,"Deep Dungeons"
6,"ui/icon/061000/061837.tex",31,"Field Operations"
7,"ui/icon/061000/061806.tex",40,"PvP"
8,"ui/icon/061000/061836.tex",51,"Blue Mage"
9,"ui/icon/061000/061808.tex",52,"Treasure Hunts"
10,"ui/icon/061000/061819.tex",53,"The Hunt"
11,"ui/icon/061000/061816.tex",100,"Crafting"
12,"ui/icon/061000/061755.tex",101,"Botany/Mining"
13,"ui/icon/061000/061756.tex",102,"Fishing"
14,"ui/icon/061000/061757.tex",10,"Main Scenario"
15,"ui/icon/061000/061820.tex",54,"Gold Saucer"
16,"ui/icon/061000/061807.tex",50,"Duty Roulette"
17,"ui/icon/061000/061752.tex",150,"Leveling"
18,"ui/icon/061000/061751.tex",151,"Role-playing"
19,"ui/icon/061000/061754.tex",153,"Hardcore"
20,"ui/icon/061000/061753.tex",152,"Casual"
21,"ui/icon/061000/061823.tex",154,"New Adventurer"
22,"ui/icon/061000/061760.tex",155,"Mentor"
23,"ui/icon/061000/061758.tex",200,"Making Gil"
24,"ui/icon/061000/061764.tex",205,"Group Pose"
25,"ui/icon/061000/061759.tex",204,"Glamour"
26,"ui/icon/061000/061763.tex",203,"Performance Mode"
27,"ui/icon/061000/061765.tex",206,"Player Chat"
28,"ui/icon/061000/061761.tex",202,"Housing"
29,"ui/icon/061000/061766.tex",207,"Community Events"
30,"ui/icon/061000/061767.tex",201,"Achievements"
31,"ui/icon/061000/061846.tex",32,"V&C Dungeons"
32,"ui/icon/061000/061768.tex",55,"Doman Mahjong"
33,"ui/icon/061000/061847.tex",56,"Island Sanctuary"
