key,0,1,2,3,4,5,6,7,8,9
#,NpcYell[0],NpcYell[1],NpcYell[2],NpcYell[3],NpcYell[4],NpcYell[5],NpcYell[6],NpcYell[7],,
int32,NpcYell,NpcYell,NpcYell,NpcYell,NpcYell,NpcYell,NpcYell,NpcYell,uint16,uint16
0,"0","0","0","0","0","0","0","0",0,0
1,"0","0","0","0","0","0","0","0",0,0
2,"Welcome to the training course!","Here you can practice the basics of chocobo racing.","All race chocobos will carry their rider to the end of a course. However, only a skilled jockey can guide his steed to victory.","0","Welcome to the training course!","Here you can practice the basics of chocobo racing.","All race chocobos will carry their rider to the end of a course. However, only a skilled jockey can guide his steed to victory.","0",110,0
3,"To accelerate, press and hold the <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Move Forward<UIGlow>01</UIGlow><UIForeground>01</UIForeground> key.","0","0","0","First, tilt the left stick up, or press <CommandIcon(12)/> key to accelerate.","0","0","0",111,114
4,"Note that your chocobo's stamina will decrease more quickly when accelerating.","Continue to accelerate and observe the effects. Once your chocobo's stamina is completely depleted, your speed will drop, and you will no longer be able to accelerate.","0","0","Note that your chocobo's stamina will decrease more quickly when accelerating.","Continue to accelerate and observe the effects. Once your chocobo's stamina is completely depleted, your speed will drop, and you will no longer be able to accelerate.","0","0",111,115
5,"Be warned─chocobos pushed too hard will become <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>lathered<UIGlow>01</UIGlow><UIForeground>01</UIForeground> and lose stamina even more quickly!","To alleviate this condition, press the <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Move Back<UIGlow>01</UIGlow><UIForeground>01</UIForeground> key to decelerate and allow your chocobo to rest.","0","0","Be warned─chocobos pushed too hard will become <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>lathered<UIGlow>01</UIGlow><UIForeground>01</UIForeground> and lose stamina even more quickly!","To alleviate this condition, tilt the left stick down to decelerate and allow your chocobo to rest.","0","0",111,116
6,"Next, practice steering your chocobo.","Press the <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Move Left<UIGlow>01</UIGlow><UIForeground>01</UIForeground> and <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Move Right<UIGlow>01</UIGlow><UIForeground>01</UIForeground> keys to steer your chocobo from one side of the course to the other.","0","0","Next, practice steering your chocobo.","Tilt the left stick to the left and right to steer your chocobo from one side of the course to the other.","0","0",111,117
7,"Scattered throughout the course are <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>magicked panels<UIGlow>01</UIGlow><UIForeground>01</UIForeground> which bestow various effects when triggered.","To trigger a magicked panel, steer your chocobo towards it.","0","0","Scattered throughout the course are <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>magicked panels<UIGlow>01</UIGlow><UIForeground>01</UIForeground> which bestow various effects when triggered.","To trigger a magicked panel, steer your chocobo towards it.","0","0",111,118
8,"Your chocobo gained a temporary burst of speed! However, be warned: not all panels bestow beneficial effects!","In addition to steering away from panels, you can also <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>jump<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to avoid them.","0","0","Your chocobo gained a temporary burst of speed! However, be warned: not all panels bestow beneficial effects!","In addition to steering away from panels, you can also <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>jump<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to avoid them.","0","0",111,119
9,"In addition to magicked panels, you may come across treasure coffers containing <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>race items<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.","Some treasure coffers will be suspended in midair, so to obtain the race items within, you will need to jump.","0","0","In addition to magicked panels, you may come across treasure coffers containing <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>race items<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.","Some treasure coffers will be suspended in midair, so to obtain the race items within, you will need to jump.","0","0",111,120
10,"Race items will be added to your hotbar automatically, and can be used to help yourself or hinder your opponents.","0","0","0","Race items will be added to your hotbar automatically, and can be used to help yourself or hinder your opponents.","0","0","0",111,121
11,"This concludes the chocobo racing training course.","You may repeat this course at any time should you wish to review the fundamentals.","Ride well, and good luck!","0","This concludes the chocobo racing training course.","You may repeat this course at any time should you wish to review the fundamentals.","Ride well, and good luck!","0",112,0
