key,0,1,2,3,4
#,Location,Fare,TimeRequired,,
int32,ChocoboTaxiStand,byte,uint16,uint16,bit&01
0,,0,80,0,False
1,"Reginald Eventman II",0,80,0,False
2,"Bentbranch Meadows",1,5,0,False
3,"Gridania",1,5,0,False
4,"The Hawthorne Hut",2,15,0,False
5,,0,80,0,False
6,"Gridania",2,15,0,False
7,,0,80,0,False
8,"Quarrymill",3,50,0,False
9,,0,80,0,False
10,"Gridania",3,50,0,False
11,,0,80,0,False
12,"Camp Tranquil",3,50,0,False
13,,0,80,0,False
14,"Gridania",3,50,0,False
15,,0,80,0,False
16,"Hyrstmill",1,15,0,False
17,"Gridania",1,15,0,False
18,"Fallgourd Float",1,30,0,False
19,"Gridania",1,30,0,False
20,"Buscarron's Druthers",1,15,0,False
21,"Camp Tranquil",1,15,0,False
22,"Quarrymill",1,15,0,False
23,"Camp Tranquil",1,15,0,False
24,"Quarrymill",1,15,0,False
25,"Buscarron's Druthers",1,15,0,False
26,"Hyrstmill",1,15,0,False
27,"Fallgourd Float",1,15,0,False
28,"The Silver Bazaar",1,15,0,False
29,"Ul'dah",1,15,0,False
30,"Vesper Bay",2,30,0,False
31,"Ul'dah",2,30,0,False
32,"Horizon",1,5,0,False
33,"Ul'dah",1,5,0,False
34,"The Silver Bazaar",2,15,0,False
35,"Horizon",2,15,0,False
36,"Vesper Bay",1,15,0,False
37,"Horizon",1,15,0,False
38,"Camp Bluefog",2,50,0,False
39,,0,80,0,False
40,"Ul'dah",2,50,0,False
41,,0,80,0,False
42,"Black Brush Station",1,15,0,False
43,"Ul'dah",1,15,0,False
44,"Camp Drybone",3,30,0,False
45,,0,80,0,False
46,"Ul'dah",3,30,0,False
47,,0,80,0,False
48,"Little Ala Mhigo",2,30,0,False
49,,0,80,0,False
50,"Ul'dah",2,30,0,False
51,,0,80,0,False
52,"Forgotten Springs",3,50,0,False
53,,0,80,0,False
54,"Ul'dah",3,50,0,False
55,,0,80,0,False
56,"The Golden Bazaar",1,15,0,False
57,"Camp Drybone",1,15,0,False
58,"Forgotten Springs",3,30,0,False
59,"Little Ala Mhigo",3,30,0,False
60,"Ceruleum Processing Plant",1,50,0,False
61,"Camp Bluefog",1,50,0,False
62,"Summerford Farms",1,15,0,False
63,"Limsa Lominsa",1,15,0,False
64,"Swiftperch",2,15,0,False
65,,0,80,0,False
66,"Limsa Lominsa",2,15,0,False
67,,0,80,0,False
68,"Aleport",3,30,0,False
69,,0,80,0,False
70,"Limsa Lominsa",3,30,0,False
71,,0,80,0,False
72,"Wineport",3,50,0,False
73,,0,80,0,False
74,"Limsa Lominsa",3,50,0,False
75,,0,80,0,False
76,"Camp Bronze Lake",4,60,0,False
77,,0,80,0,False
78,,0,80,0,False
79,"Limsa Lominsa",4,60,0,False
80,,0,80,0,False
81,,0,80,0,False
82,"Costa del Sol",2,30,0,False
83,,0,80,0,False
84,"Limsa Lominsa",2,30,0,False
85,,0,80,0,False
86,"Moraby Drydocks",2,5,0,False
87,"Limsa Lominsa",2,5,0,False
88,"Red Rooster Stead",2,15,0,False
89,"Limsa Lominsa",2,15,0,False
90,"Red Rooster Stead",2,15,0,False
91,"Moraby Drydocks",2,15,0,False
92,"Swiftperch",1,15,0,False
93,"Aleport",1,15,0,False
94,"Camp Dragonhead",2,80,0,False
95,,0,80,0,False
96,"Fallgourd Float",2,80,0,False
97,,0,80,0,False
98,"Camp Dragonhead",1,60,0,False
99,"The Observatorium",1,60,0,False
100,"Camp Dragonhead",2,80,0,False
101,"Whitebrim",2,80,0,False
102,"Revenant's Toll",3,100,0,False
103,,0,80,0,False
104,"Camp Dragonhead",3,100,0,False
105,,0,80,0,False
106,"Saint Coinach's Find",1,80,0,False
107,"Revenant's Toll",1,80,0,False
108,"Camp Drybone",3,60,0,False
109,,0,80,0,False
110,"Camp Tranquil",3,60,0,False
111,,0,80,0,False
112,"The Convictory",1,105,0,False
113,"Falcon's Nest",1,105,0,False
114,"Tailfeather",2,130,0,False
115,,0,80,0,False
116,"Falcon's Nest",2,130,0,False
117,,0,80,0,False
118,"Tailfeather",1,115,0,False
119,,0,80,0,False
120,"The Convictory",1,115,0,False
121,,0,80,0,False
122,"Anyx Trine",1,120,0,False
123,"Tailfeather",1,120,0,False
124,"Bigwest Shortstop",2,150,0,False
125,,0,80,0,False
126,"Tailfeather",2,150,0,False
127,,0,80,0,False
128,"Bigwest Shortstop",2,140,0,False
129,,0,80,0,False
