key,0,1,2,3,4,5,6,7,8
#,TargetLocations[0],TargetLocations[1],TargetLocations[2],TargetLocations[3],TargetLocations[4],TargetLocations[5],TargetLocations[6],TargetLocations[7],PlaceName
int32,ChocoboTaxi,ChocoboTaxi,ChocoboTaxi,ChocoboTaxi,ChocoboTaxi,ChocoboTaxi,ChocoboTaxi,ChocoboTaxi,str
1179648,"Reginald Eventman II","","","","","","","","Reginald Eventman I"
1179649,"","","","","","","","","Reginald Eventman II"
1179650,"Hyrstmill","Bentbranch Meadows","The Hawthorne Hut","Fallgourd Float","Quarrymill","Camp Tranquil","","","Gridania"
1179651,"Gridania","","","","","","","","The Hawthorne Hut"
1179652,"Camp Tranquil","Quarrymill","","","","","","","Buscarron's Druthers"
1179653,"Gridania","Buscarron's Druthers","Camp Tranquil","","","","","","Quarrymill"
1179654,"Gridania","Buscarron's Druthers","Quarrymill","Camp Drybone","","","","","Camp Tranquil"
1179655,"Gridania","Fallgourd Float","","","","","","","Hyrstmill"
1179656,"Gridania","Hyrstmill","Camp Dragonhead","","","","","","Fallgourd Float"
1179657,"Gridania","","","","","","","","Bentbranch Meadows"
1179658,"Black Brush Station","Horizon","Camp Drybone","Vesper Bay","Little Ala Mhigo","Forgotten Springs","Camp Bluefog","The Silver Bazaar","Ul'dah"
1179659,"Ul'dah","Vesper Bay","The Silver Bazaar","","","","","","Horizon"
1179660,"Ul'dah","Horizon","","","","","","","Vesper Bay"
1179661,"Ul'dah","Horizon","","","","","","","The Silver Bazaar"
1179662,"Ul'dah","","","","","","","","Black Brush Station"
1179663,"Ul'dah","The Golden Bazaar","Camp Tranquil","","","","","","Camp Drybone"
1179664,"Ul'dah","Forgotten Springs","","","","","","","Little Ala Mhigo"
1179665,"Ul'dah","Little Ala Mhigo","","","","","","","Forgotten Springs"
1179666,"Ul'dah","Ceruleum Processing Plant","","","","","","","Camp Bluefog"
1179667,"Camp Drybone","","","","","","","","The Golden Bazaar"
1179668,"Camp Bluefog","","","","","","","","Ceruleum Processing Plant"
1179669,"Summerford Farms","Red Rooster Stead","Swiftperch","Moraby Drydocks","Aleport","Wineport","Camp Bronze Lake","Costa del Sol","Limsa Lominsa"
1179670,"Limsa Lominsa","","","","","","","","Summerford Farms"
1179671,"Limsa Lominsa","Aleport","","","","","","","Swiftperch"
1179672,"Limsa Lominsa","Swiftperch","","","","","","","Aleport"
1179673,"Limsa Lominsa","","","","","","","","Wineport"
1179674,"Limsa Lominsa","","","","","","","","Camp Bronze Lake"
1179675,"Limsa Lominsa","Red Rooster Stead","","","","","","","Moraby Drydocks"
1179676,"Limsa Lominsa","Moraby Drydocks","","","","","","","Red Rooster Stead"
1179677,"Limsa Lominsa","","","","","","","","Costa del Sol"
1179678,"","","","","","","","","（空き）"
1179679,"Camp Dragonhead","","","","","","","","The Observatorium"
1179680,"The Observatorium","Whitebrim","Revenant's Toll","Fallgourd Float","","","","","Camp Dragonhead"
1179681,"Camp Dragonhead","","","","","","","","Whitebrim"
1179682,"Camp Dragonhead","Saint Coinach's Find","","","","","","","Revenant's Toll"
1179683,"Revenant's Toll","","","","","","","","Saint Coinach's Find"
1179684,"Falcon's Nest","","","","","","","","Foundation"
1179685,"Foundation","The Convictory","Tailfeather","","","","","","Falcon's Nest"
1179686,"Falcon's Nest","Tailfeather","","","","","","","The Convictory"
1179687,"Falcon's Nest","The Convictory","Anyx Trine","Bigwest Shortstop","","","","","Tailfeather"
1179688,"Tailfeather","Bigwest Shortstop","","","","","","","Anyx Trine"
1179689,"Tailfeather","Anyx Trine","","","","","","","Bigwest Shortstop"
1179690,"Zenith","Asah","","","","","","","Moghome"
1179691,"Moghome","Zenith","","","","","","","Asah"
1179692,"Moghome","Asah","","","","","","","Zenith"
1179693,"Camp Cloudtop","","","","","","","","Ok' Zundu"
1179694,"Ok' Zundu","","","","","","","","Camp Cloudtop"
1179695,"Castrum Oriens","The Peering Stones","Ala Gannha","Ala Ghiri","","","","","Rhalgr's Reach"
1179696,"Rhalgr's Reach","The Peering Stones","","","","","","","Castrum Oriens"
1179697,"Rhalgr's Reach","Castrum Oriens","Ala Ghiri","","","","","","The Peering Stones"
1179698,"Rhalgr's Reach","Ala Ghiri","Porta Praetoria","","","","","","Ala Gannha"
1179699,"Rhalgr's Reach","The Peering Stones","Ala Gannha","Porta Praetoria","","","","","Ala Ghiri"
1179700,"Ala Gannha","Ala Ghiri","The Ala Mhigan Mercantile District","","","","","","Porta Praetoria"
1179701,"Porta Praetoria","","","","","","","","The Ala Mhigan Mercantile District"
1179702,"Onokoro","Tamamizu","","","","","","","Kugane"
1179703,"Kugane","Tamamizu","Namai","Reunion","","","","","Onokoro"
1179704,"Kugane","Onokoro","Namai","","","","","","Tamamizu"
1179705,"Onokoro","Tamamizu","The House of the Fierce","","","","","","Namai"
1179706,"Namai","Reunion","The Dawn Throne","","","","","","The House of the Fierce"
1179707,"The House of the Fierce","Onokoro","Mol Iloh","The Dawn Throne","","","","","Reunion"
1179708,"Reunion","The Dawn Throne","","","","","","","Mol Iloh"
1179709,"The House of the Fierce","Reunion","Mol Iloh","","","","","","The Dawn Throne"
1179710,"Wright","Stilltide","Eulmore","","","","","","Tomra"
1179711,"Tomra","Stilltide","Eulmore","","","","","","Wright"
1179712,"Wright","Tomra","Eulmore","","","","","","Stilltide"
1179713,"Tomra","Wright","Stilltide","","","","","","Eulmore"
1179714,"Wolekdorf","Lydha Lran","","","","","","","Pla Enni"
1179715,"Pla Enni","Lydha Lran","","","","","","","Wolekdorf"
1179716,"Pla Enni","Wolekdorf","Fort Jobb","The Ostall Imperative","","","","","Lydha Lran"
1179717,"Slitherbough","","","","","","","","Fanow"
1179718,"Fanow","Fort Jobb","The Ostall Imperative","","","","","","Slitherbough"
1179719,"Mord Souq","Fort Jobb","The Ostall Imperative","The Inn at Journey's Head","","","","","Twine"
1179720,"Twine","The Inn at Journey's Head","","","","","","","Mord Souq"
1179721,"Fort Jobb","The Ostall Imperative","","","","","","","The Crystarium"
1179722,"Fort Jobb","Lydha Lran","Slitherbough","The Crystarium","Twine","","","","The Ostall Imperative"
1179723,"The Ostall Imperative","Lydha Lran","Slitherbough","The Crystarium","Twine","","","","Fort Jobb"
1179724,"Mord Souq","Twine","","","","","","","The Inn at Journey's Head"
1179725,"Yedlihmad","The Great Work","Palaka's Stand","","","","","","Radz-at-Han"
1179726,"The Great Work","Palaka's Stand","Radz-at-Han","","","","","","Yedlihmad"
1179727,"Yedlihmad","Palaka's Stand","Radz-at-Han","","","","","","The Great Work"
1179728,"Yedlihmad","The Great Work","Radz-at-Han","","","","","","Palaka's Stand"
1179729,"Tertium","","","","","","","","Camp Broken Glass"
1179730,"Camp Broken Glass","","","","","","","","Tertium"
1179731,"The Archeion","Sharlayan Hamlet","Aporia","","","","","","The Hall of Artifice"
1179732,"Sharlayan Hamlet","Aporia","The Hall of Artifice","","","","","","The Archeion"
1179733,"The Archeion","Aporia","The Hall of Artifice","","","","","","Sharlayan Hamlet"
1179734,"The Archeion","Sharlayan Hamlet","The Hall of Artifice","","","","","","Aporia"
1179735,"Wachunpelo","Ok'hanu","","","","","","","Tuliyollal"
1179736,"Tuliyollal","Worlar's Echo","","","","","","","Wachunpelo"
1179737,"Wachunpelo","","","","","","","","Worlar's Echo"
1179738,"Tuliyollal","Many Fires","Earthenshire","","","","","","Ok'hanu"
1179739,"Ok'hanu","Earthenshire","","","","","","","Many Fires"
1179740,"Ok'hanu","Many Fires","","","","","","","Earthenshire"
