key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Name,Quest,RewardType,ShopItems[0],ShopItems[1],ShopItems[2],ShopItems[3],ShopItems[4],ShopItems[5],ShopItems[6],ShopItems[7],ShopItems[8],ShopItems[9],ShopItems[10]
int32,str,Quest,byte,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem
3866624,"",,0,"","","","","","","","","","",""
3866625,"Oddly Specific Materials Exchange (Crafting)","In Everyone's Best Interests",2,"Oddly Specific Cedar Lumber","Oddly Specific Iron Nails","Oddly Specific Mythril Rings","Oddly Specific Silver Nugget","Oddly Specific Gaganaskin Strap","Oddly Specific Cloth","Oddly Specific Glue","Oddly Specific Oil","","",""
3866626,"収集品納品","Inscrutable Tastes",1,"Rarefied Cedar Longbow","Rarefied Mythrite Katzbalger","Rarefied Mythrite Sallet","Rarefied Mythrite Goggles","Rarefied Archaeoskin Belt","Rarefied Rainbow Bolero","Rarefied Archaeoskin Grimoire","Rarefied Dhalmel Gratin","Rarefied Mythrite Sand","Rarefied Rainbow Cotton Boll","Icepick"
3866627,"●収集品回収",,1,"Mythrite Trident","Mythrite Katzbalger","Mythrite Sallet of Fending","Agate Ring of Fending","Archaeoskin Belt of Striking","Rainbow Cap of Aiming","Archaeoskin Grimoire","Fig Bavarois","Yellow Copper Ore","Old World Fig",""
3866628,"Oddly Delicate Materials Exchange","Oddness in the End",2,"Oddly Delicate Pine Lumber","Oddly Delicate Silver Gear","Oddly Delicate Wolfram Square","Oddly Delicate Celestine","Oddly Delicate Gazelle Leather","Oddly Delicate Rhea Cloth","Oddly Delicate Holy Water","Oddly Delicate Shark Oil","Oddly Delicate Adamantite Ore","Oddly Delicate Feather","Flintstrike"
3866629,"Obsolete Resplendent Materials Exchange","The Boutique Always Wins",2,"Obsolete Resplendent Carpenter's Component A","Obsolete Resplendent Blacksmith's Component A","Obsolete Resplendent Armorer's Component A","Obsolete Resplendent Goldsmith's Component A","Obsolete Resplendent Leatherworker's Component A","Obsolete Resplendent Weaver's Component A","Obsolete Resplendent Alchemist's Component A","Obsolete Resplendent Culinarian's Component A","","",""
3866630,"Resplendent Materials Exchange","The Boutique Always Wins",2,"Resplendent Carpenter's Component A","Resplendent Blacksmith's Component A","Resplendent Armorer's Component A","Resplendent Goldsmith's Component A","Resplendent Leatherworker's Component A","Resplendent Weaver's Component A","Resplendent Alchemist's Component A","Resplendent Culinarian's Component A","","",""
3866631,"",,0,"","","","","","","","","","",""
