key,0,1,2
#,FirstQuest,LastQuest,
int32,CompleteJournal,CompleteJournal,int32
0,"","Close to Home",0
1,"Close to Home","The Price of Principles",1
2,"The Price of Principles","Coming to Ishgard",1
3,"Coming to Ishgard","An Uncertain Future",1
4,"An Uncertain Future","Promises Kept",1
5,"Promises Kept","Beyond the Great Wall",1
6,"Beyond the Great Wall","Arenvald's Adventure",1
7,"Arenvald's Adventure","The Syrcus Trench",1
8,"The Syrcus Trench","Shaken Resolve",1
9,"Shaken Resolve","Alisaie's Quest",1
10,"Alisaie's Quest","The Next Ship to Sail",1
11,"The Next Ship to Sail","Newfound Adventure",1
12,"Newfound Adventure","A New World to Explore",1
13,"A New World to Explore","A Royal Invitation",1
14,"A Royal Invitation","",1
15,"","Primal Awakening",1
16,"Primal Awakening","Legacy of Allag",1
17,"Legacy of Allag","Disarmed",1
18,"Disarmed","Gods of Eld",1
19,"Gods of Eld","Sky Pirates",1
20,"Sky Pirates","The Hunt for Omega",1
21,"The Hunt for Omega","Dramatis Personae",2
22,"Dramatis Personae","An Auspicious Encounter",1
23,"An Auspicious Encounter","In the Middle of Nowhere",1
24,"In the Middle of Nowhere"," Word about Komra",1
25," Word about Komra","Ruby Doomsday",1
26,"Ruby Doomsday","The Crystal from Beyond",1
27,"The Crystal from Beyond","A Mission in Mor Dhona",2
28,"A Mission in Mor Dhona","A New Challenger Appears",1
29,"A New Challenger Appears","An Otherworldly Encounter",1
30,"An Otherworldly Encounter","",1
31,""," An Intrepid New Enterprise",2
32," An Intrepid New Enterprise","Peace for Thanalan",2
33,"","",2
34,"Peace for Thanalan","Seeking Solace",2
35,"Seeking Solace","Highway Robbery",2
36,"Highway Robbery","They Came from the Deep",2
37,"They Came from the Deep","A Bad Bladder",2
38,"A Bad Bladder"," Three Beaks to the Wind",2
39," Three Beaks to the Wind"," The Naming of Vath",2
40," The Naming of Vath"," Tricks and Stones",2
41," Tricks and Stones","",2
42,""," Brooding Broodmother",2
43," Brooding Broodmother","Something Fishy This Way Comes",2
44,"Something Fishy This Way Comes"," Manic Pixie Dream Realm",2
45," Manic Pixie Dream Realm"," The Stewards of Note",2
46," The Stewards of Note"," It's Dwarfin' Time",2
47," It's Dwarfin' Time"," Hippos Born to Run",2
48," Hippos Born to Run"," The Café at the End of the Universe",2
49," The Café at the End of the Universe"," Must Be Dreaming(way)",2
50," Must Be Dreaming(way)","Call of the Wild (Twin Adder)",2
51,"Call of the Wild (Twin Adder)","The Paths We Walk",2
52,"The Paths We Walk","The Rise and Fall of Gentlemen",2
53,"The Rise and Fall of Gentlemen","Up in Arms",2
54,"Up in Arms","Toll Booty",2
55,"Toll Booty"," Remembering the Past",2
56," Remembering the Past","",2
57,"","Coming to Gridania",3
58,"Coming to Gridania","Coming to Ul'dah",3
59,"Coming to Ul'dah","Leves of the Observatorium",3
60,"Leves of the Observatorium","A Legend for a Legend",3
61,"A Legend for a Legend","Remembering Ishgard",3
62,"Remembering Ishgard","The Way of the Dodo",3
63,"The Way of the Dodo","Some Bad News",3
64,"Some Bad News","Basic Training",3
65,"Basic Training","Magiteknical Failure",3
66,"Magiteknical Failure","A New Fishing Ex-spear-ience",3
67,"A New Fishing Ex-spear-ience","A Lone Wolf No More",3
68,"A Lone Wolf No More"," A Cry for Help",3
69," A Cry for Help"," Before the Tide Comes",3
70," Before the Tide Comes"," Worm Food",3
71," Worm Food"," What's in a Name",3
72," What's in a Name"," Barking Up the Right Tree",3
73," Barking Up the Right Tree"," Ondo Dream of Oranges",3
74," Ondo Dream of Oranges","Wings of Hope",3
75,"Wings of Hope"," Fruit Savior",3
76," Fruit Savior"," Your Inventory Is Not Full",3
77," Your Inventory Is Not Full"," True Carrot Crimes",3
78," True Carrot Crimes"," The Ore the Merrier",3
79," The Ore the Merrier"," The Sound of Fear",3
80," The Sound of Fear"," The Many Multitudes of Mamool Ja",3
81," The Many Multitudes of Mamool Ja"," A Private Delivery",3
82," A Private Delivery"," Well-wishing at the Wishing Well",3
83," Well-wishing at the Wishing Well","Way of the Gladiator",3
84,"Way of the Gladiator","Way of the Conjurer",2
85,"Way of the Conjurer","Way of the Carpenter",2
86,"Way of the Carpenter","Way of the Miner",2
87,"Way of the Miner","Iola, Forgemaster",2
88,"Iola, Forgemaster","Professor Rurusha's New Friend",2
89,"Professor Rurusha's New Friend","Your Friendly Neighborhood Metalworker",2
90,"Your Friendly Neighborhood Metalworker","Paladin's Pledge",2
91,"Paladin's Pledge","Seer Folly",2
92,"Seer Folly","The Man with Too Many Scars",2
93,"The Man with Too Many Scars","A Pup No Longer (Maelstrom)",2
94,"A Pup No Longer (Maelstrom)","A Horse for Heavensturn",2
95,"A Horse for Heavensturn","The Ties That Bind",2
96,"The Ties That Bind","リーヴテスト06",2
97,"リーヴテスト06","Rubble Bubble",3
98,"Rubble Bubble","リーヴテスト01",3
99,"リーヴテスト01","Adventurers' Relish",3
100,"Adventurers' Relish","In with the New",3
101,"In with the New","Proly Hatchet",3
102,"Proly Hatchet","Ain't Got No Ingots",3
103,"Ain't Got No Ingots","Copper and Robbers",3
104,"Copper and Robbers","Red in the Head",3
105,"Red in the Head","The Unmentionables",3
106,"The Unmentionables","Mercury Rising",3
