key,0,1,2,3,4,5,6,7,8,9,10
#,Page[0],Page[1],Page[2],Page[3],Page[4],Page[5],Page[6],Page[7],Name,Description,
int32,ContentsTutorialPage,ContentsTutorialPage,ContentsTutorialPage,ContentsTutorialPage,ContentsTutorialPage,ContentsTutorialPage,ContentsTutorialPage,ContentsTutorialPage,uint32,str,str
0,"ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0",5692,"",""
1,"ContentsTutorialPage#1","ContentsTutorialPage#2","ContentsTutorialPage#3","ContentsTutorialPage#4","ContentsTutorialPage#5","ContentsTutorialPage#6","ContentsTutorialPage#0","ContentsTutorialPage#0",5692,"The Bozjan Southern Front",""
2,"ContentsTutorialPage#7","ContentsTutorialPage#8","ContentsTutorialPage#9","ContentsTutorialPage#10","ContentsTutorialPage#11","ContentsTutorialPage#12","ContentsTutorialPage#13","ContentsTutorialPage#14",5692,"Dungeons",""
3,"ContentsTutorialPage#15","ContentsTutorialPage#16","ContentsTutorialPage#17","ContentsTutorialPage#18","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0",5692,"Variant Dungeons",""
4,"ContentsTutorialPage#19","ContentsTutorialPage#20","ContentsTutorialPage#21","ContentsTutorialPage#22","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0",5692,"Island Sanctuary",""
5,"ContentsTutorialPage#23","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0",5696,"Hall of the Novice",""
6,"ContentsTutorialPage#24","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0",5697,"Hall of the Novice",""
7,"ContentsTutorialPage#25","ContentsTutorialPage#26","ContentsTutorialPage#27","ContentsTutorialPage#28","ContentsTutorialPage#29","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0",5692,"The Occult Crescent",""
8,"ContentsTutorialPage#31","ContentsTutorialPage#32","ContentsTutorialPage#35","ContentsTutorialPage#33","ContentsTutorialPage#34","ContentsTutorialPage#0","ContentsTutorialPage#0","ContentsTutorialPage#0",5692,"Cosmic Exploration",""
