key,0,1,2
#,ScreenImage,LogMessage,Name
int32,ScreenImage,LogMessage,DeepDungeonFloorEffectUI
0,"ScreenImage#0","",""
1,"ScreenImage#417","The items in your bag have temporarily transformed into worthless stone.","Area Effect: Item Penalty"
2,"ScreenImage#418","You find yourself short of breath, unable to sprint.","Area Effect: Sprint Penalty"
3,"ScreenImage#419","Your entire body feels heavy.","Area Effect: Knockback Penalty"
4,"ScreenImage#420","Your body is fatigued and wounds refuse to heal on their own.","Area Effect: Auto-heal Penalty"
5,"ScreenImage#614","An ancient enchantment is rendering all magicite useless.","Area Effect: Magicite Penalty"
6,"ScreenImage#1172","This <Switch(PlayerParameter(109))><Case(1)>floor</Case><Case(2)>floor</Case><Case(3)>floor</Case><Case(4)>area</Case></Switch>'s powerful wards are preventing the use of the demiclone generator...","Area Effect: Demiclone Penalty"
7,"ScreenImage#1500","An ancient enchantment has cooled your censer and sealed it shut.","Area Effect: Incense Penalty"
