key,0,1,2,3,4,5,6,7,8,9,10,11
#,Icon,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Tooltip,Action
int32,Image,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,Action
0,,"",0,"",0,0,1,0,0,"","",""
1,"ui/icon/027000/027901.tex","pomander of safety",0,"pomanders of safety",0,0,1,0,0,"Pomander of Safety","Removes all traps from the current <Switch(PlayerParameter(109))><Case(1)>floor</Case><Case(2)>floor</Case><Case(3)>floor</Case><Case(4)>area</Case></Switch>.","Pomander of Safety"
2,"ui/icon/027000/027902.tex","pomander of sight",0,"pomanders of sight",0,0,1,0,0,"Pomander of Sight","Reveals the current <Switch(PlayerParameter(109))><Case(1)>floor</Case><Case(2)>floor</Case><Case(3)>floor</Case><Case(4)>area</Case></Switch>'s map and the location of all hidden traps.","Pomander of Sight"
3,"ui/icon/027000/027903.tex","pomander of strength",0,"pomanders of strength",0,0,1,0,0,"Pomander of Strength","Increases damage dealt and HP recovered via healing magic by 30%.","Pomander of Strength"
4,"ui/icon/027000/027904.tex","pomander of steel",0,"pomanders of steel",0,0,1,0,0,"Pomander of Steel","Decreases damage received by 40%.","Pomander of Steel"
5,"ui/icon/027000/027905.tex","pomander of affluence",0,"pomanders of affluence",0,0,1,0,0,"Pomander of Affluence","Increases the number of treasure coffers <If(Equal(PlayerParameter(109),4))>in<Else/>on</If> the next <Switch(PlayerParameter(109))><Case(1)>floor</Case><Case(2)>floor</Case><Case(3)>floor</Case><Case(4)>area</Case></Switch>.","Pomander of Affluence"
6,"ui/icon/027000/027906.tex","pomander of flight",0,"pomanders of flight",0,0,1,0,0,"Pomander of Flight","Decreases the number of enemies <If(Equal(PlayerParameter(109),4))>in<Else/>on</If> the next <Switch(PlayerParameter(109))><Case(1)>floor</Case><Case(2)>floor</Case><Case(3)>floor</Case><Case(4)>area</Case></Switch>.","Pomander of Flight"
7,"ui/icon/027000/027907.tex","pomander of alteration",0,"pomanders of alteration",0,0,1,0,0,"Pomander of Alteration","Changes the enemy occupying a random room <If(Equal(PlayerParameter(109),4))>in<Else/>on</If> the next <Switch(PlayerParameter(109))><Case(1)>floor</Case><Case(2)>floor</Case><Case(3)>floor</Case><Case(4)>area</Case></Switch> into a mimic or a mandragora.","Pomander of Alteration"
8,"ui/icon/027000/027908.tex","pomander of purity",0,"pomanders of purity",0,0,1,0,0,"Pomander of Purity","Removes the Pox status.",""
