key,0,1,2,3,4,5,6
#,Quest,Text[Long],Text[Short],Text[Commentary],,Section,
int32,Quest,uint32,str,str,str,DescriptionSection,uint32
3604480,,0,"","","","",0
3604481,,0,"","","","",0
3604482,,68737,"Mahjong Rules","Mahjong Rules","","",2
3604483,,0,"Rival Wings Rules","Rival Wings","","",3
3604484,,0,"Housing Inquiries","Housing","","",4
3604485,,0,"Enjoying New Game+","New Game+","つよくてニューゲーム解説","",2
3604486,,0,"Frontline Rules","Frontline Rules","","",7
3604487,,0,"Ocean Fishing","Ocean Fishing","","",8
3604488,,0,"Faux Hollows","Faux Hollows","","",9
3604489,,0,"The Bozjan Southern Front","The Bozjan Southern Front","","",10
3604490,,0,"Resistance Rank","Resistance Rank","","",11
3604491,,0,"Lost Actions","Lost Actions","","",13
3604492,,0,"Bozjan Clusters","Bozjan Clusters","","",12
3604493,,0,"Triple Triad Tournaments: Short Modes","Triple Triad Tournaments: Short Modes","","",14
3604494,,0,"","","","",15
3604495,,0,"","","","",16
3604496,,0,"Resistance Honors","Resistance Honors","","",17
3604497,,0,"Zadnor","Zadnor","","",18
3604498,,0,"PvP","PvP","","",19
3604499,,0,"Crystalline Conflict","Crystalline Conflict","","",20
3604500,,0,"Deep Dungeons","Deep Dungeons","","",25
3604501,,0,"Deep Dungeons","Deep Dungeons","","",26
3604502,,0,"","","","",0
