key,0,1,2,3,4,5,6,7
#,PlayerLevel,,,PlaceName,Icon,Order,Name,Description
int32,uint16,bit&01,uint16,PlaceName,Image,uint16,str,str
0,0,False,0,"",,1,"",""
1,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112145.tex",100,"Stone, Sky, Sea - Basic Training","“<If(PlayerParameter(4))>She<Else/>He</If> who fights with strength of stone unyielding, breathes deep of boundless sky and embraces serenity of rolling sea, against <If(PlayerParameter(4))>her<Else/>him</If> none can stand.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
2,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112146.tex",101,"Stone, Sky, Sea - The Limitless Blue (Extreme)","“<If(PlayerParameter(4))>She<Else/>He</If> who fishes for giant island-eating whale second time is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
3,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112147.tex",102,"Stone, Sky, Sea - Alexander: Gordias","“<If(PlayerParameter(4))>She<Else/>He</If> who crawls inside arm of metal titan filled with angry goblins is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
4,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112148.tex",103,"Stone, Sky, Sea - The Fist of the Father (Savage)","“<If(PlayerParameter(4))>She<Else/>He</If> who indulges rambling bard with penchant for exaggeration is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
5,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112149.tex",104,"Stone, Sky, Sea - The Cuff of the Father (Savage)","“<If(PlayerParameter(4))>She<Else/>He</If> who indulges rambling bard with penchant for exaggeration is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
6,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112150.tex",105,"Stone, Sky, Sea - The Arm of the Father (Savage)","“<If(PlayerParameter(4))>She<Else/>He</If> who indulges rambling bard with penchant for exaggeration is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
7,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112151.tex",106,"Stone, Sky, Sea - The Burden of the Father (Savage)","“<If(PlayerParameter(4))>She<Else/>He</If> who indulges rambling bard with penchant for exaggeration is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
8,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112152.tex",107,"Stone, Sky, Sea - The Minstrel's Ballad: Thordan's Reign","“<If(PlayerParameter(4))>She<Else/>He</If> who battles god-king and personal guard, then allows rambling bard to construct elaborate fantasy version is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
9,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112153.tex",108,"Stone, Sky, Sea - Containment Bay S1T7 (Extreme)","“<If(PlayerParameter(4))>She<Else/>He</If> who allows ancient contraption to construct elaborate fantasy is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
10,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112154.tex",109,"Stone, Sky, Sea - Alexander: Midas","“<If(PlayerParameter(4))>She<Else/>He</If> who crawls inside other arm of metal titan still filled with angry goblins is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
11,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112155.tex",110,"Stone, Sky, Sea - The Fist of the Son (Savage)","“<If(PlayerParameter(4))>She<Else/>He</If> who persists in indulging rambling bard whose fantastic fabrications continue to defy logic and inflict much pain is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
12,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112156.tex",111,"Stone, Sky, Sea - The Cuff of the Son (Savage)","“<If(PlayerParameter(4))>She<Else/>He</If> who persists in indulging rambling bard whose fantastic fabrications continue to defy logic and inflict much pain is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
13,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112157.tex",112,"Stone, Sky, Sea - The Arm of the Son (Savage)","“<If(PlayerParameter(4))>She<Else/>He</If> who persists in indulging rambling bard whose fantastic fabrications continue to defy logic and inflict much pain is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
14,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112158.tex",113,"Stone, Sky, Sea - The Burden of the Son (Savage)","“<If(PlayerParameter(4))>She<Else/>He</If> who persists in indulging rambling bard whose fantastic fabrications continue to defy logic and inflict much pain is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
15,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112159.tex",114,"Stone, Sky, Sea - The Minstrel's Ballad: Nidhogg's Rage","“<If(PlayerParameter(4))>She<Else/>He</If> who hearkens to rambling bard's ballad of man who was dragon man who was maybe just dragon obsessed with burning people and thatched-roof cottages is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
16,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112205.tex",115,"Stone, Sky, Sea - Containment Bay P1T6 (Extreme)","“<If(PlayerParameter(4))>She<Else/>He</If> who again places self at mercy of ancient contraption which murders men with elaborate fantasy is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
17,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112206.tex",116,"Stone, Sky, Sea - Alexander: The Creator","“<If(PlayerParameter(4))>She<Else/>He</If> who crawls inside head of metal titan overflowing with angry goblins is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
18,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112207.tex",117,"Stone, Sky, Sea - Alexander - The Eyes of the Creator (Savage)","“<If(PlayerParameter(4))>She<Else/>He</If> who against all common sense bids rambling bard torment <If(PlayerParameter(4))>her<Else/>him</If> with ridiculous distortion of sufficiently ridiculous events involving time travel bollocks is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
19,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112208.tex",118,"Stone, Sky, Sea - Alexander - The Breath of the Creator (Savage)","“<If(PlayerParameter(4))>She<Else/>He</If> who against all common sense bids rambling bard torment <If(PlayerParameter(4))>her<Else/>him</If> with ridiculous distortion of sufficiently ridiculous events involving time travel bollocks is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
20,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112209.tex",119,"Stone, Sky, Sea - Alexander - The Heart of the Creator (Savage)","“<If(PlayerParameter(4))>She<Else/>He</If> who against all common sense bids rambling bard torment <If(PlayerParameter(4))>her<Else/>him</If> with ridiculous distortion of sufficiently ridiculous events involving time travel bollocks is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
21,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112210.tex",120,"Stone, Sky, Sea - Alexander - The Soul of the Creator (Savage)","“<If(PlayerParameter(4))>She<Else/>He</If> who against all common sense bids rambling bard torment <If(PlayerParameter(4))>her<Else/>him</If> with ridiculous distortion of sufficiently ridiculous events involving time travel bollocks is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
22,60,False,0,"Stone, Sky, Sea","ui/icon/112000/112211.tex",121,"Stone, Sky, Sea - Containment Bay Z1T9 (Extreme)","“<If(PlayerParameter(4))>She<Else/>He</If> who once more risks life and limb to cavort in elaborate fantasy designed for express purpose of slaughtering participants with most extreme of prejudices is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
23,70,False,0,"The Circles of Answering","ui/icon/112000/112247.tex",200,"Stone, Sky, Sea - The Royal Menagerie","“<If(PlayerParameter(4))>She<Else/>He</If> who challenges draconic god of vengeance bound to will of bloodthirsty madman is either great warrior or great fool.”

Embrace the esoterics of foreign masters and destroy the striking dummy within the time limit!"
