key,0,1,2
#,EurekaMagiciteItemType,ClassJobCategory,Item
int32,EurekaMagiciteItemType,ClassJobCategory,Item
0,"","",""
1,"Offensive","WHM SCH AST SGE","Wisdom of the Aetherweaver"
2,"Offensive","PLD WAR DRK GNB","Wisdom of the Martialist"
3,"Protective","MNK DRG BRD WHM BLM SMN SCH NIN MCH AST SAM RDM DNC RPR SGE VPR PCT","Wisdom of the Platebearer"
4,"Mitigative","PLD MNK WAR DRG BRD WHM BLM SMN SCH NIN MCH DRK AST SAM RDM GNB DNC RPR SGE VPR PCT","Protect L"
5,"Inimical","PLD MNK WAR DRG BRD WHM BLM SMN SCH NIN MCH DRK AST SAM RDM GNB DNC RPR SGE VPR PCT","Paralyze L"
6,"Tactical","PLD WAR WHM SCH DRK AST GNB SGE","Feint L"
7,"Tactical","PLD MNK WAR DRG BRD WHM BLM SMN SCH NIN MCH DRK AST SAM RDM GNB DNC RPR SGE VPR PCT","Backstep L"
8,"Inimical","PLD MNK WAR DRG BRD WHM BLM SMN SCH NIN MCH DRK AST SAM RDM GNB DNC RPR SGE VPR PCT","Tranquilizer L"
9,"Curative","PLD MNK WAR DRG BRD BLM SMN NIN MCH DRK SAM RDM GNB DNC RPR VPR PCT","Cure L"
10,"Curative","PLD MNK WAR DRG BRD BLM SMN NIN MCH DRK SAM RDM GNB DNC RPR VPR PCT","Esuna L"
11,"Protective","MNK DRG BRD WHM BLM SMN SCH NIN MCH AST SAM RDM DNC RPR SGE VPR PCT","Incense L"
12,"Curative","PLD MNK WAR DRG BRD BLM SMN NIN MCH DRK SAM RDM GNB DNC RPR VPR PCT","Raise L"
13,"Protective","PLD WAR DRK GNB","Wisdom of the Guardian"
14,"Curative","WHM SCH AST SGE","Wisdom of the Ordained"
15,"Offensive","MNK DRG BRD BLM SMN NIN MCH SAM RDM DNC RPR VPR PCT","Wisdom of the Skirmisher"
16,"Protective","PLD MNK WAR DRG BRD WHM BLM SMN SCH NIN MCH DRK AST SAM RDM GNB DNC RPR SGE VPR PCT","Spirit of the Remembered"
17,"Mitigative","PLD MNK WAR DRG BRD WHM BLM SMN SCH NIN MCH DRK AST SAM RDM GNB DNC RPR SGE VPR PCT","Shell L"
18,"Tactical","PLD MNK WAR DRG BRD WHM BLM SMN SCH NIN MCH DRK AST SAM RDM GNB DNC RPR SGE VPR PCT","Featherfoot L"
19,"Inimical","MNK DRG BRD BLM SMN NIN MCH SAM RDM DNC RPR VPR PCT","Spirit Dart L"
20,"Inimical","MNK DRG BRD WHM BLM SMN SCH NIN MCH AST SAM RDM DNC RPR SGE VPR PCT","Dispel L"
21,"Tactical","PLD MNK WAR DRG BRD WHM BLM SMN SCH MCH DRK AST SAM RDM GNB DNC RPR SGE VPR PCT","Stealth L"
22,"Offensive","PLD MNK WAR DRG BRD WHM BLM SMN SCH NIN MCH DRK AST SAM RDM GNB DNC RPR SGE VPR PCT","Bloodbath L"
23,"Curative","MNK DRG BRD BLM SMN NIN MCH SAM RDM DNC RPR VPR PCT","Cure L II"
24,"Mitigative","PLD MNK WAR DRG BRD WHM BLM SMN SCH NIN MCH DRK AST SAM RDM GNB DNC RPR SGE VPR PCT","Stoneskin L"
25,"Tactical","PLD MNK WAR DRG BRD WHM BLM SMN SCH NIN MCH DRK AST SAM RDM GNB DNC RPR SGE VPR PCT","Wisdom of the Breathtaker"
26,"Offensive","WHM BLM SMN SCH AST RDM SGE PCT","Magic Burst L"
27,"Offensive","PLD MNK WAR DRG NIN DRK SAM GNB RPR VPR","Double Edge L"
28,"Offensive","BRD MCH DNC","Eagle Eye Shot L"
