key,0,1,2,3,4,5,6,7,8,9,10
#,Text,Item,GatheringItemLevel,OceanStars,,IsHidden,FishingRecordType,FishingSpot,GatheringSubCategory,IsInLog,AchievementCredit
int32,str,Row,GatheringItemLevelConvertTable,byte,uint16,bit&01,FishingRecordType,FishingSpot,GatheringSubCategory,bit&02,uint32
0,"","","GatheringItemLevelConvertTable#0",0,0,False,"Coastlines","Undiscovered Fishing Hole",,True,0
1,"This dark green variety of seaweed found in all five of Eorzea's seas has been known to grow up to a malm (1760 yalms) in length.","Malm Kelp","GatheringItemLevelConvertTable#4",0,2000,False,"Coastlines","Limsa Lominsa Upper Decks",,True,0
2,"A brown-carapaced freshwater crustacean commonly found in the rivers and lakes of Aldenard. So eager are crayfish to grasp at anything that may happen by, fishers boast that they need not even bait their lines to catch the creatures.","Crayfish","GatheringItemLevelConvertTable#2",0,2000,False,"Rivers","The Vein",,True,0
3,"When spawning, the head, belly, and tail of this common freshwater fish take on a vibrant red hue─a color which, across Eorzea, traditionally represents happiness and longevity. Because of this, chubs are often given as gifts to newlyweds.","Chub","GatheringItemLevelConvertTable#3",0,2000,False,"Rivers","Rogue River",,True,0
4,"A vividly striped saltwater fish commonly found in the Strait of Merlthor. The gobies are situated near the bottom of the food chain and feed a great deal of larger species. This makes the fish an ideal choice for mooching.","Merlthor Goby","GatheringItemLevelConvertTable#3",0,2000,False,"Coastlines","Limsa Lominsa Upper Decks",,True,0
5,"For many generations, Lominsan anchovies were not actively caught, due to their insignificant size. However, after a Qiqirn deckhand discovered one rotting in the corner of the bilge hold on a fishing vessel and found it to be sublime, the demand for salt-cured Lominsan anchovies has risen dramatically.","Lominsan Anchovy","GatheringItemLevelConvertTable#3",0,2000,False,"Coastlines","Limsa Lominsa Upper Decks",,True,0
6,"A brightly striped freshwater fish native to the rivers and lakes of the Coerthas and Mor Dhona regions. Coerthan legend states that the striped goby was not always a fish, but once a brightly plumed bird cast to the bottom of the seas by the Fury for flying too near Her realm.","Striped Goby","GatheringItemLevelConvertTable#4",0,2000,False,"Rivers","The Vein",,True,0
7,"An undersized variety of catfish found in still, swampy waters across Aldenard. The Padjali name for this fish is “gee-gee,” supposedly taken from the grinding sound created when it moves its fins.","Dwarf Catfish","GatheringItemLevelConvertTable#4",0,2000,False,"Rivers","Nym River",,True,0
8,"A common saltwater shrimp found in the plankton-rich waters of the Sea of Jade. Boiled in seawater and topped with a squeeze of fresh Thanalan sun lemon is the preferred method of preparation.","Finger Shrimp","GatheringItemLevelConvertTable#4",0,2000,False,"Coastlines","Limsa Lominsa Upper Decks",,True,0
9,"A white-carapaced freshwater crustacean commonly found living in caves or deep lakes where sunlight is absent. After molting, the new shell is so thin and transparent that one can see the creature's organs.","Bone Crayfish","GatheringItemLevelConvertTable#5",0,2000,False,"Rivers","Nophica's Wells",,True,0
10,"A piece of sharp coral native to the shallow seas all along Eorzea's coastlines. A literal treasure of the deep, white coral has been used for ages in not only jewelry, but sculptures and other works of art.","White Coral","GatheringItemLevelConvertTable#5",0,2000,False,"Coastlines","Swiftperch",,True,0
11,"Unlike other freshwater trout, which make their habitat in swift-flowing rivers, the silver princess trout prefers the relative seclusion of inland lakes. This has made the wavekin a favorite amongst recreational fishers who seek a more relaxing pastime.","Princess Trout","GatheringItemLevelConvertTable#5",0,2000,False,"Rivers","Rogue River",,True,0
12,"A semi-transparent jellyfish commonly found in the Strait of Merlthor, where it goes through nine separate stages of development before reaching adulthood.","Ocean Cloud","GatheringItemLevelConvertTable#6",0,2000,False,"Coastlines","Zephyr Drift",,True,0
13,"A hardy species, the dusk goby can survive not only in freshwater, but also the mouths of rivers, where the tides can bring saltwater malms inland. Depending on the salt content of the water it lives in, the color of its scales can vary from a deep amber to a golden orange.","Dusk Goby","GatheringItemLevelConvertTable#6",0,2000,False,"Rivers","Nym River",,True,0
14,"A purple, spiny, sluglike creature found in the shallows off of the island of Mazlaya, and treasured in the Far East as a delicacy.","Sea Cucumber","GatheringItemLevelConvertTable#7",0,2000,False,"Coastlines","Zephyr Drift",,True,0
15,"This particular variety of herring will gather in busy harbors such as Limsa Lominsa's Galadion Bay to feed on the small sea creatures which consume the waste dumped from ships.","Harbor Herring","GatheringItemLevelConvertTable#7",0,2000,False,"Coastlines","Limsa Lominsa Lower Decks",,True,0
