key,0,1,2,3,4,5,6
#,Size,AquariumWater,WeatherRestriction,TimeRestriction,SpecialConditions,IsCollectable,Item
int32,byte,AquariumWater,byte,byte,byte,byte,Row
0,0,"nothing",0,0,0,0,""
1,0,"nothing",0,0,0,0,"Malm Kelp"
2,0,"nothing",0,0,0,0,"Crayfish"
3,1,"Freshwater",0,0,0,0,"Chub"
4,0,"nothing",0,0,0,0,"Merlthor Goby"
5,0,"nothing",0,0,0,0,"Lominsan Anchovy"
6,0,"nothing",0,0,0,0,"Striped Goby"
7,0,"nothing",0,0,0,0,"Dwarf Catfish"
8,0,"nothing",0,0,0,0,"Finger Shrimp"
9,0,"nothing",0,0,0,0,"Bone Crayfish"
10,0,"nothing",0,0,0,0,"White Coral"
11,0,"nothing",0,0,0,0,"Princess Trout"
12,0,"nothing",0,0,0,0,"Ocean Cloud"
13,0,"nothing",0,0,0,0,"Dusk Goby"
14,0,"nothing",0,0,0,0,"Sea Cucumber"
15,1,"Saltwater",0,0,0,0,"Harbor Herring"
16,0,"nothing",0,0,0,0,"Pipira"
17,0,"nothing",0,0,0,0,"Crimson Crayfish"
18,0,"nothing",0,0,0,0,"Vongola Clam"
19,0,"nothing",0,0,0,0,"Gudgeon"
20,1,"Saltwater",0,0,0,0,"Coral Butterfly"
21,0,"nothing",0,0,0,0,"Brass Loach"
22,0,"nothing",0,0,0,0,"Moraby Flounder"
23,0,"nothing",0,0,0,0,"Maiden Carp"
24,0,"nothing",0,0,0,0,"Abalathian Smelt"
25,0,"nothing",0,0,0,0,"Blindfish"
26,0,"nothing",0,0,0,0,"Pebble Crab"
27,0,"nothing",0,0,0,0,"Mudskipper"
28,0,"nothing",0,0,0,0,"Rainbow Trout"
29,0,"nothing",0,0,0,0,"River Crab"
30,1,"Saltwater",0,0,0,0,"Tiger Cod"
31,0,"nothing",0,0,0,0,"Ala Mhigan Fighting Fish"
32,0,"nothing",0,0,0,0,"Helmet Crab"
33,0,"nothing",0,0,0,0,"Faerie Bass"
