key,0,1,2,3,4,5,6
#,Addon,RankBRequirement,RankARequirement,RankAARequirement,RankAAARequirement,RankSRequirement,IsSpearfishing
int32,Addon,uint16,uint16,uint16,uint16,uint16,byte
0,"Coastlines",346,744,820,1028,1090,0
1,"Deep Sea",566,1377,2805,5300,5906,0
2,"Rivers",299,523,1169,1801,3071,0
3,"Lakes",330,633,2244,2585,4725,0
4,"Sands",440,779,1099,2169,2289,0
5,"Skies",472,1047,1197,2618,65535,0
6,"Floating Islands",472,1047,1606,4251,65535,0
7,"Magma",881,1417,1515,2154,65535,0
8,"Aetherochemical Pools",325,691,885,979,2930,0
9,"Salt Lakes",645,813,1300,1767,65535,0
10,"Small",20,50,61,75,65535,1
11,"Average",270,329,386,437,65535,1
12,"Big",900,950,1000,1036,65535,1
13,"Small",25,45,70,65535,65535,1
14,"Average",236,265,318,65535,65535,1
15,"Big",780,879,1018,65535,65535,1
16,"Small",28,40,52,65535,65535,1
17,"Average",320,373,384,65535,65535,1
18,"Big",900,920,928,65535,65535,1
19,"Small",44,55,67,75,65535,1
20,"Average",345,400,410,437,65535,1
21,"Big",878,915,930,1028,65535,1
22,"Small",44,55,67,75,65535,1
23,"Average",345,390,410,437,65535,1
24,"Big",890,915,985,1028,65535,1
25,"Small",44,55,67,75,65535,1
26,"Average",345,390,410,437,65535,1
27,"Big",890,915,985,1028,65535,1
28,"Space",383,826,2630,65535,65535,0
29,"Small",44,55,67,75,65535,1
30,"Average",345,390,410,437,65535,1
31,"Big",890,915,985,1028,65535,1
32,"Small",29,50,65,75,65535,1
33,"Average",123,206,265,310,65535,1
34,"Big",276,485,650,760,65535,1
35,"Small",17,35,49,59,65535,1
36,"Average",132,263,365,438,65535,1
37,"Big",307,590,805,960,65535,1
38,"Small",21,39,53,63,65535,1
39,"Average",130,253,348,415,65535,1
40,"Big",374,651,866,1022,65535,1
41,"Small",29,49,64,75,65535,1
42,"Average",187,307,398,465,65535,1
43,"Big",408,678,888,1036,65535,1
44,"",0,0,0,0,0,0
