key,0,1,2,3,4,5,6,7,8,9
#,GatheringType,GatheringLevel,Item[0],Item[1],Item[2],Item[3],Item[4],Item[5],Item[6],Item[7]
int32,GatheringType,byte,Row,Row,Row,Row,Row,Row,Row,Row
0,"Mining",0,"","","","","","","",""
1,"Mining",0,"","","","","","","",""
2,"Mining",0,"","","","","","","",""
3,"Mining",0,"","","","","","","",""
4,"Mining",0,"","","","","","","",""
5,"Mining",0,"","","","","","","",""
6,"Mining",0,"","","","","","","",""
7,"Mining",0,"","","","","","","",""
8,"Mining",0,"","","","","","","",""
9,"Mining",0,"","","","","","","",""
10,"Logging",10,"","La Noscean Orange","Kukuru Bean","","","","","Earth Shard"
11,"Logging",5,"Latex","Maple Log","Maple Branch","Allagan Snail","","","Ice Shard","Wind Shard"
12,"Logging",5,"Latex","Maple Log","Maple Branch","","","","","Earth Shard"
13,"Logging",5,"Maple Sap","Cinnamon","Beehive Chip","","","","","Earth Shard"
14,"Harvesting",15,"Coerthan Carrot","Moko Grass","Grass Viper","Rye","","","","Water Shard"
15,"Logging",10,"Ash Log","Tinolqa Mistletoe","Ash Branch","","","","","Earth Shard"
16,"Logging",10,"Ash Log","Tinolqa Mistletoe","Ash Branch","Crow Feather","","","","Wind Shard"
17,"Logging",15,"Elm Log","Gridanian Chestnut","","","","","","Wind Shard"
18,"Harvesting",15,"Garlean Garlic","Wild Onion","Ogre Pumpkin","","","","","Water Shard"
19,"Harvesting",15,"Marjoram","Buffalo Beans","Tree Toad","Humus","","","","Wind Shard"
20,"Quarrying",40,"Grenade Ash","","","","","","","Wind Shard"
21,"Harvesting",15,"Carnation","Cotton Boll","Lavender","Chanterelle","","","","Wind Shard"
22,"Logging",20,"Faerie Apple","Yew Log","Yew Branch","","","","","Wind Shard"
23,"Harvesting",20,"Gil Bun","Belladonna","Galago Mint","Shroud Seedling","","","","Wind Shard"
24,"Logging",25,"Matron's Mistletoe","Gridanian Walnut","Walnut Log","","","","","Ice Shard"
25,"Harvesting",15,"Alpine Parsnip","Yellow Ginseng","Black Pepper","","","","","Lightning Shard"
26,"Harvesting",30,"Jade Peas","Wizard Eggplant","Midland Cabbage","Moor Leech","","","","Earth Shard"
27,"Logging",30,"Alligator Pear","Chocobo Feather","","","","","","Ice Shard"
28,"Logging",35,"Oak Log","Oak Branch","Tarantula","","","","","Ice Shard"
29,"Harvesting",35,"White Truffle","Wildfowl Feather","Flax","","","","","Ice Shard"
30,"Harvesting",15,"Sunset Wheat","Straw","La Noscean Lettuce","Ruby Tomato","","","","Fire Shard"
31,"Harvesting",15,"Cinderfoot Olive","Highland Parsley","Cieldalaes Spinach","Lowland Grapes","","","","Earth Shard"
32,"Logging",30,"","","","","Purple Pigment","","","Lightning Shard"
33,"Logging",20,"Nopales","","","","","","","Lightning Shard"
34,"Logging",20,"Sun Lemon","","","","","","","Earth Shard"
35,"Logging",20,"","","","","","Grade 1 Carbonized Matter","","Ice Shard"
36,"Quarrying",35,"Mythril Sand","","","","","","","Lightning Shard"
37,"Logging",30,"","","","","Green Pigment","","","Wind Shard"
38,"Harvesting",20,"Popoto","White Scorpion","Desert Seedling","","","","","Fire Shard"
39,"Harvesting",20,"Paprika","Lalafellin Lentil","Island Seedling","","","","","Ice Shard"
40,"Harvesting",25,"Button Mushroom","Ala Mhigan Mustard","Pearl Ginger","Millioncorn","","","","Fire Shard"
41,"Harvesting",25,"Pixie Plums","Chamomile","Sticky Rice","Noble Grapes","","","","Earth Shard"
42,"Logging",30,"","","","","Red Pigment","","","Fire Shard"
43,"Logging",50,"","","","","","","","Lightning Shard"
44,"Logging",30,"","","","","Grey Pigment","","","Ice Shard"
45,"Quarrying",30,"","","","","Grey Pigment","","","Ice Shard"
46,"Quarrying",45,"Electrum Sand","Marble","","","","","","Earth Shard"
47,"Mining",25,"Silver Ore","Effervescent Water","","","","","","Ice Shard"
48,"Quarrying",25,"Earth Rock","Ice Rock","Wind Rock","Silver Sand","","","","Ice Shard"
49,"Mining",40,"Raw Spinel","Raw Tourmaline","Black Alumen","","","","","Ice Shard"
50,"Logging",30,"","","","Brown Pigment","Yellow Pigment","","","Earth Shard"
51,"Logging",5,"throbbing maple log","treant acorn","","","","","",""
52,"Logging",5,"ash sapling","sprig of east bank mistletoe","","","","","",""
53,"Logging",5,"bundle of chopped firewood","","","","","","",""
54,"Logging",5,"pot of pure latex","","","","","","",""
55,"Logging",10,"thinned ash log","straight ash log","","","","","",""
56,"Logging",10,"heavenspillar root","thick heavenspillar root","","","","","",""
57,"Logging",10,"ochu seed","","","","","","",""
58,"Logging",10,"piece of spore-covered bark","","","","","","",""
59,"Logging",15,"large chestnut","golden chestnut","","","","","",""
60,"Logging",15,"ash sapling","sprig of west bank mistletoe","","","","","",""
61,"Logging",15,"long ash log","","","","","","",""
62,"Logging",15,"roselet seed","sprouted roselet seed","","","","","",""
63,"Harvesting",20,"sprig of quickweed","sprig of jessamine","","","","","",""
64,"Logging",20,"pot of clear maple sap","","","","","","",""
65,"Logging",20,"piece of branded bark","","","","","","",""
66,"Logging",20,"pot of giant brambleweed sap","dried Mun-Tuy bean","","","","","",""
67,"Harvesting",20,"Shroud iris","sprig of mature galago mint","","","","","",""
68,"Logging",25,"exposed tree root","healthy tree root","","","","","",""
69,"Harvesting",25,"sprig of young galago mint","","","","","","",""
70,"Logging",25,"Gelmorran coin","","","","","","",""
71,"Logging",25,"bundle of chopped firewood","","","","","","",""
72,"Logging",30,"two-yalm switch","hairy caterpillar","","","","","",""
73,"Harvesting",30,"sprig of quickweed","sprig of jessamine","","","","","",""
74,"Harvesting",30,"handful of soldier's sore berries","","","","","","",""
75,"Logging",30,"sprite apple","","","","","","",""
76,"Logging",30,"spotted mushroom","","","","","","",""
77,"Logging",35,"slice of sago palm pith","sago palm nut","","","","","",""
78,"Harvesting",35,"withered leaf","","","","","","",""
79,"Harvesting",35,"Oschon roselle calyx","","","","","","",""
80,"Logging",35,"island coconut","","","","","","",""
81,"Harvesting",40,"sprig of winter pennyroyal","sprig of young winter pennyroyal","","","","","",""
82,"Logging",40,"straight oak log","","","","","","",""
83,"Harvesting",40,"shortweed","","","","","","",""
84,"Logging",40,"driftwood branch","driftwood trunk","","","","","",""
85,"Logging",45,"spotted longicorn","piece of holey bark","","","","","",""
86,"Logging",45,"straight branch","","","","","","",""
87,"Logging",45,"highland teak log","","","","","","",""
88,"Logging",45,"piece of scarred bark","piece of marked bark","","","","","",""
89,"Harvesting",50,"handful of relic fragments","discolored Allagan runestone","","","","","",""
90,"Logging",50,"scaffolding log","","","","","","",""
91,"Harvesting",50,"shard of crystallized grass","","","","","","",""
92,"Logging",50,"partially crystallized root","partially crystallized trunk","","","","","",""
93,"Mining",5,"weather-worn brick","undamaged brick","","","","","",""
94,"Mining",5,"wind-worn slab","undamaged slab","","","","","",""
95,"Mining",5,"chunk of rich yellow copper ore","","","","","","",""
96,"Mining",5,"chunk of low-quality copper ore","","","","","","",""
97,"Mining",10,"weather-worn brick","undamaged brick","","","","","",""
98,"Mining",10,"rock sample","ore sample","","","","","",""
99,"Mining",10,"brown clod","","","","","","",""
100,"Mining",10,"chunk of rich zinc ore","","","","","","",""
101,"Mining",15,"timeworn bondstone","undamaged bondstone","","","","","",""
102,"Mining",15,"rock sample","ore sample","","","","","",""
103,"Mining",15,"peiste molt","","","","","","",""
104,"Mining",15,"wind-worn slab","undamaged slab","","","","","",""
105,"Mining",20,"chunk of sample rock","chunk of sample ore","","","","","",""
106,"Mining",20,"earthen power stone","","","","","","",""
107,"Mining",20,"gravestone block","","","","","","",""
108,"Mining",20,"sunbaked stone","magicked stone","","","","","",""
109,"Mining",25,"handful of dull sand","handful of sparkling sand","","","","","",""
110,"Quarrying",25,"moss-covered stone","","","","","","",""
111,"Quarrying",25,"slab of high-density siltstone","","","","","","",""
112,"Mining",25,"wall stone","","","","","","",""
113,"Mining",30,"dirt-caked stone","engraved stone","","","","","",""
114,"Mining",30,"sharpened flint stone","","","","","","",""
115,"Mining",30,"wall stone shard","","","","","","",""
116,"Mining",30,"unseeing stone","","","","","","",""
117,"Mining",35,"brown glass shard","green glass shard","","","","","",""
118,"Mining",35,"chunk of rich iron ore","","","","","","",""
119,"Mining",35,"mollusk fossil","","","","","","",""
120,"Mining",35,"Moraby oyster","","","","","","",""
121,"Mining",40,"repair stone","superior repair stone","","","","","",""
122,"Mining",40,"block of snow","","","","","","",""
123,"Mining",40,"slab of highland limestone","","","","","","",""
124,"Mining",40,"chunk of blue mythril ore","chunk of rich blue mythril ore","","","","","",""
125,"Mining",45,"slab of Snowcloak","clear slab of Snowcloak","","","","","",""
126,"Mining",45,"chunk of marcasite","","","","","","",""
127,"Mining",45,"building stone","","","","","","",""
128,"Mining",45,"square of tundra","square of permafrost","","","","","",""
129,"Mining",50,"piece of dreadnaught hull","piece of dreadnaught heatshield","","","","","",""
130,"Mining",50,"overgrown crystal","","","","","","",""
131,"Quarrying",50,"scratched Allagan runestone","","","","","","",""
132,"Mining",50,"crystallized root","crystallized trunk","","","","","",""
133,"Harvesting",35,"Aloe","Laurel","Desert Saffron","Bloodgrass","","","","Lightning Shard"
134,"Harvesting",35,"Midland Basil","Mandrake","Salt Leek","Dragon Pepper","","","","Water Shard"
135,"Logging",40,"","","","","","","","Wind Shard"
136,"Logging",40,"","","","","","","","Ice Shard"
137,"Logging",40,"Iron Acorn","Mahogany Log","Nutmeg","Almonds","","","","Water Shard"
138,"Logging",30,"","","","","Blue Pigment","","","Water Shard"
139,"Logging",30,"","","","","Red Pigment","","Fire Crystal","Fire Shard"
140,"Harvesting",40,"Thyme","Blood Currants","","","","","","Ice Shard"
141,"Harvesting",40,"Mugwort","Maiden Artichoke","Ramhorn Zucchini","","","","","Water Shard"
142,"Logging",45,"Mirror Apple","Mistletoe","","","","","","Ice Shard"
143,"Harvesting",45,"Sagolii Sage","Black Scorpion","Rolanberry","Dart Frog","","","","Earth Shard"
144,"Logging",50,"","","","","","","","Fire Shard"
145,"Logging",40,"","","","","","","",""
146,"Logging",50,"","","","","","","","Water Shard"
147,"Logging",50,"Rosewood Log","Rosewood Branch","","","","","","Wind Shard"
148,"Logging",10,"Cock Feather","Cloves","","","","","","Lightning Shard"
149,"Harvesting",50,"Thanalan Tea Leaves","Lava Toad","Maiden Grass","","","","","Lightning Shard"
150,"Quarrying",50,"","","","","","","Earth Crystal","Earth Shard"
151,"Quarrying",50,"","","","","","","","Water Shard"
152,"Mining",10,"Raw Lapis Lazuli","Potter's Clay","","","","","","Earth Shard"
153,"Mining",5,"Copper Ore","Muddy Water","","","","","Wind Shard","Lightning Shard"
154,"Mining",5,"Copper Ore","Muddy Water","","","","","Fire Shard","Water Shard"
155,"Mining",10,"Tin Ore","Soiled Femur","Zinc Ore","","","","","Lightning Shard"
156,"Mining",10,"Tin Ore","Soiled Femur","Zinc Ore","Obsidian","","","","Water Shard"
