key,0,1,2,3,4,5,6
#,MainHand,OffHand,Head,Body,Gloves,Legs,Feet
int32,Item,Item,Item,Item,Item,Item,Item
0,"Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword"
1,"Steel Longsword","Decorated Buckler","Diadochos Sword","Mythril Cuirass","Heavy Steel Gauntlets","Heavy Steel Flanchard","Diadochos Sword"
2,"Cobalt Winglet","Kite Shield","Diadochos Sword","Cobalt Cuirass","Cobalt Gauntlets","Padded Woolen Trousers","Cobalt Sabatons"
3,"Mailbreaker","Darksteel Scutum","Diadochos Sword","Protector's Cuirass","Protector's Gauntlets","Protector's Trousers","Protector's Sollerets"
4,"Garuda's Gaze","The Wall of Crags","Diadochos Sword","Armor of Light","Gauntlets of Light","Breeches of Light","Sabatons of Light"
5,"Direwolf Longsword","Direwolf Kite Scutum","Diadochos Sword","Direwolf Cuirass of Fending","Direwolf Gauntlets of Fending","Direwolf Cuisses of Fending","Direwolf Sabatons of Fending"
6,"Steel Bhuj","Diadochos Sword","Diadochos Sword","Cavalry Cuirass","Cavalry Gauntlets","Cavalry Trousers","Cavalry Sabatons"
7,"Spiked Cobalt Labrys","Diadochos Sword","Diadochos Sword","Sentinel's Cuirass","Sentinel's Gauntlets","Sentinel's Trousers","Sentinel's Sabatons"
8,"Giantsgall War Axe","Diadochos Sword","Diadochos Sword","Warwolf Cuirass of Fending","Warwolf Gauntlets of Fending","Warwolf Trousers of Fending","Warwolf Sollerets of Fending"
9,"The Axe of Crags","Diadochos Sword","Diadochos Sword","Cuirass of the Divine War","Vambraces of the Divine War","Breeches of the Divine War","Sabatons of the Divine War"
10,"Direwolf Battleaxe","Diadochos Sword","Diadochos Sword","Augmented Heavy Wolfram Cuirass","Heavy Wolfram Gauntlets","Heavy Wolfram Cuisses","Heavy Wolfram Sabatons"
11,"Maddening Daggers","Diadochos Sword","Diadochos Sword","Infantry Shirt","Infantry Gloves","Infantry Skirt","Infantry Thighboots"
12,"Cobalt Baselards","Diadochos Sword","Diadochos Sword","Buccaneer's Shirt","Fingerless Raptorskin Gloves","Raptorskin Brais","Cobalt-plated Jackboots"
13,"Misericordes","Diadochos Sword","Diadochos Sword","Darklight Corselet of Striking","Darklight Bracers of Striking","Darklight Subligar","Darklight Caligae of Striking"
14,"Cleavers of Crags","Diadochos Sword","Diadochos Sword","Fuma Koromo","Fuma Tekko","Fuma Hakama","Fuma Kyahan"
15,"Direwolf Cleavers","Diadochos Sword","Diadochos Sword","Augmented Saurian Shirt of Striking","Saurian Gloves of Striking","Cashmere Skirt of Striking","Saurian Boots of Striking"
16,"Oak Longbow","Diadochos Sword","Diadochos Sword","Woolen Shirt","Venerer's Bracers","Ripped Hose","Toadskin Leg Guards"
