key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,,GlassesStyle,Icon,,Singular,,Plural,,,,,,Description,Name
int32,uint32,GlassesStyle,Image,uint16,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str
0,0,,,0,"",0,"",0,0,1,0,0,"",""
1,71037,"Oval Spectacles","ui/icon/200000/200049.tex",0,"pair of oval spectacles",0,"pairs of oval spectacles",0,0,1,0,0,"A piece of undyed facewear.","Oval Spectacles"
2,136573,"Oval Spectacles","ui/icon/200000/200053.tex",0,"pair of silver oval spectacles",0,"pairs of silver oval spectacles",0,0,1,0,0,"A piece of silver facewear.","Silver Oval Spectacles"
3,202109,"Oval Spectacles","ui/icon/200000/200052.tex",0,"pair of gold oval spectacles",0,"pairs of gold oval spectacles",0,0,1,0,0,"A piece of gold facewear.","Gold Oval Spectacles"
4,267645,"Oval Spectacles","ui/icon/200000/200054.tex",0,"pair of black oval spectacles",0,"pairs of black oval spectacles",0,0,1,0,0,"A piece of black facewear.","Black Oval Spectacles"
5,333181,"Oval Spectacles","ui/icon/200000/200059.tex",0,"pair of white oval spectacles",0,"pairs of white oval spectacles",0,0,1,0,0,"A piece of white facewear.","White Oval Spectacles"
6,398717,"Oval Spectacles","ui/icon/200000/200050.tex",0,"pair of grey oval spectacles",0,"pairs of grey oval spectacles",0,0,1,0,0,"A piece of grey facewear.","Grey Oval Spectacles"
7,464253,"Oval Spectacles","ui/icon/200000/200057.tex",0,"pair of red oval spectacles",0,"pairs of red oval spectacles",0,0,1,0,0,"A piece of red facewear.","Red Oval Spectacles"
8,529789,"Oval Spectacles","ui/icon/200000/200056.tex",0,"pair of blue oval spectacles",0,"pairs of blue oval spectacles",0,0,1,0,0,"A piece of blue facewear.","Blue Oval Spectacles"
9,595325,"Oval Spectacles","ui/icon/200000/200060.tex",0,"pair of green oval spectacles",0,"pairs of green oval spectacles",0,0,1,0,0,"A piece of green facewear.","Green Oval Spectacles"
10,660861,"Oval Spectacles","ui/icon/200000/200051.tex",0,"pair of brass oval spectacles",0,"pairs of brass oval spectacles",0,0,1,0,0,"A piece of brass facewear.","Brass Oval Spectacles"
11,726397,"Oval Spectacles","ui/icon/200000/200055.tex",0,"pair of purple oval spectacles",0,"pairs of purple oval spectacles",0,0,1,0,0,"A piece of purple facewear.","Purple Oval Spectacles"
12,791933,"Oval Spectacles","ui/icon/200000/200058.tex",0,"pair of brown oval spectacles",0,"pairs of brown oval spectacles",0,0,1,0,0,"A piece of brown facewear.","Brown Oval Spectacles"
13,71038,"Shaded Spectacles","ui/icon/200000/200085.tex",0,"pair of shaded spectacles",0,"pairs of shaded spectacles",0,0,1,0,0,"A piece of undyed facewear.","Shaded Spectacles"
14,136574,"Shaded Spectacles","ui/icon/200000/200089.tex",0,"pair of silver shaded spectacles",0,"pairs of silver shaded spectacles",0,0,1,0,0,"A piece of silver facewear.","Silver Shaded Spectacles"
15,202110,"Shaded Spectacles","ui/icon/200000/200088.tex",0,"pair of gold shaded spectacles",0,"pairs of gold shaded spectacles",0,0,1,0,0,"A piece of gold facewear.","Gold Shaded Spectacles"
16,267646,"Shaded Spectacles","ui/icon/200000/200090.tex",0,"pair of black shaded spectacles",0,"pairs of black shaded spectacles",0,0,1,0,0,"A piece of black facewear.","Black Shaded Spectacles"
17,333182,"Shaded Spectacles","ui/icon/200000/200095.tex",0,"pair of white shaded spectacles",0,"pairs of white shaded spectacles",0,0,1,0,0,"A piece of white facewear.","White Shaded Spectacles"
18,398718,"Shaded Spectacles","ui/icon/200000/200086.tex",0,"pair of grey shaded spectacles",0,"pairs of grey shaded spectacles",0,0,1,0,0,"A piece of grey facewear.","Grey Shaded Spectacles"
19,464254,"Shaded Spectacles","ui/icon/200000/200093.tex",0,"pair of red shaded spectacles",0,"pairs of red shaded spectacles",0,0,1,0,0,"A piece of red facewear.","Red Shaded Spectacles"
20,529790,"Shaded Spectacles","ui/icon/200000/200092.tex",0,"pair of blue shaded spectacles",0,"pairs of blue shaded spectacles",0,0,1,0,0,"A piece of blue facewear.","Blue Shaded Spectacles"
21,595326,"Shaded Spectacles","ui/icon/200000/200096.tex",0,"pair of green shaded spectacles",0,"pairs of green shaded spectacles",0,0,1,0,0,"A piece of green facewear.","Green Shaded Spectacles"
