key,0,1
#,GuideTitle,GuidePage
int32,GuideTitle,GuidePage
0,"","GuidePage#0"
1,"Job Gauge Details","GuidePage#1"
2,"Job Gauge Details","GuidePage#2"
3,"Job Gauge Details","GuidePage#3"
4,"Job Gauge Details","GuidePage#4"
5,"Job Gauge Details","GuidePage#5"
6,"Job Gauge Details","GuidePage#6"
7,"Job Gauge Details","GuidePage#7"
8,"Job Gauge Details","GuidePage#8"
9,"Job Gauge Details","GuidePage#9"
10,"Job Gauge Details","GuidePage#10"
11,"Job Gauge Details","GuidePage#11"
12,"Job Gauge Details","GuidePage#12"
13,"Job Gauge Details","GuidePage#13"
14,"Job Gauge Details","GuidePage#14"
15,"Job Gauge Details","GuidePage#24"
16,"Job Gauge Details","GuidePage#25"
17,"Job Gauge Details","GuidePage#49"
18,"Job Gauge Details","GuidePage#26"
19,"Job Gauge Details","GuidePage#27"
20,"Job Gauge Details","GuidePage#28"
21,"Job Gauge Details","GuidePage#29"
22,"Job Gauge Details","GuidePage#56"
23,"Job Gauge Details","GuidePage#30"
24,"Job Gauge Details","GuidePage#31"
25,"Job Gauge Details","GuidePage#41"
26,"Job Gauge Details","GuidePage#42"
27,"Job Gauge Details","GuidePage#43"
28,"Job Gauge Details","GuidePage#44"
29,"Job Gauge Details","GuidePage#45"
30,"Job Gauge Details","GuidePage#65"
31,"Job Gauge Details","GuidePage#46"
32,"Job Gauge Details","GuidePage#47"
33,"Job Gauge Details","GuidePage#58"
34,"Job Gauge Details","GuidePage#59"
35,"Job Gauge Details","GuidePage#60"
36,"Job Gauge Details","GuidePage#61"
37,"Job Gauge Details","GuidePage#62"
38,"Job Gauge Details","GuidePage#63"
39,"Job Gauge Details","GuidePage#64"
40,"Job Gauge Details","GuidePage#15"
41,"Job Gauge Details","GuidePage#16"
42,"Job Gauge Details","GuidePage#50"
43,"Job Gauge Details","GuidePage#19"
44,"Job Gauge Details","GuidePage#18"
45,"Job Gauge Details","GuidePage#51"
46,"Job Gauge Details","GuidePage#52"
47,"Job Gauge Details","GuidePage#20"
48,"Job Gauge Details","GuidePage#21"
49,"Job Gauge Details","GuidePage#53"
50,"Job Gauge Details","GuidePage#22"
51,"Job Gauge Details","GuidePage#23"
52,"Job Gauge Details","GuidePage#32"
53,"Job Gauge Details","GuidePage#33"
54,"Job Gauge Details","GuidePage#34"
55,"Job Gauge Details","GuidePage#35"
56,"Job Gauge Details","GuidePage#36"
57,"Job Gauge Details","GuidePage#57"
58,"Job Gauge Details","GuidePage#66"
59,"Job Gauge Details","GuidePage#67"
60,"Job Gauge Details","GuidePage#54"
61,"Job Gauge Details","GuidePage#55"
62,"Job Gauge Details","GuidePage#37"
63,"Job Gauge Details","GuidePage#38"
64,"Job Gauge Details","GuidePage#39"
65,"Job Gauge Details","GuidePage#40"
66,"Job Gauge Details","GuidePage#68"
67,"Job Gauge Details","GuidePage#69"
68,"Job Gauge Details","GuidePage#70"
69,"Job Gauge Details","GuidePage#71"
70,"Job Gauge Details","GuidePage#72"
71,"Job Gauge Details","GuidePage#73"
72,"Job Gauge Details","GuidePage#80"
73,"Job Gauge Details","GuidePage#81"
74,"Job Gauge Details","GuidePage#82"
75,"Job Gauge Details","GuidePage#83"
76,"Job Gauge Details","GuidePage#84"
77,"Job Gauge Details","GuidePage#85"
78,"Job Gauge Details","GuidePage#86"
