key,0,1,2,3,4
#,Objective,Requirement,,Image,Order
int32,str,str,uint16,Image,byte
0,"","",100,,0
1,"Small Fish in a Big Pond","Requirement: Score 2,500 points or higher.",110,"ui/icon/065000/065901.tex",4
2,"Big Fish in a Small Pond","Requirement: Score 5,000 points or higher.",120,"ui/icon/065000/065902.tex",5
3,"A Rare Catch","Requirement: Catch a ★★★★ fish.",110,"ui/icon/065000/065903.tex",6
4,"Catch of a Lifetime","Requirement: Catch a ★★★★★ fish.",120,"ui/icon/065000/065904.tex",7
5,"Give a Man a Fish","Requirement: Catch 15 or more fish when a spectral current is present.",110,"ui/icon/065000/065905.tex",8
6,"Teach a Man to Fish","Requirement: Catch 35 or more fish when a spectral current is present.",120,"ui/icon/065000/065906.tex",9
7,"Bream Team: Galadion Bay","Requirement: As a party, catch 10 or more different fish in Galadion Bay.",110,"ui/icon/065000/065907.tex",10
8,"Bream Team: Southern Strait of Merlthor","Requirement: As a party, catch 10 or more different fish in the southern Strait of Merlthor.",110,"ui/icon/065000/065908.tex",13
9,"Bream Team: Northern Strait of Merlthor","Requirement: As a party, catch 10 or more different fish in the northern Strait of Merlthor.",110,"ui/icon/065000/065909.tex",19
10,"Bream Team: Rhotano Sea","Requirement: As a party, catch 10 or more different fish in the Rhotano Sea.",110,"ui/icon/065000/065910.tex",22
11,"Fabled Fishers","Requirement: As a party, catch 3 or more ★★★★★ fish.",150,"ui/icon/065000/065911.tex",31
12,"Favored by Llymlaen","Requirement: Cause a spectral current to occur.",110,"ui/icon/065000/065912.tex",32
13,"Octopus Travelers","Requirement: As a party, catch 150 or more octopodes.",120,"ui/icon/065000/065913.tex",33
14,"Certifiable Shark Hunters","Requirement: As a party, catch 200 or more sharks.",130,"ui/icon/065000/065914.tex",34
15,"Jelled Together","Requirement: As a party, catch 150 or more jellyfish.",120,"ui/icon/065000/065915.tex",35
16,"Maritime Dragonslayers","Requirement: As a party, catch 100 or more seahorses.",110,"ui/icon/065000/065916.tex",36
17,"Ocean Fishing Amateur","Requirement: Complete one mission during an ocean fishing voyage.",105,"ui/icon/065000/065923.tex",1
18,"Ocean Fishing Enthusiast","Requirement: Complete two missions during an ocean fishing voyage.",110,"ui/icon/065000/065924.tex",2
19,"Ocean Fishing Fanatic","Requirement: Complete three missions during an ocean fishing voyage.",120,"ui/icon/065000/065925.tex",3
20,"Balloon Catchers","Requirement: As a party, catch 250 or more fugu.",130,"ui/icon/065000/065917.tex",37
21,"Crab Boat Crew","Requirement: As a party, catch 250 or more crabs.",130,"ui/icon/065000/065918.tex",38
22,"Sticking it to the Manta","Requirement: As an individual, catch 25 or more mantas.",120,"ui/icon/065000/065919.tex",39
23,"Bream Team: Galadion Bay","Requirement: As a party, catch 9 or more different fish in Galadion Bay. (Target number adjusted for party size.)",110,"ui/icon/065000/065907.tex",11
24,"Bream Team: Galadion Bay","Requirement: As a party, catch 8 or more different fish in Galadion Bay. (Target number adjusted for party size.)",110,"ui/icon/065000/065907.tex",12
25,"Bream Team: Southern Strait of Merlthor","Requirement: As a party, catch 9 or more different fish in the southern Strait of Merlthor. (Target number adjusted for party size.)",110,"ui/icon/065000/065908.tex",14
