key,0,1
#,Route,
int32,IKDRoute,uint32
0,"Bloodbrine Sea",13
1,"Rothlyt Sound",16
2,"Northern Strait of Merlthor",14
3,"Rhotano Sea",17
4,"Bloodbrine Sea",15
5,"Rothlyt Sound",18
6,"Northern Strait of Merlthor",13
7,"Rhotano Sea",16
8,"Bloodbrine Sea",14
9,"Rothlyt Sound",17
10,"Northern Strait of Merlthor",15
11,"Rhotano Sea",18
12,"Rothlyt Sound",16
13,"Northern Strait of Merlthor",14
14,"Rhotano Sea",17
15,"Bloodbrine Sea",15
16,"Rothlyt Sound",18
17,"Northern Strait of Merlthor",13
18,"Rhotano Sea",16
19,"Bloodbrine Sea",14
20,"Rothlyt Sound",17
21,"Northern Strait of Merlthor",15
22,"Rhotano Sea",18
23,"Bloodbrine Sea",13
24,"Northern Strait of Merlthor",14
25,"Rhotano Sea",17
26,"Bloodbrine Sea",15
27,"Rothlyt Sound",18
28,"Northern Strait of Merlthor",13
29,"Rhotano Sea",16
30,"Bloodbrine Sea",14
31,"Rothlyt Sound",17
32,"Northern Strait of Merlthor",15
33,"Rhotano Sea",18
34,"Bloodbrine Sea",13
35,"Rothlyt Sound",16
36,"Rhotano Sea",17
37,"Bloodbrine Sea",15
38,"Rothlyt Sound",18
39,"Northern Strait of Merlthor",13
40,"Rhotano Sea",16
41,"Bloodbrine Sea",14
42,"Rothlyt Sound",17
43,"Northern Strait of Merlthor",15
44,"Rhotano Sea",18
45,"Bloodbrine Sea",13
46,"Rothlyt Sound",16
47,"Northern Strait of Merlthor",14
48,"Bloodbrine Sea",15
49,"Rothlyt Sound",18
50,"Northern Strait of Merlthor",13
51,"Rhotano Sea",16
52,"Bloodbrine Sea",14
53,"Rothlyt Sound",17
54,"Northern Strait of Merlthor",15
55,"Rhotano Sea",18
56,"Bloodbrine Sea",13
57,"Rothlyt Sound",16
58,"Northern Strait of Merlthor",14
59,"Rhotano Sea",17
60,"Rothlyt Sound",18
61,"Northern Strait of Merlthor",13
62,"Rhotano Sea",16
63,"Bloodbrine Sea",14
64,"Rothlyt Sound",17
65,"Northern Strait of Merlthor",15
66,"Rhotano Sea",18
67,"Bloodbrine Sea",13
68,"Rothlyt Sound",16
69,"Northern Strait of Merlthor",14
70,"Rhotano Sea",17
71,"Bloodbrine Sea",15
72,"Northern Strait of Merlthor",13
73,"Rhotano Sea",16
74,"Bloodbrine Sea",14
75,"Rothlyt Sound",17
76,"Northern Strait of Merlthor",15
77,"Rhotano Sea",18
78,"Bloodbrine Sea",13
79,"Rothlyt Sound",16
80,"Northern Strait of Merlthor",14
81,"Rhotano Sea",17
82,"Bloodbrine Sea",15
83,"Rothlyt Sound",18
84,"Rhotano Sea",16
85,"Bloodbrine Sea",14
86,"Rothlyt Sound",17
87,"Northern Strait of Merlthor",15
88,"Rhotano Sea",18
89,"Bloodbrine Sea",13
90,"Rothlyt Sound",16
91,"Northern Strait of Merlthor",14
92,"Rhotano Sea",17
93,"Bloodbrine Sea",15
94,"Rothlyt Sound",18
95,"Northern Strait of Merlthor",13
96,"Bloodbrine Sea",14
97,"Rothlyt Sound",17
98,"Northern Strait of Merlthor",15
99,"Rhotano Sea",18
100,"Bloodbrine Sea",13
101,"Rothlyt Sound",16
102,"Northern Strait of Merlthor",14
103,"Rhotano Sea",17
104,"Bloodbrine Sea",15
105,"Rothlyt Sound",18
106,"Northern Strait of Merlthor",13
107,"Rhotano Sea",16
108,"Rothlyt Sound",17
109,"Northern Strait of Merlthor",15
110,"Rhotano Sea",18
111,"Bloodbrine Sea",13
112,"Rothlyt Sound",16
113,"Northern Strait of Merlthor",14
114,"Rhotano Sea",17
115,"Bloodbrine Sea",15
116,"Rothlyt Sound",18
117,"Northern Strait of Merlthor",13
118,"Rhotano Sea",16
119,"Bloodbrine Sea",14
120,"Northern Strait of Merlthor",15
121,"Rhotano Sea",18
122,"Bloodbrine Sea",13
123,"Rothlyt Sound",16
124,"Northern Strait of Merlthor",14
125,"Rhotano Sea",17
126,"Bloodbrine Sea",15
127,"Rothlyt Sound",18
128,"Northern Strait of Merlthor",13
129,"Rhotano Sea",16
130,"Bloodbrine Sea",14
131,"Rothlyt Sound",17
132,"Rhotano Sea",18
133,"Bloodbrine Sea",13
134,"Rothlyt Sound",16
135,"Northern Strait of Merlthor",14
136,"Rhotano Sea",17
137,"Bloodbrine Sea",15
138,"Rothlyt Sound",18
139,"Northern Strait of Merlthor",13
140,"Rhotano Sea",16
141,"Bloodbrine Sea",14
142,"Rothlyt Sound",17
143,"Northern Strait of Merlthor",15
