key,0
#,SpecialShop
int32,SpecialShop
0.0,""
1.0,"Primal Gear (IL 100-115)"
1.1,"Gerolt's Masterworks (IL 110)"
1.2,"Ironworks Gear (IL 130)"
2.0,"Primal Gear (IL 100-115)"
2.1,"Gerolt's Masterworks (IL 110)"
2.2,"Ironworks Gear (IL 130)"
3.0,"Primal Gear (IL 100-115)"
3.1,"Gerolt's Masterworks (IL 110)"
3.2,"Ironworks Gear (IL 130)"
4.0,"Primal Gear (IL 100-115)"
4.1,"Gerolt's Masterworks (IL 110)"
4.2,"Ironworks Gear (IL 130)"
5.0,"Primal Gear (IL 100-115)"
5.1,"Gerolt's Masterworks (IL 110)"
5.2,"Ironworks Gear (IL 130)"
6.0,"Primal Gear (IL 100-115)"
6.1,"Gerolt's Masterworks (IL 110)"
6.2,"Ironworks Gear (IL 130)"
7.0,"Primal Gear (IL 100-115)"
7.1,"Gerolt's Masterworks (IL 110)"
7.2,"Ironworks Gear (IL 130)"
8.0,"Special Arms Materials"
8.1,"Miscellany"
8.2,"Materia I"
8.3,"Materia II"
9.0,"Crafter Gear (IL 55)"
10.0,"Master Recipes I"
10.1,"Master Recipes II"
10.2,"Materia"
11.0,"Gatherer Gear (IL 55)"
12.0,"Materia"
13.0,"Primal Gear (IL 175-265)"
13.1,"Prototype Gordian Gear (IL 190)"
13.2,"Gordian Gear (IL 210)"
13.3,"Prototype Midan Gear (IL 220)"
13.4,"Primal Gear (IL 240)"
13.5,"Midan Gear (IL 240-245)"
13.6,"Prototype Alexandrian Gear (IL 250)"
13.7,"Shire Gear (IL 270)"
13.8,"Alexandrian Gear (IL 270-275)"
14.0,"Primal Gear (IL 175-265)"
14.1,"Prototype Gordian Gear (IL 190)"
14.2,"Gordian Gear (IL 210)"
14.3,"Prototype Midan Gear (IL 220)"
14.4,"Primal Gear (IL 240)"
14.5,"Midan Gear (IL 240-245)"
14.6,"Prototype Alexandrian Gear (IL 250)"
14.7,"Shire Gear (IL 270)"
14.8,"Alexandrian Gear (IL 270-275)"
15.0,"Primal Gear (IL 175-265)"
15.1,"Prototype Gordian Gear (IL 190)"
15.2,"Gordian Gear (IL 210)"
15.3,"Prototype Midan Gear (IL 220)"
15.4,"Primal Gear (IL 240)"
15.5,"Midan Gear (IL 240-245)"
15.6,"Prototype Alexandrian Gear (IL 250)"
15.7,"Shire Gear (IL 270)"
15.8,"Alexandrian Gear (IL 270-275)"
16.0,"Primal Gear (IL 175-265)"
16.1,"Prototype Gordian Gear (IL 190)"
16.2,"Gordian Gear (IL 210)"
16.3,"Prototype Midan Gear (IL 220)"
16.4,"Primal Gear (IL 240)"
16.5,"Midan Gear (IL 240-245)"
16.6,"Prototype Alexandrian Gear (IL 250)"
16.7,"Shire Gear (IL 270)"
16.8,"Alexandrian Gear (IL 270-275)"
17.0,"Primal Gear (IL 175-265)"
17.1,"Prototype Gordian Gear (IL 190)"
17.2,"Gordian Gear (IL 210)"
17.3,"Prototype Midan Gear (IL 220)"
17.4,"Primal Gear (IL 240)"
17.5,"Midan Gear (IL 240-245)"
17.6,"Prototype Alexandrian Gear (IL 250)"
17.7,"Shire Gear (IL 270)"
17.8,"Alexandrian Gear (IL 270-275)"
18.0,"Primal Gear (IL 175-265)"
18.1,"Prototype Gordian Gear (IL 190)"
18.2,"Gordian Gear (IL 210)"
18.3,"Prototype Midan Gear (IL 220)"
18.4,"Primal Gear (IL 240)"
18.5,"Midan Gear (IL 240-245)"
18.6,"Prototype Alexandrian Gear (IL 250)"
18.7,"Shire Gear (IL 270)"
18.8,"Alexandrian Gear (IL 270-275)"
19.0,"Primal Gear (IL 175-265)"
19.1,"Prototype Gordian Gear (IL 190)"
19.2,"Gordian Gear (IL 210)"
19.3,"Prototype Midan Gear (IL 220)"
19.4,"Primal Gear (IL 240)"
19.5,"Midan Gear (IL 240-245)"
19.6,"Prototype Alexandrian Gear (IL 250)"
19.7,"Shire Gear (IL 270)"
19.8,"Alexandrian Gear (IL 270-275)"
20.0,"Special Arms Materials"
20.1,"Materials"
20.2,"Mounts/Miscellany"
20.3,"Materia I"
20.4,"Materia II"
21.0,"Adept Gear (IL 130)"
21.1,"Tradecraft Keep Tools (IL 200)"
21.2,"Tradecraft Keep Gear (IL 200)"
22.0,"Miscellany"
22.1,"Materials"
22.2,"Master Recipes I"
22.3,"Master Recipes II"
22.4,"Materia"
23.0,"Trailblazer Gear (IL 130)"
23.1,"Fieldcraft Keep Tools (IL 200)"
23.2,"Fieldcraft Keep Gear (IL 200)"
24.0,"Bait/Miscellany"
24.1,"Materials"
24.2,"Folklore Items"
24.3,"Materia"
