key,0,1,2,3,4
#,Instance,Item,,,
int32,InstanceContent,Item,byte,byte,byte
0,"InstanceContent#9","Irregular Tomestone of Mendacity",3,0,0
1,"InstanceContent#12","Irregular Tomestone of Mendacity",3,0,0
2,"InstanceContent#13","Irregular Tomestone of Mendacity",3,0,0
3,"InstanceContent#23","Irregular Tomestone of Mendacity",4,0,0
4,"InstanceContent#24","Irregular Tomestone of Mendacity",4,0,0
5,"InstanceContent#30087","Irregular Tomestone of Mendacity",5,0,0
6,"InstanceContent#30096","Irregular Tomestone of Mendacity",6,0,0
7,"InstanceContent#30105","Irregular Tomestone of Mendacity",7,0,0
8,"InstanceContent#30021","Irregular Tomestone of Mendacity",2,0,0
9,"InstanceContent#30022","Irregular Tomestone of Mendacity",2,0,0
10,"InstanceContent#30023","Irregular Tomestone of Mendacity",2,0,0
11,"InstanceContent#30024","Irregular Tomestone of Mendacity",2,0,0
12,"InstanceContent#30030","Irregular Tomestone of Mendacity",2,0,0
13,"InstanceContent#30031","Irregular Tomestone of Mendacity",2,0,0
14,"InstanceContent#30032","Irregular Tomestone of Mendacity",2,0,0
15,"InstanceContent#30033","Irregular Tomestone of Mendacity",2,0,0
16,"InstanceContent#30039","Irregular Tomestone of Mendacity",2,0,0
17,"InstanceContent#30040","Irregular Tomestone of Mendacity",2,0,0
18,"InstanceContent#30041","Irregular Tomestone of Mendacity",2,0,0
19,"InstanceContent#30042","Irregular Tomestone of Mendacity",2,0,0
20,"InstanceContent#20068","Irregular Tomestone of Mendacity",2,0,0
21,"InstanceContent#20073","Irregular Tomestone of Mendacity",2,0,0
22,"InstanceContent#20075","Irregular Tomestone of Mendacity",2,0,0
23,"InstanceContent#15","Irregular Tomestone of Mendacity",4,0,0
24,"InstanceContent#86","Irregular Tomestone of Mendacity",7,0,0
25,"InstanceContent#20082","Irregular Tomestone of Mendacity",3,0,0
26,"InstanceContent#50001","Irregular Tomestone of Mendacity",5,3,3
27,"InstanceContent#50004","Irregular Tomestone of Mendacity",5,3,3
28,"InstanceContent#50005","Irregular Tomestone of Mendacity",5,3,3
29,"InstanceContent#50006","Irregular Tomestone of Mendacity",5,3,3
30,"InstanceContent#51002","Irregular Tomestone of Mendacity",5,3,3
31,"InstanceContent#0","Diadochos Sword",0,0,0
32,"InstanceContent#0","Diadochos Sword",0,0,0
33,"InstanceContent#0","Diadochos Sword",0,0,0
34,"InstanceContent#0","Diadochos Sword",0,0,0
35,"InstanceContent#0","Diadochos Sword",0,0,0
36,"InstanceContent#0","Diadochos Sword",0,0,0
