key,0,1,2,3,4,5
#,Name,Icon,Category,Order,ClassJob,
int32,str,Image,byte,byte,ClassJob,bit&01
0,"",,0,0,"adventurer",False
1,"Primary Arms","ui/icon/060000/060102.tex",0,0,"adventurer",False
2,"Primary Tools","ui/icon/060000/060113.tex",0,0,"adventurer",False
3,"Primary Tools","ui/icon/060000/060120.tex",0,0,"adventurer",False
4,"Armor","ui/icon/060000/060126.tex",0,0,"adventurer",False
5,"Accessories","ui/icon/060000/060135.tex",0,0,"adventurer",False
6,"Medicines","ui/icon/060000/060136.tex",0,0,"adventurer",False
7,"Materials","ui/icon/060000/060137.tex",0,0,"adventurer",False
8,"Other","ui/icon/060000/060159.tex",0,0,"adventurer",False
9,"Pugilist's Arms","ui/icon/060000/060101.tex",1,6,"pugilist",False
10,"Gladiator's Arms","ui/icon/060000/060102.tex",1,0,"gladiator",False
11,"Marauder's Arms","ui/icon/060000/060103.tex",1,1,"marauder",False
12,"Archer's Arms","ui/icon/060000/060105.tex",1,9,"archer",False
13,"Lancer's Arms","ui/icon/060000/060104.tex",1,4,"lancer",False
14,"Thaumaturge's Arms","ui/icon/060000/060108.tex",1,12,"thaumaturge",False
15,"Conjurer's Arms","ui/icon/060000/060107.tex",1,15,"conjurer",False
16,"Arcanist's Arms","ui/icon/060000/060109.tex",1,13,"arcanist",False
17,"Shields","ui/icon/060000/060110.tex",2,0,"adventurer",False
18,"Dancer's Arms","ui/icon/060000/060111.tex",0,0,"adventurer",False
19,"Carpenter's Tools","ui/icon/060000/060112.tex",1,19,"carpenter",False
20,"Blacksmith's Tools","ui/icon/060000/060113.tex",1,20,"blacksmith",False
21,"Armorer's Tools","ui/icon/060000/060114.tex",1,21,"armorer",False
22,"Goldsmith's Tools","ui/icon/060000/060115.tex",1,22,"goldsmith",False
23,"Leatherworker's Tools","ui/icon/060000/060116.tex",1,23,"leatherworker",False
24,"Weaver's Tools","ui/icon/060000/060117.tex",1,24,"weaver",False
25,"Alchemist's Tools","ui/icon/060000/060118.tex",1,25,"alchemist",False
26,"Culinarian's Tools","ui/icon/060000/060119.tex",1,26,"culinarian",False
27,"Miner's Tools","ui/icon/060000/060120.tex",1,27,"miner",False
28,"Botanist's Tools","ui/icon/060000/060121.tex",1,28,"botanist",False
29,"Fisher's Tools","ui/icon/060000/060122.tex",1,29,"fisher",False
30,"Fishing Tackle","ui/icon/060000/060123.tex",1,30,"fisher",False
31,"Head","ui/icon/060000/060124.tex",2,1,"adventurer",False
32,"Undershirts","ui/icon/060000/060125.tex",0,0,"adventurer",False
33,"Body","ui/icon/060000/060126.tex",2,2,"adventurer",False
34,"Undergarments","ui/icon/060000/060127.tex",0,0,"adventurer",False
35,"Legs","ui/icon/060000/060128.tex",2,4,"adventurer",False
36,"Hands","ui/icon/060000/060129.tex",2,3,"adventurer",False
37,"Feet","ui/icon/060000/060130.tex",2,5,"adventurer",False
38,"Waist","ui/icon/060000/060131.tex",0,0,"adventurer",False
39,"Necklaces","ui/icon/060000/060132.tex",2,7,"adventurer",False
40,"Earrings","ui/icon/060000/060133.tex",2,6,"adventurer",False
41,"Bracelets","ui/icon/060000/060134.tex",2,8,"adventurer",False
42,"Rings","ui/icon/060000/060135.tex",2,9,"adventurer",False
43,"Medicine","ui/icon/060000/060136.tex",3,0,"adventurer",False
44,"Ingredients","ui/icon/060000/060137.tex",3,1,"adventurer",False
45,"Meals","ui/icon/060000/060146.tex",3,2,"adventurer",False
46,"Seafood","ui/icon/060000/060138.tex",3,3,"adventurer",False
47,"Stone","ui/icon/060000/060139.tex",3,4,"adventurer",False
48,"Metal","ui/icon/060000/060140.tex",3,5,"adventurer",False
49,"Lumber","ui/icon/060000/060141.tex",3,6,"adventurer",False
50,"Cloth","ui/icon/060000/060142.tex",3,7,"adventurer",False
51,"Leather","ui/icon/060000/060143.tex",3,8,"adventurer",False
52,"Bone","ui/icon/060000/060144.tex",3,9,"adventurer",False
53,"Reagents","ui/icon/060000/060145.tex",3,10,"adventurer",False
54,"Dyes","ui/icon/060000/060147.tex",3,11,"adventurer",False
55,"Weapon Parts","ui/icon/060000/060148.tex",3,12,"adventurer",False
56,"Furnishings","ui/icon/060000/060164.tex",4,3,"adventurer",False
57,"Materia","ui/icon/060000/060150.tex",3,13,"adventurer",False
58,"Crystals","ui/icon/060000/060151.tex",3,14,"adventurer",False
