key,0,1,2,3,4,5,6
#,,,,Action,,,Guide
int32,byte,byte,byte,Action,byte,uint32,Guide
0,255,255,0,"",0,0,"Guide#0"
1,40,255,1,"Iron Will",0,0,"Guide#1"
2,40,255,2,"Limit Break",0,0,"Guide#2"
3,42,255,1,"Defiance",0,0,"Guide#3"
4,42,255,2,"Steady Hand",0,0,"Guide#4"
5,54,255,1,"Grit",0,0,"Guide#5"
6,78,255,1,"Flood of Darkness",0,0,"Guide#6"
7,54,255,2,"Manafont",0,0,"Guide#7"
8,78,255,1,"The Blackest Night",0,0,"Guide#8"
9,78,255,1,"Living Shadow",0,0,"Guide#9"
10,45,255,2,"反撃効果",0,0,"Guide#10"
11,45,255,2,"Haste",0,0,"Guide#11"
12,47,255,1,"Aetherflow",0,0,"Guide#12"
13,50,255,1,"Aetherpact",0,0,"Guide#13"
14,50,255,1,"Summon Seraph",0,0,"Guide#14"
15,55,255,1,"Astral Draw",0,0,"Guide#40"
16,55,255,1,"Minor Arcana",0,0,"Guide#41"
17,61,255,1,"Steeled Meditation",0,0,"Guide#42"
18,91,255,1,"Twin Snakes",0,0,"Guide#43"
19,61,255,1,"Steeled Meditation",0,0,"Guide#44"
20,91,255,2,"",0,0,"Guide#45"
21,61,255,1,"Brotherhood",0,0,"Guide#46"
22,58,255,1,"Jolt",0,0,"Guide#29"
23,58,255,2,"Plaincracker",0,0,"Guide#30"
24,43,255,1,"Geirskogul",0,0,"Guide#47"
25,43,255,2,"Ruin",0,0,"Guide#48"
26,43,255,2,"Slumber Breath",0,0,"Guide#49"
27,62,255,1,"Armor Crush",0,0,"Guide#50"
28,51,255,2,"Summon",0,0,"Guide#51"
29,57,255,1,"Iaijutsu",0,0,"Guide#15"
30,56,255,2,"Ageless Words",0,0,"Guide#16"
31,56,255,1,"Shoha",0,0,"Guide#17"
32,44,255,1,"Mage's Ballad",0,0,"Guide#18"
33,44,255,1,"Army's Paeon",0,0,"Guide#19"
34,44,255,1,"the Wanderer's Minuet",0,0,"Guide#20"
35,44,255,2,"Reclaim",0,0,"Guide#21"
36,44,255,2,"Stagnant Spray",0,0,"Guide#22"
37,52,255,1,"Hypercharge",0,0,"Guide#23"
38,52,255,1,"Rook Autoturret",2,294,"Guide#24"
39,46,255,1,"Fire",0,0,"Guide#52"
40,46,255,2,"イフリート：着地",0,0,"Guide#53"
41,46,255,2,"Sharp Vision III",0,0,"Guide#54"
42,46,255,1,"Foul",0,0,"Guide#55"
43,46,255,2,"Mooch",0,0,"Guide#56"
44,46,255,2,"炎獄の楔：死亡",0,0,"Guide#57"
45,46,255,2,"Absent-mindedness",0,0,"Guide#58"
46,103,255,2,"Hot Hands",0,0,"Guide#59"
47,49,255,1,"Aethercharge",0,0,"Guide#60"
48,48,255,1,"Energy Drain",0,0,"Guide#61"
49,49,255,1,"Aethercharge",0,0,"Guide#62"
50,49,255,2,"Barbaric Surge",0,0,"Guide#63"
51,49,255,2,"Bio II",0,0,"Guide#64"
52,49,255,2,"100 Needles",0,0,"Guide#65"
53,49,255,3,"Raise",0,0,"Guide#66"
54,80,255,1,"Standard Step",0,0,"Guide#25"
55,81,255,2,"Inner Quiet",0,0,"Guide#26"
56,80,255,1,"Technical Step",0,0,"Guide#27"
57,81,255,2,"Inner Quiet",0,0,"Guide#28"
58,79,255,1,"Royal Guard",0,0,"Guide#31"
59,79,255,2,"Inner Quiet",0,0,"Guide#32"
60,79,255,2,"Enblizzard",0,0,"Guide#33"
61,87,255,2,"Ultrasonics",0,0,"Guide#34"
62,88,87,2,"Agitation",0,0,"Guide#35"
63,88,255,2,"Agitation",0,0,"Guide#36"
64,89,255,1,"Eukrasia",0,0,"Guide#37"
65,90,255,2,"Bombardier",0,0,"Guide#38"
66,90,255,2,"Somersault Slash",0,0,"Guide#39"
67,104,255,3,"Aetherflow",0,0,"Guide#67"
68,104,255,2,"Sand Breath",0,0,"Guide#68"
69,104,255,2,"Poison Breath",0,0,"Guide#69"
70,105,255,2,"Earthbreak",0,0,"Guide#70"
71,105,255,2,"Sand Pillar",0,0,"Guide#71"
72,106,255,3,"",0,0,"Guide#72"
73,106,255,3,"Last Bastion",0,0,"Guide#73"
74,107,255,2,"Magitek Ray",0,0,"Guide#74"
75,106,255,3,"Meteor",0,0,"Guide#75"
76,107,255,2,"Overheat",0,0,"Guide#76"
77,107,255,2,"Seaspray",0,0,"Guide#77"
78,106,255,3,"Limit Break",0,0,"Guide#78"
79,46,255,1,"Umbral Soul",0,0,"Guide#79"
80,0,0,0,"",0,0,"Guide#0"
