key,0,1,2,3,4,5,6,7
#,JobHudManual[0],JobHudManual[1],JobHudManual[2],,,,,
int32,JobHudManual,JobHudManual,JobHudManual,byte,byte,byte,byte,byte
0,"","","",0,0,0,0,0
1,"Key Item","","",0,0,0,0,0
2,"Key Item","Key Item","",0,0,0,0,0
3,"Key Item","","",0,0,0,0,0
4,"Key Item","","",0,0,0,0,0
5,"Key Item","Key Item","",0,0,0,0,0
6,"Interaction","","",0,0,0,0,0
7,"Key Item","Interaction","Key Item",0,0,0,0,0
8,"Interaction","","",0,0,0,0,0
9,"Interaction","Interaction","Key Item",0,0,0,0,0
10,"Interaction","Interaction","Key Item",33,32,0,0,0
11,"Interaction","Interaction","",0,0,0,0,0
12,"Interaction","Interaction","Interaction",43,42,41,40,0
13,"Sprint","Interaction","Interaction",50,49,0,0,0
14,"Key Item","Key Item","Key Item",0,0,0,0,0
15,"Interaction","Key Item","",0,0,0,0,0
16,"Key Item","Key Item","",0,0,0,0,0
17,"Key Item","Key Item","Interaction",6,5,0,0,0
18,"Key Item","Key Item","",0,0,0,0,0
19,"Key Item","Interaction","Key Item",0,0,0,0,0
20,"Interaction","Key Item","",0,0,0,0,0
21,"Interaction","Interaction","Key Item",0,0,0,0,0
22,"Interaction","Key Item","Interaction",54,0,0,0,0
23,"Interaction","Interaction","Interaction",0,0,0,0,0
24,"Interaction","Interaction","Key Item",0,0,0,0,0
25,"Interaction","Interaction","Interaction",68,67,0,0,0
26,"Sprint","Interaction","Interaction",75,74,73,72,0
