key,0,1,2,3,4
#,Name,SeparateType,DataType,JournalSection,
int32,str,byte,byte,JournalSection,byte
0,"Sephiroth Missions",0,0,,0
1,"Seventh Umbral Era Main Scenario Quests",1,1,"Main Scenario (A Realm Reborn through Endwalker)",0
2,"Seventh Astral Era Main Scenario Quests",1,1,"Main Scenario (A Realm Reborn through Endwalker)",0
3,"Heavensward Main Scenario Quests",1,1,"Main Scenario (A Realm Reborn through Endwalker)",0
4,"Dragonsong Main Scenario Quests",1,1,"Main Scenario (A Realm Reborn through Endwalker)",0
5,"Post-Dragonsong Main Scenario Quests",1,1,"Main Scenario (A Realm Reborn through Endwalker)",0
6,"Stormblood Main Scenario Quests",1,1,"Main Scenario (A Realm Reborn through Endwalker)",0
7,"Post-Stormblood Main Scenario Quests",1,1,"Main Scenario (A Realm Reborn through Endwalker)",0
8,"Shadowbringers Main Scenario Quests",1,1,"Main Scenario (A Realm Reborn through Endwalker)",0
9,"Post-Shadowbringers Main Scenario Quests",1,1,"Main Scenario (A Realm Reborn through Endwalker)",0
10,"Post-Shadowbringers Main Scenario Quests II",1,1,"Main Scenario (A Realm Reborn through Endwalker)",0
11,"Endwalker Main Scenario Quests",1,1,"Main Scenario (A Realm Reborn through Endwalker)",0
12,"Post-Endwalker Main Scenario Quests",1,1,"Main Scenario (A Realm Reborn through Endwalker)",0
13,"Dawntrail Main Scenario Quests",1,1,"Main Scenario (Dawntrail)",0
14,"Post-Dawntrail Main Scenario Quests",1,1,"Main Scenario (Dawntrail)",0
15,"Post-Dawntrail Main Scenario Quests II",1,1,"Main Scenario (Dawntrail)",0
16,"Chronicles of a New Era - Primals",1,1,"Chronicles of a New Era",0
17,"Chronicles of a New Era - Bahamut",1,1,"Chronicles of a New Era",0
18,"Chronicles of a New Era - The Crystal Tower",1,1,"Chronicles of a New Era",0
19,"Chronicles of a New Era - Alexander",1,1,"Chronicles of a New Era",0
20,"Chronicles of a New Era - The Warring Triad",1,1,"Chronicles of a New Era",0
21,"Chronicles of a New Era - The Shadow of Mhach",1,1,"Chronicles of a New Era",0
22,"Chronicles of a New Era - Omega",2,1,"Chronicles of a New Era",0
23,"Chronicles of a New Era - Return to Ivalice",1,1,"Chronicles of a New Era",0
24,"Chronicles of a New Era - The Four Lords",1,1,"Chronicles of a New Era",0
25,"Chronicles of a New Era - Eden",1,1,"Chronicles of a New Era",0
26,"YoRHa: Dark Apocalypse",1,1,"Chronicles of a New Era",0
27,"Chronicles of a New Era - The Sorrow of Werlyt",1,1,"Chronicles of a New Era",0
28,"Chronicles of a New Era - Pandæmonium",2,1,"Chronicles of a New Era",0
29,"Chronicles of a New Era - Myths of the Realm",1,1,"Chronicles of a New Era",0
30,"Chronicles of a New Era - The Arcadion",1,1,"Chronicles of a New Era",0
