key,0,1,2,3,4,5
#,,Name,SGB,,,
int32,uint32,EObjName,ExportedSG,byte,int16,int16
0,0,,,0,0,0
1,9260143,"facility I logboard","bgcommon/mji/buil/01/0001/asset/bil_t1_m0001.sgb",1,-277,254
2,9260144,"facility II logboard","bgcommon/mji/buil/01/0001/asset/bil_t1_m0001.sgb",1,-244,243
3,9260145,"facility III logboard","bgcommon/mji/buil/01/0001/asset/bil_t1_m0001.sgb",3,-235,305
4,9260146,"facility IV logboard","bgcommon/mji/buil/01/0001/asset/bil_t1_m0001.sgb",3,-199,315
5,9260147,"facility V logboard","bgcommon/mji/buil/01/0001/asset/bil_t1_m0001.sgb",4,-151,243
6,9260142,"cozy cabin logboard","bgcommon/mji/buil/00/0001/asset/hom_t1_m0001.sgb",0,-268,212
7,9260148,"facility VI logboard","bgcommon/mji/buil/01/0001/asset/bil_t1_m0001.sgb",6,-96,303
