key,0,1,2
#,Item,SGB,Name
int32,Item,ExportedSG,EObjName
0,"",,
1,"Island Popoto","bgcommon/mji/feed/0001/asset/fee_f0_m0001.sgb","island popoto"
2,"Island Cabbage","bgcommon/mji/feed/0006/asset/fee_f0_m0006.sgb","island cabbage"
3,"Isleberry","bgcommon/mji/feed/0003/asset/fee_f0_m0003.sgb","isleberry"
4,"Island Pumpkin","bgcommon/mji/feed/0005/asset/fee_f0_m0005.sgb","island pumpkin"
5,"Island Onion","bgcommon/mji/feed/0007/asset/fee_f0_m0007.sgb","island onion"
6,"Island Tomato","bgcommon/mji/feed/0008/asset/fee_f0_m0008.sgb","island tomato"
7,"Island Wheat","bgcommon/mji/feed/0021/asset/fee_f0_m0021.sgb","island wheat"
8,"Island Corn","bgcommon/mji/feed/0013/asset/fee_f0_m0013.sgb","island corn"
9,"Island Parsnip","bgcommon/mji/feed/0016/asset/fee_f0_m0016.sgb","island parsnip"
10,"Island Radish","bgcommon/mji/feed/0010/asset/fee_f0_m0010.sgb","island radish"
