key,0
#,GatheringObject
int32,MJIGatheringObject
0,"palm tree"
1,"palm tree"
2,"palm tree"
3,"palm tree"
4,"palm tree"
5,"palm tree"
6,"palm tree"
7,"palm tree"
8,"palm tree"
9,"palm tree"
10,"palm tree"
11,"palm tree"
12,"palm tree"
13,"palm tree"
14,"palm tree"
15,"palm tree"
16,"palm tree"
17,"palm tree"
18,"palm tree"
19,"palm tree"
20,"tualong tree"
21,"tualong tree"
22,"tualong tree"
23,"tualong tree"
24,"tualong tree"
25,"tualong tree"
26,"tualong tree"
27,"tualong tree"
28,"tualong tree"
29,"tualong tree"
30,"tualong tree"
31,"tualong tree"
32,"tualong tree"
33,"tualong tree"
34,"tualong tree"
35,"tualong tree"
36,"tualong tree"
37,"tualong tree"
38,"tualong tree"
39,"tualong tree"
40,"island apple tree"
41,"island apple tree"
42,"island apple tree"
43,"island apple tree"
44,"island apple tree"
45,"island apple tree"
46,"island apple tree"
47,"island apple tree"
48,"island apple tree"
49,"island apple tree"
50,"island apple tree"
51,"island apple tree"
52,"island apple tree"
53,"island apple tree"
54,"island apple tree"
55,"island apple tree"
56,"island apple tree"
57,"island apple tree"
58,"island apple tree"
59,"island apple tree"
60,"mahogany tree"
61,"mahogany tree"
62,"mahogany tree"
63,"mahogany tree"
64,"mahogany tree"
65,"mahogany tree"
66,"mahogany tree"
67,"mahogany tree"
68,"mahogany tree"
69,"mahogany tree"
70,"mahogany tree"
71,"mahogany tree"
72,"mahogany tree"
73,"mahogany tree"
74,"mahogany tree"
75,"mahogany tree"
76,"mahogany tree"
77,"mahogany tree"
78,"mahogany tree"
79,"mahogany tree"
80,"lightly gnawed pumpkin"
81,"lightly gnawed pumpkin"
82,"lightly gnawed pumpkin"
83,"lightly gnawed pumpkin"
84,"lightly gnawed pumpkin"
85,"lightly gnawed pumpkin"
86,"lightly gnawed pumpkin"
87,"lightly gnawed pumpkin"
88,"lightly gnawed pumpkin"
89,"lightly gnawed pumpkin"
90,"bluish rock"
91,"bluish rock"
92,"bluish rock"
93,"bluish rock"
94,"bluish rock"
95,"bluish rock"
96,"bluish rock"
97,"bluish rock"
98,"bluish rock"
99,"bluish rock"
100,"bluish rock"
101,"bluish rock"
102,"bluish rock"
103,"bluish rock"
104,"bluish rock"
105,"bluish rock"
106,"bluish rock"
107,"bluish rock"
108,"bluish rock"
109,"bluish rock"
110,"smooth white rock"
111,"smooth white rock"
112,"smooth white rock"
113,"smooth white rock"
114,"smooth white rock"
115,"smooth white rock"
116,"smooth white rock"
117,"smooth white rock"
118,"smooth white rock"
119,"smooth white rock"
120,"smooth white rock"
121,"smooth white rock"
122,"smooth white rock"
123,"smooth white rock"
124,"smooth white rock"
125,"smooth white rock"
126,"smooth white rock"
127,"smooth white rock"
128,"smooth white rock"
129,"smooth white rock"
130,"crystal-banded rock"
131,"crystal-banded rock"
132,"crystal-banded rock"
133,"crystal-banded rock"
134,"crystal-banded rock"
135,"crystal-banded rock"
136,"crystal-banded rock"
137,"crystal-banded rock"
138,"crystal-banded rock"
139,"crystal-banded rock"
140,"wild popoto"
141,"wild popoto"
142,"wild popoto"
143,"wild popoto"
144,"wild popoto"
145,"wild popoto"
146,"wild popoto"
147,"wild popoto"
148,"wild popoto"
149,"wild popoto"
150,"wild popoto"
151,"wild popoto"
152,"wild popoto"
153,"wild popoto"
154,"wild popoto"
155,"wild popoto"
156,"wild popoto"
157,"wild popoto"
158,"wild popoto"
159,"wild popoto"
160,"wild parsnip"
161,"wild parsnip"
162,"wild parsnip"
163,"wild parsnip"
164,"wild parsnip"
165,"wild parsnip"
166,"wild parsnip"
167,"wild parsnip"
168,"wild parsnip"
169,"wild parsnip"
170,"wild parsnip"
171,"wild parsnip"
172,"wild parsnip"
173,"wild parsnip"
174,"wild parsnip"
175,"wild parsnip"
176,"wild parsnip"
177,"wild parsnip"
178,"wild parsnip"
179,"wild parsnip"
180,"cotton plant"
181,"cotton plant"
182,"cotton plant"
183,"cotton plant"
184,"cotton plant"
185,"cotton plant"
186,"cotton plant"
187,"cotton plant"
188,"cotton plant"
189,"cotton plant"
190,"cotton plant"
191,"cotton plant"
192,"cotton plant"
193,"cotton plant"
194,"cotton plant"
195,"cotton plant"
196,"cotton plant"
197,"cotton plant"
198,"cotton plant"
199,"cotton plant"
200,"submerged sand"
201,"submerged sand"
202,"submerged sand"
203,"submerged sand"
204,"submerged sand"
205,"submerged sand"
206,"submerged sand"
207,"submerged sand"
208,"submerged sand"
209,"submerged sand"
210,"submerged sand"
211,"submerged sand"
212,"submerged sand"
213,"sugarcane"
214,"sugarcane"
215,"sugarcane"
216,"sugarcane"
217,"sugarcane"
218,"sugarcane"
219,"sugarcane"
220,"sugarcane"
221,"sugarcane"
222,"sugarcane"
223,"sugarcane"
224,"sugarcane"
225,"sugarcane"
226,"sugarcane"
227,"large shell"
228,"large shell"
229,"large shell"
230,"large shell"
231,"large shell"
232,"large shell"
233,"large shell"
234,"large shell"
235,"seaweed tangle"
236,"seaweed tangle"
237,"seaweed tangle"
238,"seaweed tangle"
239,"seaweed tangle"
240,"seaweed tangle"
241,"seaweed tangle"
242,"seaweed tangle"
243,"seaweed tangle"
244,"seaweed tangle"
245,"seaweed tangle"
246,"seaweed tangle"
247,"seaweed tangle"
248,"seaweed tangle"
249,"seaweed tangle"
250,"coral formation"
251,"coral formation"
252,"coral formation"
253,"coral formation"
254,"coral formation"
255,"coral formation"
