key,0,1
#,Item,Sort
int32,Item,byte
0,"",0
1,"Islekeep's Stone Hatchet",1
2,"Islekeep's Stone Hammer",2
3,"Islekeep's Shovel",3
4,"Islekeep's Copper Scythe",4
5,"Islekeep's Bronze Gig",5
6,"Islekeep's Bronze Beakaxe",6
7,"Mammet-sized Cropworker's Tools",20
8,"Mammet-sized Pastureworker's Tools",21
9,"Basic Mammet-sized Builder's Tools",22
10,"Better Mammet-sized Builder's Tools",23
11,"Best Mammet-sized Builder's Tools",24
12,"Bestest Mammet-sized Builder's Tools",25
13,"Islekeep's Iron Hatchet",7
14,"Islekeep's Steel Hammer",8
15,"Mammet-sized Spelunking Tools",26
16,"Bestestest Mammet-sized Builder's Tools",27
17,"Islekeep's Mythril Pickaxe",9
18,"Islekeep's Chisel",10
19,"Splendiferous Mammet-sized Spelunking Tools",28
