key,0
#,Material
int32,MJIItemPouch
0.0,"Island Apple"
0.1,"Island Stone"
0.2,"Islewort"
0.3,"Island Vine"
0.4,"Island Log"
0.5,"Island Cotton Boll"
0.6,"Island Popoto Set"
0.7,"Island Parsnip Seeds"
1.0,"Island Palm Leaf"
1.1,"Island Stone"
1.2,"Islewort"
1.3,"Island Sand"
1.4,"Island Palm Log"
1.5,"Island Sugarcane"
1.6,"Island Clay"
1.7,"Island Tinsand"
2.0,"Island Branch"
2.1,"Island Pumpkin Seeds"
2.2,"Island Cabbage Seeds"
2.3,"Islewort"
2.4,"Island Sap"
2.5,"Island Vine"
2.6,"Island Apple"
2.7,"Island Log"
2.8,"Island Hemp"
3.0,"Island Palm Leaf"
3.1,"Island Sand"
3.2,"Island Clam"
3.3,"Island Laver"
3.4,"Island Coral"
3.5,"Island Palm Log"
3.6,"Island Rock Salt"
3.7,"Islefish"
3.8,"Island Squid"
3.9,"Island Jellyfish"
4.0,"Island Branch"
4.1,"Island Stone"
4.2,"Island Sand"
4.3,"Island Copper Ore"
4.4,"Island Limestone"
4.5,"Island Iron Ore"
4.6,"Island Quartz"
4.7,"Island Leucogranite"
