key,0,1,2,3,4,5
#,Category,Type,Action,Max,Weight,Order
int32,MYCTemporaryItemUICategory,byte,Action,byte,byte,byte
0,"",0,"",0,0,0
1,"Detrimental",1,"Lost Paralyze III",99,3,1
2,"Detrimental",1,"Lost Banish III",99,3,2
3,"Defensive",1,"Lost Manawall",2,16,3
4,"Detrimental",1,"Lost Dispel",15,3,4
5,"Tactical",1,"Lost Stealth",99,2,5
6,"Beneficial",1,"Lost Spellforge",0,3,6
7,"Beneficial",1,"Lost Steelsting",0,3,7
8,"Tactical",1,"Lost Swift",25,4,8
9,"Beneficial",1,"Lost Protect",0,2,9
10,"Beneficial",1,"Lost Shell",0,2,10
11,"Beneficial",1,"Lost Reflect",99,8,11
12,"Beneficial",1,"Lost Stoneskin",99,4,12
13,"Beneficial",1,"Lost Bravery",99,8,13
14,"Offensive",1,"Lost Focus",32,6,14
15,"Offensive",1,"Lost Font of Magic",10,25,15
16,"Tactical",1,"Lost Font of Skill",5,20,16
17,"Offensive",1,"Lost Font of Power",10,25,17
18,"Offensive",1,"Lost Slash",10,10,18
19,"Offensive",1,"Lost Death",10,6,19
20,"Offensive",1,"Banner of Noble Ends",10,10,20
21,"Offensive",1,"Banner of Honored Sacrifice",10,10,21
22,"Defensive",1,"Banner of Tireless Conviction",10,6,22
23,"Defensive",1,"Banner of Firm Resolve",10,6,23
24,"Restorative",1,"Banner of Solemn Clarity",10,6,24
25,"Offensive",1,"Banner of Honed Acuity",10,6,25
26,"Restorative",1,"Lost Cure",0,2,26
27,"Restorative",1,"Lost Cure II",50,5,27
28,"Restorative",1,"Lost Cure III",99,3,28
29,"Restorative",1,"Lost Cure IV",25,5,29
30,"Restorative",1,"Lost Arise",5,6,30
31,"Defensive",1,"Lost Incense",0,2,31
32,"Offensive",1,"Lost Fair Trade",99,2,32
33,"Tactical",1,"Mimic",1,12,33
34,"Item-related",2,"Dynamis Dice",1,11,34
35,"Item-related",2,"Resistance Phoenix",1,4,35
36,"Item-related",2,"Resistance Reraiser",1,8,36
37,"Item-related",2,"Resistance Potion Kit",1,3,37
38,"Item-related",2,"Resistance Ether Kit",1,3,38
39,"Item-related",2,"Resistance Medikit",1,3,39
40,"Item-related",2,"Resistance Potion",1,1,40
41,"Item-related",2,"Essence of the Aetherweaver",1,4,41
42,"Item-related",2,"Essence of the Martialist",1,4,42
43,"Item-related",2,"Essence of the Savior",1,4,43
44,"Item-related",2,"Essence of the Veteran",1,4,44
45,"Item-related",2,"Essence of the Platebearer",1,4,45
46,"Item-related",2,"Essence of the Guardian",1,6,46
47,"Item-related",2,"Essence of the Ordained",1,6,47
48,"Item-related",2,"Essence of the Skirmisher",1,6,48
49,"Item-related",2,"Essence of the Watcher",1,6,49
50,"Item-related",2,"Essence of the Profane",1,6,50
51,"Item-related",2,"Essence of the Irregular",1,6,51
52,"Item-related",2,"Essence of the Breathtaker",1,6,52
53,"Item-related",2,"Essence of the Bloodsucker",1,6,53
54,"Item-related",2,"Essence of the Beast",1,6,54
55,"Item-related",2,"Essence of the Templar",1,6,55
56,"Item-related",2,"Deep Essence of the Aetherweaver",1,6,56
57,"Item-related",2,"Deep Essence of the Martialist",1,6,57
58,"Item-related",2,"Deep Essence of the Savior",1,6,58
59,"Item-related",2,"Deep Essence of the Veteran",1,6,59
60,"Item-related",2,"Deep Essence of the Platebearer",1,6,60
61,"Item-related",2,"Deep Essence of the Guardian ",1,10,61
62,"Item-related",2,"Deep Essence of the Ordained",1,10,62
63,"Item-related",2,"Deep Essence of the Skirmisher",1,10,63
64,"Item-related",2,"Deep Essence of the Watcher",1,10,64
65,"Item-related",2,"Deep Essence of the Profane",1,10,65
66,"Item-related",2,"Deep Essence of the Irregular",1,10,66
67,"Item-related",2,"Deep Essence of the Breathtaker",1,10,67
68,"Item-related",2,"Deep Essence of the Bloodsucker",1,10,68
69,"Item-related",2,"Deep Essence of the Beast",1,10,69
70,"Item-related",2,"Deep Essence of the Templar",1,10,70
71,"Tactical",1,"Lost Perception",99,4,71
72,"Restorative",1,"Lost Sacrifice",1,19,72
73,"Item-related",2,"Pure Essence of the Gambler",1,12,73
74,"Item-related",2,"Pure Essence of the Elder",1,12,74
75,"Item-related",2,"Pure Essence of the Duelist",1,12,75
76,"Item-related",2,"Pure Essence of the Fiendhunter",1,12,76
77,"Item-related",2,"Pure Essence of the Indomitable",1,12,77
78,"Item-related",2,"Pure Essence of the Divine",1,12,78
79,"Offensive",1,"Lost Flare Star",0,20,79
80,"Detrimental",1,"Lost Rend Armor",15,8,80
81,"Detrimental",1,"Lost Seraph Strike",0,8,81
82,"Beneficial",1,"Lost Aethershield",15,8,82
83,"Beneficial",1,"Lost Dervish",15,8,83
84,"Item-related",2,"Lodestone",1,1,84
85,"Beneficial",1,"Lost Stoneskin II",99,5,85
86,"Detrimental",1,"Lost Burst",99,5,86
87,"Detrimental",1,"Lost Rampage",99,5,87
88,"Item-related",2,"Light Curtain",1,1,88
89,"Restorative",1,"Lost Reraise",2,12,89
90,"Offensive",1,"Lost Chainspell",20,20,90
91,"Offensive",1,"Lost Assassination",99,8,91
92,"Beneficial",1,"Lost Protect II",0,3,92
93,"Beneficial",1,"Lost Shell II",0,3,93
94,"Beneficial",1,"Lost Bubble",99,5,94
95,"Tactical",1,"Lost Impetus",50,10,95
96,"Defensive",1,"Lost Excellence",5,25,96
97,"Restorative",1,"Lost Full Cure",10,15,97
98,"Defensive",1,"Lost Blood Rage",10,25,98
99,"Item-related",2,"Resistance Elixir",1,4,99
