key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#,MapCondition,PriorityCategoryUI,PriorityUI,MapIndex,Hierarchy,MapMarkerRange,Id,SizeFactor,Offset{X},Offset{Y},PlaceName{Region},PlaceName,PlaceName{Sub},DiscoveryIndex,DiscoveryFlag,TerritoryType,DiscoveryArrayByte,IsEvent,
int32,MapCondition,byte,byte,sbyte,byte,uint16,str,uint16,int16,int16,PlaceName,PlaceName,PlaceName,int16,uint32,TerritoryType,bit&01,bit&02,bit&04
0,"",0,0,0,0,0,"",100,0,0,"","","",-1,0,,True,False,False
1,"",0,0,0,1,0,"default/00",100,0,0,"???","Eorzea","",-1,0,"",True,False,False
2,"",2,2,0,1,3,"f1t1/00",200,0,0,"The Black Shroud","New Gridania","",-1,0,"f1t1",True,False,False
3,"",2,3,0,1,4,"f1t2/00",200,0,0,"The Black Shroud","Old Gridania","",-1,0,"f1t2",True,False,False
4,"",2,5,0,1,5,"f1f1/00",100,0,0,"The Black Shroud","Central Shroud","",0,16382,"f1f1",True,False,False
5,"",2,6,0,1,6,"f1f2/00",100,0,0,"The Black Shroud","East Shroud","",0,1048574,"f1f2",False,False,False
6,"",2,7,0,1,7,"f1f3/00",100,0,0,"The Black Shroud","South Shroud","",1,131070,"f1f3",False,False,False
7,"",2,8,0,1,8,"f1f4/00",100,0,0,"The Black Shroud","North Shroud","",2,131070,"f1f4",False,False,False
8,"",2,9,0,1,10,"f1d1/00",300,0,0,"The Black Shroud","The Tam-Tara Deepcroft","",1,4094,"f1d1_re",True,False,False
9,"",2,10,0,1,21,"f1r1/00",200,0,0,"The Black Shroud","The Thousand Maws of Toto-Rak","",2,16382,"f1r1_re",True,False,False
10,"",0,0,0,1,0,"default/00",100,0,0,"???","Mordion Gaol","",-1,0,"z1ea",True,True,False
11,"",1,2,0,1,71,"s1t1/01",200,0,0,"La Noscea","Limsa Lominsa Upper Decks","",-1,0,"s1t1",True,False,False
