key,0,1,2
#,,Quest,
int32,uint16,Quest,byte
0,0,,255
1,67,,255
2,68,,255
3,71,,255
4,0,"To Storm-tossed Seas",4
5,0,"Where Eagles Nest",2
6,0,"A New Playing Field",2
7,0,"A Trip to the Moon",2
8,0,"Unto the Heavens",3
9,0,"Hope Upon a Flower",5
10,0,"The Syrcus Trench",4
11,0,"The Next Ship to Sail",255
12,78,,255
13,80,,255
14,83,,255
15,82,,255
16,81,,255
17,84,,255
18,85,,255
19,79,,255
20,87,,255
21,88,,255
22,89,,255
23,90,,255
24,91,,255
25,0,"A New World to Explore",6
26,0,"Solution Nine",2
27,0,"Through the Gate of Gold",4
28,0,"All Aboard",4
29,94,,255
30,92,,255
31,96,,255
32,97,,255
33,93,,255
34,95,,255
35,98,,255
36,99,,255
37,100,,255
38,101,,255
39,0,"Unfamiliar Territory",255
