key,0,1,2,3,4,5,6,7,8,9,10
#,,,Item[0],Item[1],Item[2],Item[3],Item[4],Item[5],Item[6],Item[7],Item[8]
int32,uint32,uint32,Item,Item,Item,Item,Item,Item,Item,Item,Item
0,0,0,"Gil","","","","","","","",""
41787,0,0,"","","","","","","","",""
41788,0,0,"","","","","","","","",""
41789,0,0,"","","","","","","","",""
44960,0,0,"","","","","","","","",""
44961,0,0,"","","","","","","","",""
44962,0,0,"","","","","","","","",""
44963,0,0,"","","","","","","","",""
44964,0,0,"","","","","","","","",""
44965,0,0,"","","","","","","","",""
44966,0,0,"","","","","","","","",""
44967,0,0,"","","","","","","","",""
44968,0,0,"","","","","","","","",""
44969,0,0,"","","","","","","","",""
45094,0,0,"Dream Hat","Dream Tunic","","","Dream Boots","","","",""
45095,0,0,"Reindeer Antlers","Reindeer Suit","","","","","","",""
45096,0,0,"","","","","","","","",""
45097,0,0,"","","","","","","","",""
45098,0,0,"","","","","","","","",""
45099,0,0,"","","","","","","","",""
45100,0,0,"","","","","","","","",""
45101,0,0,"","","","","","","","",""
45102,0,0,"","Red Summer Top","","Red Summer Trunks","","","","",""
45103,0,0,"","Green Summer Top","","Green Summer Trunks","","","","",""
45104,0,0,"","Blue Summer Top","","Blue Summer Trunks","","","","",""
45105,0,0,"","Solar Summer Top","","Solar Summer Trunks","","","","",""
45106,0,0,"","Lunar Summer Top","","Lunar Summer Trunks","","","","",""
45107,0,0,"","Red Summer Halter","","Red Summer Tanga","","","","",""
45108,0,0,"","Green Summer Halter","","Green Summer Tanga","","","","",""
45109,0,0,"","Blue Summer Halter","","Blue Summer Tanga","","","","",""
45110,0,0,"","Solar Summer Halter","","Solar Summer Tanga","","","","",""
45111,0,0,"","Lunar Summer Halter","","Lunar Summer Tanga","","","","",""
45112,0,0,"Company Hat","Company Tabard","","","","","","",""
45113,0,0,"","Summer Evening Top","","Summer Evening Trunks","","","","",""
45114,0,0,"","Striped Summer Top","","Striped Summer Trunks","","","","",""
45115,0,0,"","Summer Morning Halter","","Summer Morning Tanga","","","","",""
45116,0,0,"","Striped Summer Halter","","Striped Summer Tanga","","","","",""
45117,0,0,"","Black Summer Top","","Black Summer Trunks","","","","",""
