key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,ModelChara,MoveControl,FlyingCondition,,,,IsFlying,,MountCustomize,RideBGM,,,,ExitMoveDist,ExitMoveSpeed,,IsEmote,EquipHead,EquipBody,EquipLeg,EquipFoot,Order,Icon,UIPriority,RadiusRate,BaseMotionSpeed_Run,BaseMotionSpeed_Walk,,UnderwaterAnimationSpeed,ExtraSeats,MountAction,IsAirborne,ExHotbarEnableConfig,UseEP,,IsImmobile,,,,HideHeadgear,TiltGround,TiltAir/Swim,TiltParam3,,TiltParam4,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,ModelChara,MoveControl,MountFlyingCondition,byte,byte,byte,byte,byte,MountCustomize,BGM,str,str,str,byte,byte,bit&01,bit&02,int32,int32,int32,int32,int16,Image,uint16,byte,bit&04,byte,byte,byte,byte,MountAction,bit&08,bit&10,bit&20,bit&40,bit&80,byte,byte,bit&01,bit&02,TiltParam,TiltParam,TiltParam,bit&04,TiltParam,bit&08
0,"",0,"",0,0,1,0,0,"ModelChara#0","MoveControl#0","",45,15,15,0,0,"MountCustomize#0","","","","",10,10,False,True,0,0,0,0,-1,,0,100,False,0,0,100,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#0","TiltParam#0","TiltParam#0",False,"TiltParam#0",False
1,"company chocobo",0,"company chocobos",0,0,1,0,0,"ModelChara#1","MoveControl#2","The Ultimate Weapon",45,15,15,1,0,"MountCustomize#1","music/ffxiv/BGM_Ride_Chocobo.scd","SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,False,True,65536,65536,65537,0,0,"ui/icon/004000/004001.tex",100,100,True,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#10","TiltParam#21","TiltParam#41",False,"TiltParam#40",False
2,"",0,"",0,0,1,0,0,"ModelChara#1","MoveControl#3","",45,15,15,0,0,"MountCustomize#1","music/ffxiv/BGM_Ride_RChocobo.scd","","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65537,65537,65537,65537,-1,,0,100,False,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#10","TiltParam#21","TiltParam#41",False,"TiltParam#40",False
3,"",0,"",0,0,1,0,0,"ModelChara#1","MoveControl#3","",45,15,15,0,0,"MountCustomize#1","music/ffxiv/BGM_Ride_RChocobo.scd","","","SE_Bt_Etc_ChocoboBye",2,9,False,True,65552,65552,65537,0,-1,,0,100,False,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#10","TiltParam#21","TiltParam#41",False,"TiltParam#40",False
4,"goobbue",0,"goobbues",0,0,1,0,0,"ModelChara#200","MoveControl#4","",45,15,15,1,2,"MountCustomize#0","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,False,True,0,0,0,0,1,"ui/icon/004000/004003.tex",1000,100,True,0,0,60,0,"MountAction#1",False,True,False,False,False,0,0,False,False,"TiltParam#8","TiltParam#19","TiltParam#39",False,"TiltParam#40",False
5,"legacy chocobo",0,"legacy chocobos",0,0,1,0,0,"ModelChara#1","MoveControl#2","",45,15,15,1,0,"MountCustomize#1","music/ffxiv/BGM_Ride_Chocobo.scd","SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,False,True,65545,65545,65545,65545,2,"ui/icon/004000/004002.tex",101,100,True,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#10","TiltParam#21","TiltParam#41",False,"TiltParam#40",False
6,"magitek armor",0,"suits of magitek armor",0,0,1,0,0,"ModelChara#2","MoveControl#2","",45,0,15,1,2,"MountCustomize#0","music/ffxiv/BGM_Ride_MagitekArmor.scd","SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,131073,0,0,3,"ui/icon/004000/004006.tex",10000,77,True,0,0,70,0,"MountAction#2",False,True,False,False,False,0,0,False,False,"TiltParam#30","TiltParam#23","TiltParam#41",False,"TiltParam#40",False
7,"",0,"",0,0,1,0,0,"ModelChara#311","MoveControl#5","",45,15,15,0,0,"MountCustomize#2","music/ffxiv/BGM_Ride_CommonMonster.scd","","","",0,0,False,True,0,0,0,0,-1,,0,100,False,0,0,100,0,"MountAction#0",False,False,False,False,False,0,0,False,False,"TiltParam#9","TiltParam#19","TiltParam#39",False,"TiltParam#40",False
