key,0,1,2,3,4,5,6,7,8,9
#,NotoriousMonsters[0],NotoriousMonsters[1],NotoriousMonsters[2],NotoriousMonsters[3],NotoriousMonsters[4],NotoriousMonsters[5],NotoriousMonsters[6],NotoriousMonsters[7],NotoriousMonsters[8],NotoriousMonsters[9]
int32,NotoriousMonster,NotoriousMonster,NotoriousMonster,NotoriousMonster,NotoriousMonster,NotoriousMonster,NotoriousMonster,NotoriousMonster,NotoriousMonster,NotoriousMonster
0,"","","","","","","","","",""
1,"Skogs Fru","Vogaal Ja","Croque-mitaine","","","","","","",""
2,"Barbastelle","Unktehi","Croakadile","","","","","","",""
3,"Bloody Mary","Hellsclaw","the Garlok","","","","","","",""
4,"Dark Helmet","Nahn","Bonnacon","","","","","","",""
5,"Myradrosh","Marberry","Nandi","","","","","","",""
6,"Sewer Syrup","Alectryon","Zona Seeker","","","","","","",""
7,"Ovjang","Sabotender Bailarina","Brontes","","","","","","",""
8,"Gatling","Maahes","Lampalagua","","","","","","",""
9,"Albin the Ashen","Zanig'oh","Nunyunuwi","","","","","","",""
10,"Flame Sergeant Dalvag","Dalvag's Final Flame","Minhocao","","","","","","",""
11,"White Joker","Forneus","Laideronnette","","","","","","",""
12,"Stinging Sophie","Melt","Wulgaru","","","","","","",""
13,"Monarch Ogrefly","Ghede Ti Malice","mindflayer","","","","","","",""
14,"Phecda","Girtab","Thousand-cast Theda","","","","","","",""
15,"Naul","Marraco","Safat","","","","","","",""
16,"Leech King","Kurrea","Agrippa the Mighty","","","","","","",""
17,"Vuokho","Cornu","Chernobog","","","","","","",""
18,"Alteci","Kreutzet","Mirka","Lyuba","kaiser behemoth","","","","",""
19,"Gnath cometdrone","Thextera","Pylraster","Lord of the Wyverns","Senmurv","","","","",""
20,"Pterygotus","false gigantopithecus","Slipkinx Steeljoints","Stolas","the Pale Rider","","","","",""
21,"Scitalis","the Scarecrow","Bune","Agathos","Gandarewa","","","","",""
22,"Squonk","Sanu Vali of Dancing Wings","Enkelados","Sisiutl","Bird of Paradise","","","","",""
23,"Lycidas","Omni","Campacti","stench blossom","Leucrotta","","","","",""
24,"Shadow-dweller Yamini","Ouzelum","Orcus","Erle","Udumbara","","","","",""
25,"Gauki Strongblade","Guhuo Niao","Funa Yurei","Oni Yumemi","Okina","","","","",""
26,"Deidar","Gyorai Quickstrike","Gajasura","Angada","Gamma","","","","",""
27,"Gwas-y-neidr","Buccaboo","Vochstein","Aqrabuamelu","Bone Crawler","","","","",""
28,"Manes","Kiwa","Mahisha","Luminare","Salt and Light","","","","",""
29,"Kurma","Aswang","Girimekhala","Sum","Orghana","","","","",""
30,"La Velue","Itzpapalotl","Nuckelavee","Nariphon","Tyger","forgiven gossip","forgiven gossip","forgiven gossip","forgiven gossip","forgiven rebellion"
31,"Coquecigrue","Indomitable","Li'l Murderer","Huracan","forgiven pedantry","forgiven gossip","forgiven gossip","forgiven gossip","forgiven gossip","forgiven rebellion"
32,"Worm of the Well","Juggler Hecatomb","Maliktender","Sugaar","Tarchia","forgiven gossip","forgiven gossip","forgiven gossip","forgiven gossip","forgiven rebellion"
33,"Domovoi","Vulpangue","the mudman","O Poorest Pauldia","Aglaope","forgiven gossip","forgiven gossip","forgiven gossip","forgiven gossip","forgiven rebellion"
34,"Mindmaker","Pachamama","Supay","Grassman","Ixtab","forgiven gossip","forgiven gossip","forgiven gossip","forgiven gossip","forgiven rebellion"
35,"Gilshs Aath Swiftclaw","Deacon","Rusalka","Baal","Gunitt","forgiven gossip","forgiven gossip","forgiven gossip","forgiven gossip","forgiven rebellion"
36,"green Archon","ü-u-ü-u","hulder","Storsie","Burfurlur the Canny","Ker shroud","Ker shroud","Ker shroud","Ker shroud","Ker"
37,"Vajrakumara","Iravati","Yilan","Sugriva","Sphatika","Ker shroud","Ker shroud","Ker shroud","Ker shroud","Ker"
38,"warmonger","Emperor's rose","Minerva","Aegeiros","Armstrong","Ker shroud","Ker shroud","Ker shroud","Ker shroud","Ker"
39,"daphnia magna","genesis rock","mousse princess","lunatender queen","Ruminator","Ker shroud","Ker shroud","Ker shroud","Ker shroud","Ker"
40,"level cheater","Oskh Rhei","Arch-Eta","Fan Ail","Narrow-rift","Ker shroud","Ker shroud","Ker shroud","Ker shroud","Ker"
41,"Yumcax","Shockmaw","petalodus","Gurangatch","Ophioneus","Ker shroud","Ker shroud","Ker shroud","Ker shroud","Ker"
