key,0,1,2,3,4,5,6,7
#,,Image,Target,UnlockQuest,AcceptMessage,DenyMessage,,
int32,str,Image,Row,Quest,DefaultTalk,DefaultTalk,byte,byte
3538944,"",,,,,,0,0
3538945,"",,,,,,0,0
3538946,"",,"Purchase Items (Lumber, Metal, Stone, Bone, Leather)",,,,1,0
3538947,"",,"Purchase Items (Cloth, Reagents)",,,,1,0
3538948,"",,"Purchase (Cooking Ingredients)",,,,1,0
3538949,"",,"Purchase Items (Gardening, Dyes)",,,,1,0
3538950,"",,"Purchase Items (Catalysts)",,,,1,0
3538951,"",,"Purchase Items",,,,1,0
3538952,"",,"Purchase Furnishings (Interior)",,,,1,0
3538953,"",,"Purchase Furnishings (Chairs, Beds)",,,,1,0
3538954,"",,"Purchase Furnishings (Tables, Food)",,,,1,0
3538955,"",,"Purchase Furnishings (Shelves, Rugs, Lighting)",,,,1,0
3538956,"",,"Purchase Furnishings (Other)",,,,1,0
3538957,"",,"Purchase Weapons",,,,1,0
3538958,"",,"Purchase Tools",,,,1,0
3538959,"",,"Purchase Battlecraft Gear (DoW)",,,,1,0
3538960,"",,"Purchase Battlecraft Gear (DoM)",,,,1,0
3538961,"",,"Purchase Fieldcraft/Tradecraft Gear",,,,1,0
3538962,"",,"Purchase Battlecraft Accessories",,,,1,0
3538963,"",,"Purchase Items",,,,1,0
3538964,"",,"Mahjong Rules",,,,1,0
3538965,"",,"",,,,2,0
3538966,"",,"Purchase Items",,,,5,0
3538967,"",,"Purchase Battlecraft Accessories",,,,5,0
3538968,"",,"Purchase Fieldcraft/Tradecraft Accessories",,,,5,0
3538969,"",,"Purchase Gear (Lv. 62)",,,,5,0
3538970,"",,"Purchase Gear (Lv. 64)",,,,5,0
3538971,"",,"Purchase Weapons (Lv. 62)",,,,5,0
3538972,"",,"Purchase Weapons (Lv. 64)",,,,5,0
3538973,"",,"Purchase Weapons (Lv. 66)",,,,5,0
3538974,"",,"Purchase Weapons (Lv. 68)",,,,5,0
3538975,"",,"Purchase Weapons (Lv. 70)",,,,5,0
3538976,"",,"Purchase Gear (Lv. 66)",,,,5,0
3538977,"",,"Purchase Gear (Lv. 68)",,,,5,0
3538978,"",,"Purchase Gear (Lv. 70)",,,,5,0
3538979,"",,"Purchase Gear (Lv. 62)",,,,5,0
3538980,"",,"Purchase Gear (Lv. 64)",,,,5,0
3538981,"",,"Purchase Gear (Lv. 66)",,,,5,0
3538982,"",,"Purchase Gear (Lv. 68)",,,,5,0
3538983,"",,"Purchase Gear (Lv. 70)",,,,5,0
3538984,"",,"Purchase Furnishings (Partitions, Wall Decorations)",,,,1,0
3538985,"",,"Purchase Weapons",,,,6,0
3538986,"",,"Purchase Tools",,,,6,0
3538987,"",,"Purchase Battlecraft Gear (DoW)",,,,6,0
3538988,"",,"Purchase Battlecraft Gear (DoM)",,,,6,0
3538989,"",,"Purchase Fieldcraft/Tradecraft Gear",,,,6,0
3538990,"",,"Purchase Battlecraft Accessories",,,,6,0
3538991,"",,"Purchase Items",,,,6,0
3538992,"",,"Purchase Items",,,,6,0
3538993,"",,"Purchase Items",,,,4,0
