key,0,1,2,3,4
#,Action{Type},Action,,,
int32,byte,Row,bit&01,bit&02,int32
0.0,0,,True,True,0
1.0,2,"Royal Authority Combo",True,True,0
1.1,1,"Fast Blade",False,False,0
1.2,1,"Riot Blade",False,False,0
1.3,1,"Royal Authority",False,False,0
1.4,1,"Confiteor",True,True,0
1.5,1,"Shield Bash",True,True,0
1.6,1,"Intervene",True,True,0
1.7,1,"Guardian",True,True,0
1.8,1,"Holy Sheltron",True,True,0
1.9,1,"Phalanx",True,True,0
1.10,1,"Atonement",False,False,0
1.11,1,"Blade of Faith",False,False,0
1.12,1,"Blade of Truth",False,False,0
1.13,1,"Blade of Valor",False,False,0
1.14,1,"Standard-issue Elixir",True,True,0
1.15,1,"Recuperate",True,True,0
1.16,1,"Purify",True,True,0
1.17,1,"Guard",True,True,0
1.18,1,"Sprint",True,True,0
1.19,0,,True,True,0
1.20,0,,True,True,0
1.21,0,,True,True,0
1.22,0,,True,True,0
2.0,2,"Storm's Path Combo",True,True,0
2.1,1,"Heavy Swing",False,False,0
2.2,1,"Maim",False,False,0
2.3,1,"Storm's Path",False,False,0
2.4,1,"Primal Rend",True,True,0
2.5,1,"Onslaught",True,True,0
2.6,1,"Orogeny",True,True,0
2.7,1,"Blota",True,True,0
2.8,1,"Bloodwhetting",True,True,0
2.9,1,"Primal Scream",True,True,0
2.10,1,"Fell Cleave",False,False,0
2.11,1,"Chaotic Cyclone",False,False,0
2.12,1,"Standard-issue Elixir",True,True,0
2.13,1,"Recuperate",True,True,0
2.14,1,"Purify",True,True,0
2.15,1,"Guard",True,True,0
2.16,1,"Sprint",True,True,0
2.17,0,,True,True,0
2.18,0,,True,True,0
2.19,0,,True,True,0
2.20,0,,True,True,0
2.21,0,,True,True,0
3.0,2,"Souleater Combo",True,True,0
3.1,1,"Hard Slash",False,False,0
3.2,1,"Syphon Strike",False,False,0
3.3,1,"Souleater",False,False,0
3.4,1,"Quietus",True,True,0
3.5,1,"Shadowbringer",True,True,0
3.6,1,"Plunge",True,True,0
3.7,1,"the Blackest Night",True,True,0
3.8,1,"Salted Earth",True,True,0
3.9,1,"Eventide",True,True,0
3.10,1,"Bloodspiller",False,False,0
3.11,1,"Salt and Darkness",False,False,0
3.12,1,"Standard-issue Elixir",True,True,0
3.13,1,"Recuperate",True,True,0
3.14,1,"Purify",True,True,0
3.15,1,"Guard",True,True,0
3.16,1,"Sprint",True,True,0
3.17,0,,True,True,0
3.18,0,,True,True,0
3.19,0,,True,True,0
3.20,0,,True,True,0
4.0,2,"Phantom Rush Combo",True,True,0
4.1,1,"Bootshine",False,False,0
4.2,1,"True Strike",False,False,0
4.3,1,"Snap Punch",False,False,0
4.4,1,"Dragon Kick",False,False,0
4.5,1,"Twin Snakes",False,False,0
4.6,1,"Demolish",False,False,0
4.7,1,"Phantom Rush",False,False,0
4.8,1,"Six-sided Star",True,True,0
4.9,1,"Enlightenment",True,True,0
4.10,1,"Rising Phoenix",True,True,0
4.11,1,"Riddle of Earth",True,True,0
4.12,1,"Thunderclap",True,True,0
4.13,1,"Meteodrive",True,True,0
4.14,1,"Earth's Reply",False,False,0
4.15,1,"Standard-issue Elixir",True,True,0
4.16,1,"Recuperate",True,True,0
4.17,1,"Purify",True,True,0
4.18,1,"Guard",True,True,0
4.19,1,"Sprint",True,True,0
5.0,2,"Wheeling Thrust Combo",True,True,0
5.1,1,"Raiden Thrust",False,False,0
5.2,1,"Fang and Claw",False,False,0
5.3,1,"Wheeling Thrust",False,False,0
5.4,1,"Chaotic Spring",True,True,0
5.5,1,"Geirskogul",True,True,0
5.6,1,"High Jump",True,True,0
5.7,1,"Elusive Jump",True,True,0
5.8,1,"Horrid Roar",True,True,0
5.9,1,"Sky High",True,True,0
5.10,1,"Heavens' Thrust",False,False,0
5.11,1,"Nastrond",False,False,0
5.12,1,"Wyrmwind Thrust",False,False,0
5.13,1,"Sky Shatter",False,False,0
5.14,1,"Standard-issue Elixir",True,True,0
5.15,1,"Recuperate",True,True,0
5.16,1,"Purify",True,True,0
5.17,1,"Guard",True,True,0
5.18,1,"Sprint",True,True,0
5.19,0,,False,False,0
5.20,0,,True,True,0
5.21,0,,True,True,0
5.22,0,,True,True,0
6.0,2,"Aeolian Edge Combo",True,True,0
6.1,1,"Spinning Edge",False,False,0
6.2,1,"Gust Slash",False,False,0
6.3,1,"Aeolian Edge",False,False,0
6.4,1,"Fuma Shuriken",True,True,0
6.5,1,"Mug",True,True,0
6.6,1,"Three Mudra",True,True,0
6.7,1,"Bunshin",True,True,0
6.8,1,"Shukuchi",True,True,0
