key,0,1
#,Quest,Redo
int32,Quest,QuestRedoChapter
0,,"QuestRedoChapter#0"
1,"On to Summerford","QuestRedoChapter#1"
2,"Dressed to Call","QuestRedoChapter#1"
3,"Lurkers in the Grotto","QuestRedoChapter#1"
4,"Washed Up","QuestRedoChapter#1"
5,"Double Dealing","QuestRedoChapter#1"
6,"Loam Maintenance","QuestRedoChapter#1"
7,"Plowshares to Swords","QuestRedoChapter#1"
8,"Just Deserts","QuestRedoChapter#1"
9,"Sky-high","QuestRedoChapter#1"
10,"Thanks a Million","QuestRedoChapter#1"
11,"Relighting the Torch","QuestRedoChapter#1"
12,"On to the Drydocks","QuestRedoChapter#1"
13,"Without a Doubt","QuestRedoChapter#1"
14,"Righting the Shipwright","QuestRedoChapter#1"
15,"Do Angry Pirates Dream","QuestRedoChapter#1"
16,"Victory in Peril","QuestRedoChapter#1"
17,"Men of the Blue Tattoos","QuestRedoChapter#1"
18,"Feint and Strike","QuestRedoChapter#1"
19,"High Society","QuestRedoChapter#1"
20,"A Mizzenmast Repast","QuestRedoChapter#1"
21,"The Lominsan Envoy","QuestRedoChapter#1"
22,"To the Bannock","QuestRedoChapter#1"
23,"Passing Muster","QuestRedoChapter#1"
24,"Chasing Shadows","QuestRedoChapter#1"
25,"Eggs over Queasy","QuestRedoChapter#1"
26,"Surveying the Damage","QuestRedoChapter#1"
27,"A Soldier's Breakfast","QuestRedoChapter#1"
28,"Spirithold Broken","QuestRedoChapter#1"
29,"On to Bentbranch","QuestRedoChapter#1"
30,"You Shall Not Trespass","QuestRedoChapter#1"
31,"Don't Look Down","QuestRedoChapter#1"
32,"In the Grim Darkness of the Forest","QuestRedoChapter#1"
33,"Threat Level Elevated","QuestRedoChapter#1"
34,"Migrant Marauders","QuestRedoChapter#1"
35,"A Hearer Is Often Late","QuestRedoChapter#1"
36,"Salvaging the Scene","QuestRedoChapter#1"
37,"Leia's Legacy","QuestRedoChapter#1"
38,"Dread Is in the Air","QuestRedoChapter#1"
39,"To Guard a Guardian","QuestRedoChapter#1"
40,"Festive Endeavors","QuestRedoChapter#1"
41,"Renewing the Covenant","QuestRedoChapter#1"
42,"The Gridanian Envoy","QuestRedoChapter#1"
43,"We Must Rebuild","QuestRedoChapter#1"
44,"Nothing to See Here","QuestRedoChapter#1"
45,"Underneath the Sultantree","QuestRedoChapter#1"
46,"Step Nine","QuestRedoChapter#1"
47,"Prudence at This Junction","QuestRedoChapter#1"
48,"Out of House and Home","QuestRedoChapter#1"
49,"Way Down in the Hole","QuestRedoChapter#1"
50,"Takin' What They're Givin'","QuestRedoChapter#1"
51,"Supply and Demands","QuestRedoChapter#1"
52,"Give It to Me Raw","QuestRedoChapter#1"
53,"The Perfect Swarm","QuestRedoChapter#1"
54,"Last Letter to Lost Hope","QuestRedoChapter#1"
55,"Heir Today, Gone Tomorrow","QuestRedoChapter#1"
56,"Passing the Blade","QuestRedoChapter#1"
57,"Following Footfalls","QuestRedoChapter#1"
58,"Storms on the Horizon","QuestRedoChapter#1"
59,"Oh Captain, My Captain","QuestRedoChapter#1"
60,"Secrets and Lies","QuestRedoChapter#1"
61,"Duty, Honor, Country","QuestRedoChapter#1"
62,"A Matter of Tradition","QuestRedoChapter#1"
63,"A Royal Reception","QuestRedoChapter#1"
64,"The Ul'dahn Envoy","QuestRedoChapter#1"
65,"Call of the Sea","QuestRedoChapter#1"
66,"Call of the Sea","QuestRedoChapter#1"
67,"It's Probably Pirates","QuestRedoChapter#2"
68,"Call of the Forest","QuestRedoChapter#2"
69,"Fire in the Gloom","QuestRedoChapter#2"
70,"Call of the Desert","QuestRedoChapter#2"
71,"Into a Copper Hell","QuestRedoChapter#2"
72,"The Scions of the Seventh Dawn","QuestRedoChapter#2"
73,"A Wild Rose by Any Other Name","QuestRedoChapter#2"
74,"Unsolved Mystery","QuestRedoChapter#2"
75,"What Poor People Think","QuestRedoChapter#2"
76,"A Proper Burial","QuestRedoChapter#2"
77,"For the Children","QuestRedoChapter#2"
78,"Amalj'aa Wrong Places","QuestRedoChapter#2"
79,"Dressed to Deceive","QuestRedoChapter#2"
80,"Life, Materia and Everything","QuestRedoChapter#2"
81,"Lord of the Inferno","QuestRedoChapter#2"
82,"A Hero in the Making","QuestRedoChapter#2"
83,"The Company You Keep (Twin Adder)","QuestRedoChapter#2"
84,"The Company You Keep (Maelstrom)","QuestRedoChapter#2"
85,"The Company You Keep (Immortal Flames)","QuestRedoChapter#2"
86,"Wood's Will Be Done","QuestRedoChapter#2"
87,"Till Sea Swallows All","QuestRedoChapter#2"
88,"For Coin and Country","QuestRedoChapter#2"
89,"Sylph-management","QuestRedoChapter#2"
90,"We Come in Peace","QuestRedoChapter#2"
91,"Sylphic Studies","QuestRedoChapter#2"
92,"First Impressions","QuestRedoChapter#2"
93,"First Contact","QuestRedoChapter#2"
94,"Dance Dance Diplomacy","QuestRedoChapter#2"
95,"Forest Friend","QuestRedoChapter#2"
96,"Presence of the Enemy","QuestRedoChapter#2"
97,"Brotherly Love","QuestRedoChapter#2"
98,"Spirited Away","QuestRedoChapter#2"
99,"Druthers House Rules","QuestRedoChapter#2"
100,"Never Forget","QuestRedoChapter#2"
101,"Microbrewing","QuestRedoChapter#2"
102,"Like Fine Wine","QuestRedoChapter#2"
103,"Sylphish Concerns","QuestRedoChapter#2"
104,"Nouveau Riche","QuestRedoChapter#2"
105,"Into the Beast's Maw","QuestRedoChapter#2"
106,"A Simple Gift","QuestRedoChapter#2"
107,"Believe in Your Sylph","QuestRedoChapter#2"
108,"Back from the Wood","QuestRedoChapter#2"
109,"Shadow of Darkness","QuestRedoChapter#3"
110,"Highbridge Times","QuestRedoChapter#3"
111,"Where There Is Smoke","QuestRedoChapter#3"
112,"On to Little Ala Mhigo","QuestRedoChapter#3"
113,"Tea for Three","QuestRedoChapter#3"
114,"Foot in the Door","QuestRedoChapter#3"
115,"Meeting with the Resistance","QuestRedoChapter#3"
116,"Killing Him Softly","QuestRedoChapter#3"
117,"Helping Horn","QuestRedoChapter#3"
118,"He Ain't Heavy","QuestRedoChapter#3"
119,"Come Highly Recommended","QuestRedoChapter#3"
120,"The Bear and the Young'uns' Cares","QuestRedoChapter#3"
121,"Wilred Wants You","QuestRedoChapter#3"
122,"Big Trouble in Little Ala Mhigo","QuestRedoChapter#3"
123,"Back to Square One","QuestRedoChapter#3"
124,"Terror at Fallgourd","QuestRedoChapter#3"
125,"Ziz Is So Ridiculous","QuestRedoChapter#3"
126,"Rock of Rancor","QuestRedoChapter#3"
127,"Seeing Eye to Winged Eye","QuestRedoChapter#3"
128,"Power of Deduction","QuestRedoChapter#3"
129,"Secret of the White Lily","QuestRedoChapter#3"
130,"Skeletons in Her Closet","QuestRedoChapter#3"
131,"Wrath of the Titan","QuestRedoChapter#3"
132,"Tales from the Tidus Slayer","QuestRedoChapter#3"
133,"Hungry Hungry Goobbues","QuestRedoChapter#3"
134,"The Lominsan Way","QuestRedoChapter#3"
135,"Nix That","QuestRedoChapter#3"
136,"A Modest Proposal","QuestRedoChapter#3"
137,"Trial by Turtle","QuestRedoChapter#3"
138,"The Perfect Prey","QuestRedoChapter#3"
139,"When the Worm Turns","QuestRedoChapter#3"
140,"There and Back Again","QuestRedoChapter#3"
141,"The Things We Do for Cheese","QuestRedoChapter#3"
142,"What Do You Mean You Forgot the Wine","QuestRedoChapter#3"
143,"An Offer You Can Refuse","QuestRedoChapter#3"
144,"It Won't Work","QuestRedoChapter#3"
145,"Give a Man a Drink","QuestRedoChapter#3"
146,"That Weight","QuestRedoChapter#3"
147,"Battle Scars","QuestRedoChapter#3"
148,"It Was a Very Good Year","QuestRedoChapter#3"
149,"In the Company of Heroes","QuestRedoChapter#3"
150,"As You Wish","QuestRedoChapter#3"
151,"Lord of Crags","QuestRedoChapter#3"
152,"All Good Things","QuestRedoChapter#4"
153,"You Can't Take It with You","QuestRedoChapter#4"
154,"Bringing out the Dead","QuestRedoChapter#4"
155,"Bury Me Not on the Lone Prairie","QuestRedoChapter#4"
156,"Eyes on Me","QuestRedoChapter#4"
157,"He Who Waited Behind","QuestRedoChapter#4"
158,"Cold Reception","QuestRedoChapter#4"
159,"The Unending War","QuestRedoChapter#4"
160,"Men of Honor","QuestRedoChapter#4"
161,"Three for Three","QuestRedoChapter#4"
162,"The Rose and the Unicorn","QuestRedoChapter#4"
163,"The Talk of Coerthas","QuestRedoChapter#4"
164,"Road to Redemption","QuestRedoChapter#4"
165,"Following the Evidence","QuestRedoChapter#4"
166,"In the Eyes of Gods and Men","QuestRedoChapter#4"
167,"The Final Flight of the Enterprise","QuestRedoChapter#4"
168,"Ye of Little Faith","QuestRedoChapter#4"
169,"Factual Folklore","QuestRedoChapter#4"
170,"The Best Inventions","QuestRedoChapter#4"
171,"Influencing Inquisitors","QuestRedoChapter#4"
172,"By the Lights of Ishgard","QuestRedoChapter#4"
173,"Blood for Blood","QuestRedoChapter#4"
174,"The Heretic among Us","QuestRedoChapter#4"
175,"In Pursuit of the Past","QuestRedoChapter#4"
176,"Into the Eye of the Storm","QuestRedoChapter#4"
177,"Sealed with Science","QuestRedoChapter#4"
178,"With the Utmost Care","QuestRedoChapter#4"
179,"A Promising Prospect","QuestRedoChapter#4"
180,"It's Probably Not Pirates","QuestRedoChapter#4"
181,"Representing the Representative","QuestRedoChapter#4"
182,"The Reluctant Researcher","QuestRedoChapter#4"
183,"Sweet Somethings","QuestRedoChapter#4"
184,"History Repeating","QuestRedoChapter#4"
185,"The Curious Case of Giggity","QuestRedoChapter#4"
186,"Better Late than Never","QuestRedoChapter#4"
187,"Lady of the Vortex","QuestRedoChapter#4"
188,"Reclamation","QuestRedoChapter#4"
189,"Casing the Castrum","QuestRedoChapter#4"
190,"Eyes on the Empire","QuestRedoChapter#4"
191,"Footprints in the Snow","QuestRedoChapter#4"
192,"Monumental Hopes","QuestRedoChapter#4"
193,"Notorious Biggs","QuestRedoChapter#4"
194,"Come-Into-My-Castrum","QuestRedoChapter#4"
195,"Getting Even with Garlemald","QuestRedoChapter#4"
196,"Drowning Out the Voices","QuestRedoChapter#4"
197,"Acting the Part","QuestRedoChapter#4"
198,"Dressed for Conquest","QuestRedoChapter#4"
199,"Fool Me Twice","QuestRedoChapter#4"
200,"Every Little Thing She Does Is Magitek","QuestRedoChapter#4"
201,"Escape from Castrum Centri","QuestRedoChapter#4"
202,"The Black Wolf's Ultimatum","QuestRedoChapter#4"
203,"Operation Archon","QuestRedoChapter#4"
204,"A Hero in Need","QuestRedoChapter#4"
205,"Hearts on Fire","QuestRedoChapter#4"
206,"Rock the Castrum","QuestRedoChapter#4"
207,"The Ultimate Weapon","QuestRedoChapter#4"
208,"The Price of Principles","QuestRedoChapter#5"
209,"Moving On","QuestRedoChapter#5"
210,"All Things in Time","QuestRedoChapter#5"
211,"Laying the Foundation","QuestRedoChapter#5"
212,"It's Possibly a Primal","QuestRedoChapter#5"
213,"Hail to the King, Kupo","QuestRedoChapter#5"
214,"You Have Selected Regicide","QuestRedoChapter#5"
215,"On the Properties of Primals","QuestRedoChapter#5"
216,"The Gifted","QuestRedoChapter#5"
217,"Build on the Stone","QuestRedoChapter#5"
218,"Still Waters","QuestRedoChapter#5"
