key,0,1,2,3,4,5,6,7,8,9,10,11
#,ClassJobCategory,,ENpcResident,Item,AmountRequired,ItemHQ,,,,,,
int32,ClassJobCategory,byte,ENpcResident,Item,byte,bit&01,uint32,uint32,uint32,uint16,byte,byte
0.0,"",0,,"",0,False,0,0,0,0,0,0
1.0,"",0,,"",0,False,0,0,0,0,0,0
1.1,"",0,,"",0,False,0,0,0,0,0,0
1.2,"",0,,"",0,False,0,0,0,0,0,0
1.3,"",0,,"",0,False,0,0,0,0,0,0
2.0,"",0,,"",0,False,0,0,0,0,0,0
2.1,"",0,,"",0,False,0,0,0,0,0,0
2.2,"",0,,"",0,False,0,0,0,0,0,0
2.3,"",0,,"",0,False,0,0,0,0,0,0
3.0,"",0,,"",0,False,0,0,0,0,0,0
3.1,"",0,,"",0,False,0,0,0,0,0,0
3.2,"",0,,"",0,False,0,0,0,0,0,0
3.3,"",0,,"",0,False,0,0,0,0,0,0
3.4,"",0,,"",0,False,0,0,0,0,0,0
3.5,"",0,,"",0,False,0,0,0,0,0,0
3.6,"",0,,"",0,False,0,0,0,0,0,0
3.7,"",0,,"",0,False,0,0,0,0,0,0
4.0,"",0,,"",0,False,0,0,0,0,0,0
4.1,"",0,,"",0,False,0,0,0,0,0,0
4.2,"",0,,"",0,False,0,0,0,0,0,0
4.3,"",0,,"",0,False,0,0,0,0,0,0
5.0,"Disciple of the Hand",0,"earnest Namazu","Finery Components",2,False,0,0,0,0,255,0
5.1,"MIN",0,"earnest Namazu","Steppe Mica",3,False,0,0,0,0,255,2
5.2,"BTN",0,"earnest Namazu","Steppe Safflowers",3,False,0,0,0,0,255,2
5.3,"FSH",0,"earnest Namazu","Khaal Crab",1,False,0,0,0,0,255,1
6.0,"Disciple of the Hand",0,"Seigetsu the Enlightened","Ritual Implement Components",1,False,0,0,0,0,255,0
6.1,"MIN",0,"Seigetsu the Enlightened","Steppe Rock Salt",3,False,0,0,0,0,255,2
6.2,"BTN",0,"Seigetsu the Enlightened","Verdant Branch",3,False,0,0,0,0,255,2
6.3,"FSH",0,"Seigetsu the Enlightened","Fish Offering",1,False,0,0,0,0,255,1
7.0,"Disciple of the Hand",0,"Seigetsu the Enlightened","Brazier Components",2,False,0,0,0,0,255,0
7.1,"MIN",0,"Seigetsu the Enlightened","Steppe Coal",3,False,0,0,0,0,255,2
7.2,"BTN",0,"Seigetsu the Enlightened","Dry Branch",3,False,0,0,0,0,255,2
7.3,"FSH",0,"Seigetsu the Enlightened","Fatty Eel",1,False,0,0,0,0,255,1
8.0,"Disciple of the Hand",0,"Seigetsu the Enlightened","Uchiwa Components",3,False,0,0,0,0,255,0
8.1,"MIN",0,"Seigetsu the Enlightened","Pure White Silex",3,False,0,0,0,0,255,2
8.2,"BTN",0,"Seigetsu the Enlightened","Steppe Rattan Lumber",3,False,0,0,0,0,255,2
8.3,"FSH",0,"Seigetsu the Enlightened","Crimson Copperfish",1,False,0,0,0,0,255,1
9.0,"Disciple of the Hand",0,"Namazu fisher","Catfish Lure Components",2,False,0,0,0,0,255,0
9.1,"MIN",0,"Namazu fisher","Steppe Geode",3,False,0,0,0,0,255,2
9.2,"BTN",0,"Namazu fisher","Yol Feather",3,False,0,0,0,0,255,2
9.3,"FSH",0,"Namazu fisher","Gigas Catfish",1,False,0,0,0,0,255,1
10.0,"Disciple of the Hand",0,"Gyorin","Azim Steppe Souvenir Components",1,False,0,0,0,0,255,0
10.1,"MIN",0,"Gyorin","Raw Azimite",3,False,0,0,0,0,255,2
10.2,"BTN",0,"Gyorin","Steppe Candyfruit",3,False,0,0,0,0,255,2
10.3,"FSH",0,"Gyorin","Rainbow Killifish",1,False,0,0,0,0,255,1
11.0,"Disciple of the Hand",0,"Seigetsu the Enlightened","Hingan Ritual Paraphernalia",2,False,0,0,0,0,255,0
11.1,"MIN",0,"Seigetsu the Enlightened","Steppe Clay",3,False,0,0,0,0,255,2
11.2,"BTN",0,"Seigetsu the Enlightened","Edible Bud",3,False,0,0,0,0,255,2
11.3,"FSH",0,"Seigetsu the Enlightened","Steppe Sweetfish",1,False,0,0,0,0,255,1
12.0,"Disciple of the Hand",0,"Oroniri dzoherd","Dzo Shear Components",1,True,0,0,0,0,255,0
12.1,"MIN",0,"Oroniri dzoherd","Steppe Whetstone",2,False,0,0,0,0,255,2
12.2,"BTN",0,"Oroniri dzoherd","Grazing Grass",2,False,0,0,0,0,255,2
12.3,"FSH",0,"Oroniri dzoherd","Greasy Strangler",1,False,0,0,0,0,255,1
13.0,"Disciple of the Hand",0,"Namazu cook","Buuz Cooking Paraphernalia",2,False,0,0,0,0,255,0
13.1,"MIN",0,"Namazu cook","Steppe Soapstone",3,False,0,0,0,0,255,2
13.2,"BTN",0,"Namazu cook","Steppe Onion",3,False,0,0,0,0,255,2
13.3,"FSH",0,"Namazu cook","Grass Shrimp",1,False,0,0,0,0,255,1
14.0,"Disciple of the Hand",0,"Namazu tea connoisseur","Mol Tea Ceremony Paraphernalia",3,False,0,0,0,0,255,0
14.1,"MIN",0,"Namazu tea connoisseur","Steppe Spring Water",3,False,0,0,0,0,255,2
14.2,"BTN",0,"Namazu tea connoisseur","Fava Beans",3,False,0,0,0,0,255,2
14.3,"FSH",0,"Namazu tea connoisseur","Flagon Clam",1,False,0,0,0,0,255,1
15.0,"Disciple of the Hand",0,"Seigetsu the Enlightened","Stable Supplies",2,False,0,0,0,0,255,0
15.1,"MIN",0,"Seigetsu the Enlightened","Steppe Iron Ore",1,False,0,0,0,0,255,2
15.2,"BTN",0,"Seigetsu the Enlightened","Steppe Hay",1,False,0,0,0,0,255,2
15.3,"FSH",0,"Seigetsu the Enlightened","Moon Oyster",1,False,0,0,0,0,255,1
16.0,"Disciple of the Hand",0,"Seigetsu the Enlightened","Drum Parts",1,False,0,0,0,0,255,0
16.1,"MIN",0,"Seigetsu the Enlightened","Flat Stone",2,False,0,0,0,0,255,2
16.2,"BTN",0,"Seigetsu the Enlightened","Steppe Tea Leaves",2,False,0,0,0,0,255,2
16.3,"FSH",0,"Seigetsu the Enlightened","Leatherscale",1,False,0,0,0,0,255,1
17.0,"Disciple of the Hand",0,"Namazu papermaker","Confetti-making Tools",3,False,0,0,0,0,255,0
17.1,"MIN",0,"Namazu papermaker","Steppe Cinnabar",2,False,0,0,0,0,255,2
17.2,"BTN",0,"Namazu papermaker","Steppe Wildgrass",2,False,0,0,0,0,255,2
17.3,"FSH",0,"Namazu papermaker","Dusk Scallop",1,False,0,0,0,0,255,1
18.0,"Disciple of the Hand",0,"Seigetsu the Enlightened","Substitute Offering",1,True,0,0,0,0,255,0
