key,0
#,ClassJob
int32,ClassJob
0,""
65580,"goldsmith"
66058,"astrologian"
66219,"goldsmith"
66220,"goldsmith"
66221,"goldsmith"
66696,"goldsmith"
66850,"goldsmith"
67114,"pugilist"
67999,"gladiator"
68555,"gladiator"
68614,""
68763,"archer"
68764,"archer"
68765,"archer"
68766,"archer"
68767,"archer"
68768,"archer"
68769,"archer"
68770,"archer"
68771,"archer"
68772,"archer"
68773,"archer"
68774,"archer"
68775,"archer"
68776,"archer"
68777,"archer"
68778,"conjurer"
68836,"marauder"
68848,"marauder"
68876,"marauder"
69157,"marauder"
69165,"lancer"
69179,"marauder"
69190,"marauder"
69208,""
69210,"marauder"
69261,"armorer"
69262,"armorer"
69263,"armorer"
69264,"armorer"
69296,"carpenter"
69305,"marauder"
69313,"marauder"
69373,"armorer"
69374,"armorer"
69375,"armorer"
69376,"armorer"
69377,"blacksmith"
69381,"botanist"
69426,""
69477,""
69480,"alchemist"
69481,"alchemist"
69482,"alchemist"
69483,"alchemist"
69484,"alchemist"
69485,"alchemist"
69486,"alchemist"
69487,"alchemist"
69491,"miner"
69494,"miner"
69495,"miner"
69496,"miner"
69497,"miner"
69498,"miner"
69508,"culinarian"
69522,"lancer"
69535,"warrior"
69536,"warrior"
69537,"warrior"
69538,"warrior"
69539,"warrior"
69540,"warrior"
69541,"warrior"
69542,"warrior"
69547,"marauder"
69554,"paladin"
69558,"paladin"
69562,""
69563,"dragoon"
69564,"dragoon"
69566,"fisher"
69576,"botanist"
69577,"botanist"
69578,"monk"
69580,"bard"
69581,"bard"
69582,"bard"
69583,"bard"
69584,"bard"
69585,"bard"
69586,"bard"
69587,"bard"
69588,"bard"
69593,"white mage"
69598,"marauder"
69617,"fisher"
69620,"dragoon"
69621,"dragoon"
69622,"dragoon"
69623,"dragoon"
69624,"dragoon"
69628,"dragoon"
69629,"dragoon"
69631,"dragoon"
69637,"botanist"
69894,"black mage"
69913,"marauder"
69931,"marauder"
69945,"marauder"
69973,"marauder"
69984,"black mage"
69985,"marauder"
70000,"marauder"
70065,"marauder"
70128,"marauder"
70179,"arcanist"
70181,"arcanist"
70185,"summoner"
70200,"scholar"
70201,"scholar"
70210,"marauder"
70251,""
70252,""
70265,"rogue"
70270,"ninja"
70272,"marauder"
70284,"marauder"
70299,"dark knight"
70307,"machinist"
70308,"machinist"
70320,"machinist"
70326,"red mage"
70329,"samurai"
70330,"samurai"
70331,"white mage"
70342,"machinist"
70343,"machinist"
70401,"blue mage"
70407,"blue mage"
70415,"marauder"
70427,"marauder"
70430,"marauder"
70445,"marauder"
70462,"marauder"
70481,"marauder"
70495,"marauder"
70782,"marauder"
70789,"dancer"
70790,"reaper"
70840,"marauder"
70845,""
70848,""
70849,"pictomancer"
70854,""
70855,""
70859,
70860,
